Subawardee UEI,Subawardee NAICS-6 (Primary),Subawardee NAICS-6 Description,Parent UEI,Parent Vendor Name,Subawardee Vendor Name,Predominant Place of Performance (by records),Subaward $M,Published Subaward Records,First Subaward,Last Subaward,Capability Domain Archetype (D),Capability Domain Archetype Basis,Primary Output Archetype (P),Primary Output Archetype Basis,Role / Description,Source URLs
DA1PDLWQ7BH4,513210,Software Publishers,,Beast Code LLC,BEAST CODE LLC,Domestic,17.571751,18,2019-10-24,2024-08-22,,,,,"This is non-shipboard digital-engineering support. Beast Code’s Beast Core/IPX tools provide an interactive 2D/3D digital-twin environment that combines geometry, drawings, documents, and metadata for Columbia space arrangement, construction planning, work instructions, and lifecycle support; the exact licensed module or workflow is not disclosed.","https://www.highergov.com/awardee/beast-code-llc-10107712/
https://www.sbir.gov/portfolio/680253
https://govtribe.com/vendors/beast-code-llc-742a2
https://www.beast-code.com/"
Z89SS59265U9,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,,ESPEY MFG AND ELECTRONICS CORP,ESPEY MFG AND ELECTRONICS CORP,Domestic,15.420698,41,2017-03-31,2024-10-10,,,,,Supplies power-conversion and magnetic components supporting Columbia's electric-drive propulsion system.,"https://www.espey.com/espey-mfg-electronics-corp-announces-new-29-5-million-contract-award-supporting-u-s-navys-columbia-class-submarine-program/
https://www.espey.com/products/military-power-systems-magnetics/"
H11HD5VHGHN3,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",,LOCKHEED MARTIN CORPORATION,LOCKHEED MARTIN CORPORATION,Domestic,15.410563,19,2016-03-02,2024-06-14,,,,,"A specific Columbia rack or array could not be confirmed. Lockheed Martin’s Liverpool/Syracuse undersea-warfare operation supports the AN/BQQ-10 Acoustic Rapid COTS Insertion common sonar architecture, so the subaward most likely covers sonar signal-processing/interface electronics or software connecting hull arrays to the sonar and combat system in the forward sonar/electronics spaces.","https://sam.gov/opp/508effa812531df5ff3456be55d45ea9/view
https://www.afcea.org/signal-media/lockheed-martin-produce-conformal-arrays
https://www.defenseindustrydaily.com/usa-upgrades-submarine-fleet-acoustics-under-arci-program-updated-01952/"
LPWJLN5JQPW4,,"n/a (SAM record, no NAICS)",,SHEFFIELD FORGEMASTERS INTERNATIONAL LIMITED,SHEFFIELD FORGEMASTERS ENGINEERING LIMITED,Foreign,14.959128,4,2018-03-19,2025-01-02,,,,,"Supplies a sequence of large, high-integrity steel castings for the Columbia program, then called the Ohio replacement program. Public reporting does not disclose the casting geometry or subsystem.","https://www.sheffieldforgemasters.com/news-and-insights/news/08/forgemasters-secures-us-defence-contacts-worth-30-million-dollars/
https://www.sheffieldforgemasters.com/news-and-insights/news/08/sheffield-forgemasters-wins-key-us-defence-contract/"
NEGFNA8YS723,339999,All Other Miscellaneous Manufacturing,,"ALLARD NAZARIAN GROUP, INC.","ALLARD NAZARIAN GROUP, INC.",Domestic,14.275752,12,2020-10-15,2023-12-18,,,,,"Granite State Manufacturing has publicly said it received a new Columbia product but has not named it. The defensible description is a large, NAVSEA-qualified, precision-machined and welded mission-/life-critical submarine assembly—potentially a structural or equipment-support module—whose exact function and location remain nonpublic.","https://granitestatemfg.com/granite-state-manufacturing-secures-25-million-in-new-us-navy-contracts/
https://granitestatemfg.com/capabilities/
https://granitestatemfg.com/
https://www.globenewswire.com/news-release/2023/12/12/2794796/26844/en/granite-state-manufacturing-hosts-us-navy-admiral.html"
GZ57A195G7K6,541330,Engineering Services,,Dover Corporation,WAUKESHA BEARINGS CORPORATION,Domestic,14.106147,11,2017-06-15,2019-05-01,,,,,"The exact Columbia bearing is not disclosed. This engineering entity most likely performed design, analysis, and qualification of custom hydrodynamic thrust/journal bearings for a major rotating machine—most plausibly the electric-propulsion train or turbine-generator machinery in the aft engineering spaces—based on Waukesha’s naval bearing line and prior submarine main-thrust-bearing work.","https://www.waukbearing.com/en/industries/marine.html
https://man.fas.org/dod-101/sys/ship/docs/930930-cr.htm
https://www.highergov.com/subcontract/N0001413C0187-SNE101-071/
https://www.ussdc.org/boat/construction"
CW48SQ7KJX68,336611,Ship Building and Repairing,,,"CRAFT MACHINE WORKS, INC.",Domestic,14.019643,35,2022-01-07,2025-01-23,,,,,"Public sources do not identify the exact Columbia assembly. Craft Machine Works’ relevant capability is final manufacture of large, tight-tolerance machined and complex-welded assemblies, so the subaward most likely covers a complete submarine machinery or structural/equipment-support assembly delivered for installation in a Columbia hull module; its precise location is unconfirmed.","https://www.highergov.com/awardee/craft-machine-works-inc-10032345/
https://www.highergov.com/subcontract/N0002417C2117-1000049723/
https://www.craftmachine.com/"
WXRTZLL25AE5,325991,Custom Compounding of Purchased Resins,,"SEEMANN COMPOSITES, LLC","SEEMANN COMPOSITES, LLC",Domestic,13.821424,25,2016-05-23,2024-11-05,,,,,Manufactures composite bow domes for Columbia-class submarines.,"https://mississippi.org/news/seemann-composites-inc-opens-bow-dome-production-facility-in-gulfport-to-support-new-u-s-navy-contract/
https://www.compositesworld.com/news/seemann-composites-opens-submarine-bow-dome-production-facility"
K3XPS1HXNBF3,332710,Machine Shops,,"B & F MACHINE CO., INC.","B & F MACHINE CO., INC.",Domestic,13.820793,47,2018-01-09,2024-09-24,,,,,"A Columbia part number could not be confirmed. B & F Machine’s defense work includes five-axis machining of cases, diffusers, shrouds, rings, linkages, brackets, and mounts; the best-supported inference is precision flow-path or support hardware for a pump/turbomachinery or other mechanical system in the boat’s machinery/auxiliary spaces.","https://www.highergov.com/awardee/b-f-machine-co-inc-12297239/
https://bfmachine.com/markets-served/
https://submarinesuppliers.org/wp-content/uploads/2020/03/CT.pdf"
QCFDU4MA1444,236210,Industrial Building Construction,,A/Z CORPORATION,A/Z CORPORATION,Domestic,13.570098,27,2016-02-16,2024-06-19,,,,,"Constructs and expands Electric Boat production facilities used for Columbia manufacturing, including hull-fabrication/advanced-manufacturing buildings and missile-tube production infrastructure. This is shipyard infrastructure, not an onboard component.","https://www.a-zcorp.com/manufacturing/building-electric-boats-new-hull-fabrication-facility/
https://www.a-zcorp.com/announcements/az-breaks-ground-at-general-dynamics-electric-boat/"
HW4GNCTLLAM4,332312,Fabricated Structural Metal Manufacturing,,,GENERAL ATOMICS,Domestic,13.538118,1,2023-02-20,2023-02-20,,,,,Fabricates bearing-support structures and related structural/propulsor demonstration hardware for Columbia's propulsor.,"https://www.ga.com/general-atomics-delivers-first-of-two-bearing-support-structures-for-columbia-class-submarines
https://www.ga.com/general-atomics-awarded-manufacturing-contract-for-columbia-class-submarine-bearing-support-structures
https://www.ga.com/ga-awarded-propulsor-demonstration-hardware-contract-delivery-order"
X6N2CNV552X7,336611,Ship Building and Repairing,,"OCEANEERING INTERNATIONAL, INC.",OCEANEERING INTERNATIONAL INC,Domestic,13.102873,49,2017-01-09,2024-10-24,,,,,"Manufactures Columbia hatches, fairings, hull inserts, and closure doors, and provides SUBSAFE structural fabrication and new-construction support.","https://www.oceaneering.com/marine-services/complex-structural-manufacturing/
https://www.oceaneering.com/marine-services/"
MU3CM1145E44,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",,PROGENY SYSTEMS CORPORATION,PROGENY SYSTEMS CORPORATION,Domestic,13.063866,4,2017-03-15,2022-02-17,,,,,"Supports installation, integration, and testing of Columbia's strategic fire-control system, including mechanical, electrical, and fiber-optic components.","https://bebee.com/us/jobs/shipyard-installation-and-test-specialist-progeny-systems-corporation-groton--lensa-2365_4dab2157fe83a565d40c53ee95a4f1822907a71a03a3df31481b8383cd6b4e3d
https://news.clearancejobs.com/2016/02/17/progeny-systems-awarded-submarine-combat-control-contract/"
DK14KTLXA9M5,332919,Other Metal Valve and Pipe Fitting Manufacturing,,"KME AMERICA MARINE TUBE & FITTING, LLC","KME AMERICA MARINE TUBE & FITTING, LLC",Domestic,12.857177,148,2017-08-21,2025-01-22,,,,,"The exact Columbia fitting schedule is not public. KME supplies complex formed elbows, tees, reducers, flanges, and tube fittings in copper-nickel, stainless, and other corrosion-resistant alloys; these parts are installed throughout Columbia’s seawater, cooling, and ship-service piping to route and join pressure-boundary fluid lines.","https://kmetf.com/
https://govtribe.com/vendors/kme-america-marine-tube-fitting-llc-7a8g3
https://www.industrynet.com/listing/3666970/kme-america-marine-tube-fitting-llc"
TY25RCEB5FF3,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,,"COLLINS & JEWELL COMPANY, INC.","COLLINS & JEWELL COMPANY, INC.",Domestic,12.179111,64,2016-01-15,2024-10-23,,,,,"The evidence points primarily to construction support rather than an installed boat component. Collins & Jewell builds large weldment fixtures, custom submarine support structures, and heavy handling/assembly equipment for Electric Boat’s Groton and Quonset facilities; the specific Columbia fixture or support structure is not publicly named.","https://portal.ct.gov/OMA/In-the-News/2017-News/Sub-Suppliers-Sharing-In-EB-Boom
https://submarine.senedia.org/wp-content/uploads/2024/07/NESSP-Newsletter-June-2024.pdf
https://www.highergov.com/awardee/collins-jewell-company-inc-10458080/"
ZFNUGJEGR2Q9,333517,Machine Tool Manufacturing,,LAG INTERNATIONAL S.A.,INGERSOLL MACHINE TOOLS INC,Domestic,11.916944,1,2021-01-20,2021-01-20,,,,,"The one-time award pattern and company capability indicate Columbia production infrastructure, not shipboard hardware. Ingersoll most likely supplied a custom large-format milling/boring or automated manufacturing system used by Electric Boat to make large submarine structures, tooling, or mechanical components; neither the exact machine nor the Columbia part produced on it is public.","https://www.ingersoll.com/
https://www.govconinabox.com/explore/contractors/profile/ZFNUGJEGR2Q9
https://www.importgenius.com/importers/general-dynamics-electric-boat"
PTMFLMD2CUB4,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,,"L3 TECHNOLOGIES, INC.","L3 TECHNOLOGIES, INC.",Domestic,11.575869,20,2016-01-11,2024-05-06,,,,,"Confirmed class-specific product family: L3Harris supplies integrated submarine communications-system shipsets for Virginia- and Columbia-class boats. The shipset comprises secure external/satellite and internal communications hardware, software, racks, and interfaces installed in the radio/communications spaces; the exact Camden-produced rack under the earlier subaward is not separately identified.","https://www.l3harris.com/newsroom/press-release/2026/02/l3harris-secures-full-rate-production-contract-us-navy-submarine
https://www.l3harris.com/all-capabilities/integrated-communications-solutions
https://www.l3harris.com/all-capabilities/symphony
https://www.highergov.com/awardee/l3-technologies-inc-10109684/"
JKZNKGGWYZ87,335312,Motor and Generator Manufacturing,,CURTISS-WRIGHT CORPORATION,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,Domestic,11.439238,8,2018-09-11,2023-07-19,,,,,"Curtiss-Wright’s Cheswick electro-mechanical operation produces nuclear-fleet pumps, motors, generators, and propulsion-plant machinery. Public sources do not disclose the exact Columbia-class machine represented by this subaward.","https://www.sweetspot.so/markets/federal/contractors/curtiss-wright-electro-mechanical-corporation-jkznkggwyz87/
https://electro-mechanicalsystems.curtisswright.com/"
LG88NCWJ3A95,332420,Metal Tank (Heavy Gauge) Manufacturing,,"YOUNG ENGINEERING & MANUFACTURING, INC.","YOUNG ENGINEERING & MANUFACTURING, INC.",Domestic,10.881729,22,2016-06-02,2024-04-15,,,,,Supplies desurgers and bladder-type surge arrestors used on Columbia fluid systems.,https://www.youngeng.com/defense/
D7HNEN3DAN36,332111,Iron and Steel Forging,,PARK CORPORATION,LEHIGH HEAVY FORGE CORP,Domestic,10.866124,11,2017-09-11,2024-04-26,,,,,"The exact Columbia forging is not publicly named. Lehigh Heavy Forge supplies super-heavy open-die shipbuilding forgings, including very long propulsion shafts and large rings; the subaward therefore most likely covers a high-integrity shaft, ring, or other major forging for the stern propulsion train or another pressure-/load-critical submarine assembly.","https://lhforge.com/productsmarkets/marine-equipment/
https://lhforge.com/about-us/who-we-are/
https://www.war.gov/News/Releases/Release/Article/3921637/department-of-defense-awards-15-million-to-increase-heavy-forge-production-capa/"
F76KN7T9YP64,333613,Mechanical Power Transmission Equipment Manufacturing,,WAUKESHA BEARINGS CORPORATION,WAUKESHA BEARINGS CORPORATION,Domestic,10.635177,15,2021-11-02,2024-05-15,,,,,"The manufacturing entity most likely produced custom hydrodynamic thrust and/or journal-bearing assemblies for one of Columbia’s largest rotating machines—the electric propulsion motor, turbine-generators, or shaft line in the aft engineering spaces. Waukesha is a documented submarine main-thrust-bearing supplier, but the specific Columbia machine and bearing set remain undisclosed.","https://www.waukbearing.com/en/industries/marine.html
https://man.fas.org/dod-101/sys/ship/docs/930930-cr.htm
https://www.highergov.com/subcontract/N0001413C0187-PPE160-101/
https://www.ussdc.org/boat/construction"
UMQ8KHJJUBN6,333992,Welding and Soldering Equipment Manufacturing,,,"KOIKE ARONSON, INC.",Domestic,10.622193,13,2022-12-09,2024-04-15,,,,,"This is most likely shipyard production equipment rather than an onboard component. Koike supplies CNC plate-cutting systems, welding positioners, turning rolls, and manipulators used to rotate, align, cut, and weld very large hull/module fabrications; the exact Electric Boat workstation and Columbia assembly processed are not public.","https://www.koike.com/
https://www.highergov.com/awardee/koike-aronson-inc-10282798/
https://sam.gov/workspace/contract/opp/62f554ac24e242a3bc91e2574e167254/view"
WREEAHYMRQ45,334419,Other Electronic Component Manufacturing,,AMPHENOL CORPORATION,"PCB PIEZOTRONICS, INC.",Domestic,10.542838,13,2017-10-25,2022-11-18,,,,,"The specific Columbia installation versus test use cannot be confirmed. PCB supplies low-noise, internally amplified accelerometers tied in Navy records to Electric Boat drawings; these sensors measure vibration and acoustic signatures on machinery and hull structures during quieting, production acceptance, and sea trials, and may also support onboard condition monitoring.","https://www.gao.gov/products/b-254046
https://app.govly.com/public/opportunities/16664799
https://www.pcb.com/
https://www.highergov.com/awardee/pcb-piezotronics-inc-10113566/"
Y7N4SPXNK115,331110,Iron and Steel Mills and Ferroalloy Manufacturing,,Arcelormittal SA,ARCELORMITTAL USA LLC,Domestic,9.751713,12,2016-11-14,2022-02-22,,,,,The exact Columbia steel grade and plate location are not public. The strongest inference is high-strength heavy plate from the former ArcelorMittal Burns Harbor operation for the pressure hull and other major structural members; that mill supplies military/shipbuilding plate and its steel has previously been documented throughout a Virginia-class submarine hull.,"https://www.clevelandcliffs.com/operations/steelmaking/burns-harbor-plate-and-gary-plate
https://www.manufacturing.net/home/news/13193020/steel-made-at-northwest-indiana-factory-used-in-navy-vessels
https://www.in.gov/idem/cleanwater/lake-michigan-sites-of-interest/cleveland-cliffs-gary-plate/"
PAH8M4BJACA5,334417,Electronic Connector Manufacturing,,TELEDYNE TECHNOLOGIES INCORPORATED,TELEDYNE INSTRUMENTS INC,Domestic,9.565642,48,2018-04-10,2025-01-24,,,,,Supplies Level I/SUBSAFE electrical hull penetrators that route transmitter cables through the Columbia pressure hull.,https://www.highergov.com/contract-opportunity/electric-hull-penetrator-ehp-new-large-idiq-lev-n6449826r0526-o-16527/
MKDGDE6K34N5,331513,Steel Foundries (except Investment),,"D. W. CLARK, INC","D. W. CLARK, INC",Domestic,9.515882,37,2018-09-04,2025-01-14,,,,,"A specific Columbia casting could not be confirmed. The best-supported inference is high-integrity 70/30 copper-nickel or other alloy castings for seawater-system pump/valve bodies, with possible rotating-machinery bearing components; D. W. Clark is an approved Navy casting source and has prior SSBN bearing-casting work.","https://dwclark.com/industries/
https://www.hii.com/documents/nns-approved-cuni-foundries
https://www.nffs.org/ar23-icon
https://www.highergov.com/awardee/d-w-clark-inc-10030368/"
NSWQJBEZZD83,513210,Software Publishers,,SOPHEON CORPORATION,SOPHEON CORPORATION,Domestic,9.102086,9,2022-09-19,2024-08-05,,,,,"Confirmed service: Team Submarine selected Sopheon’s Accolade enterprise innovation and new-product-development platform. It supports strategic planning, technology roadmaps, project/portfolio governance, and resource planning across submarine programs including Columbia; it is shore-based program-management software, not equipment installed on the boat.","https://www.globenewswire.com/news-release/2022/08/16/2499188/0/en/sopheon-and-team-submarine-agree-to-five-year-agreement.html
https://www.sopheon.com/
https://www.highergov.com/awardee/sopheon-corporation-503726865/"
N5KMLMXEPFM5,333310,Commercial and Service Industry Machinery Manufacturing,,PARKER-HANNIFIN CORPORATION,PARKER HANNIFIN CORPORATION,Domestic,9.088224,16,2016-10-18,2024-06-21,,,,,"The UEI maps to Parker’s Village Marine Tec water-purification operation in Carson, California. The best-supported Columbia deliverable is a reverse-osmosis seawater desalination/watermaker package—high-pressure pumps, membranes, controls, and service parts—installed in an auxiliary machinery space to produce potable water; the exact model and capacity are not public.","https://sam.gov/opp/88d17c4fe435aa62e2ec2f295048f18e/view
https://sam.gov/opp/1ea32c0a37db4316a72b13159e326f71/view
https://www.parker.com/us/en/divisions/water-purification/industries/government.html
https://www.parker.com/content/dam/Parker-com/Literature/Water-Purification/Village-Marine/Defense/7845mil.bro09.lr.pdf"
PUG1H9MFJD63,332313,Plate Work Manufacturing,,THE AMERICAN TANK & FABRICATING COMPANY,THE AMERICAN TANK & FABRICATING COMPANY,Domestic,8.835724,28,2016-11-10,2024-11-18,,,,,"The strongest class-specific linkage is to the Columbia propulsor forward subassembly. American Tank & Fabricating most likely forms and welds heavy plate components or supporting structures for that pump-jet assembly at the stern, but the public contract data do not expose the exact plate part, drawing, or subassembly element.","https://www.highergov.com/contract/N0016723D0004-N0016723F0035/
https://www.highergov.com/subcontract/N0002417C2117-1000035514/
https://www.highergov.com/awardee/the-american-tank-fabricating-company-10244797/"
HUK5MJK4MH39,332911,Industrial Valve Manufacturing,,"Circor International, Inc.","LESLIE CONTROLS, INC.",Domestic,8.821887,20,2017-11-07,2024-08-21,,,,,"Leslie Controls manufactures severe-service regulating, pressure-reducing, and control valves. Its Columbia-class contribution is valve and fluid-control hardware, but public sources do not identify the exact valve set or shipboard service.","https://www.highergov.com/awardee/leslie-controls-inc-10109971/
https://www.circor.com/brands/leslie-controls"
Z19UP1U6FMT1,238290,Other Building Equipment Contractors,,"INDUSTRIAL TRANSFER AND STORAGE, INC",INDUSTRIAL TRANSFER AND STORAGE INC.,Domestic,8.731199,27,2016-05-09,2024-10-08,,,,,"This is shipyard-production support, not installed submarine hardware. Industrial Transfer & Storage, now part of MEI, provides heavy rigging, project transport, storage, millwrighting, and precision installation/alignment of large CNC machines and facility equipment at Quonset/Groton; the exact Columbia-production machine moved under the subaward is not disclosed.","https://meiindustrialsolutions.com/location/providence/
https://www.linkedin.com/company/industrial-transfer-%26-storage
https://whatsupnewp.com/2021/07/more-than-20-companies-will-participate-in-quonset-business-parks-job-fair-on-july-9/"
GTP8S87MBPF3,236220,Commercial and Institutional Building Construction,,"GREENLAND ENTERPRISES, INC.","GREENLAND ENTERPRISES, INC.",Domestic,8.62948,7,2016-02-19,2021-08-05,,,,,"No installed Columbia component could be substantiated. Greenland’s documented work is design-build construction of energy and utility infrastructure—HVAC, chilled-water/steam piping, controls, and building retrofits—so the subaward most likely funded a shipyard or mission-critical-facility utility project supporting Columbia production at Electric Boat or Newport News.","https://greenlandenterprises.com/
https://www.highergov.com/awardee/greenland-enterprises-inc-664740158/
https://www.highergov.com/subcontract/N0002417C2117-SNE090-037/"
JAXJSTJJSP74,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",,RAYTHEON COMPANY,"RTX BBN TECHNOLOGIES, INC.",Domestic,8.553537,7,2018-06-14,2024-03-20,,,,,"These subawards sit under Office of Naval Research submarine science-and-technology contracts rather than production hardware buys. The best-supported role is advanced modeling, simulation, sensing/acoustics, networking, or autonomous-payload engineering intended to mature concepts for transition to Virginia and Columbia; the exact BBN work package and any eventual onboard system cannot be confirmed.","https://www.highergov.com/subcontract/N0001419C1002-SNF019-026/
https://www.highergov.com/subcontract/N0001419C1002-1000055031/
https://www.highergov.com/subcontract/N0001413C0187-SNE091-032/
https://www.highergov.com/subcontract/N0001413C0187-SNE113-048/"
G319AMB56SW5,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,,"Graycliff Partners, LP",901 D LLC,Domestic,8.210342,43,2017-06-02,2024-08-14,,,,,"The exact Columbia cabinet assignment is not public. Curtiss-Wright/901D supplies shock-, vibration-, and EMI-qualified naval electronics cabinets, enclosures, and operator consoles; these house combat, control, communications, or auxiliary electronics in Columbia’s control/electronics spaces, with Navy notices specifically identifying ACST cabinets from this source.","https://www.highergov.com/awardee/901-d-llc-10107588/
https://www.curtisswrightds.com/products/901d-rugged-enclosures-consoles
https://sam.gov/opp/358839639f8340b5a988dbd1b2d7bc02/view
https://sam.gov/opp/5a52a2da6be44095adf68c7d36cfe1fa/view"
MK9SR2K87JN5,484121,"General Freight Trucking, Long-Distance, Truckload",,"Landstar System, Inc.","LANDSTAR INWAY, INC.",Domestic,8.140156,4,2021-03-24,2023-03-10,,,,,Provides long-haul truckload transportation and logistics for Columbia construction. The specific cargo carried is not publicly disclosed.,"https://www.highergov.com/awardee/landstar-inway-inc-10419543/
https://www.landstar.com/transportation-solutions/"
GUD4TJE3FN31,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",,,CIRCOR PUMPS NORTH AMERICA LLC,Domestic,7.656632,4,2022-05-27,2023-02-22,,,,,"This UEI is CIRCOR Pumps North America’s IMO Pump operation in Monroe, North Carolina. It supplies Navy rotary/screw pump-and-motor assemblies and related pump components; the exact Columbia-class fluid-system application is not publicly identified.","https://www.highergov.com/awardee/circor-pumps-north-america-llc-45420185/
https://app.g2xchange.com/companies/GUD4TJE3FN31
https://coder.targetednews.com/nl_disp.php?nl_date_id=1338733
https://www.circor.com/brands/imo"
FMC8BKMNMKF2,339999,All Other Miscellaneous Manufacturing,,"FLUID CONDITIONING PRODUCTS, INC.","FLUID CONDITIONING PRODUCTS, INC.",Domestic,7.48638,55,2016-08-15,2024-11-22,,,,,"A particular Columbia filter model and fluid circuit are not public. Fluid Conditioning Products makes cleanable all-metal mesh/coalescing filter and strainer elements qualified for Navy SUBSAFE Level I service, making the likely deliverable pressure-boundary filtration for seawater, hydraulic, lubricating-oil, fuel, or another critical machinery-space fluid system.","https://www.fcp-filters.com/blog/aerospace-and-defense-industry-2022/
https://sam.gov/opp/7fde4ace95894c2b9ac6cc13b5e94bb0/view
https://www.fcp-filters.com/"
HSV2N9ACRTJ6,332911,Industrial Valve Manufacturing,,EMERSON AUTOMATION SOLUTIONS FINAL CONTROL US LP,EMERSON AUTOMATION SOLUTIONS FINAL CONTROL US LP,Domestic,7.437823,49,2016-03-10,2024-10-02,,,,,"The exact Columbia valve tag and circuit are not publicly disclosed. Emerson’s Mansfield Navy product operation supplies pressure-/safety-relief, control, and angle valves; these protect submarine piping and equipment from overpressure and regulate flow in machinery and auxiliary systems.","https://www.highergov.com/awardee/emerson-automation-solutions-final-control-us-lp-10109259/
https://sam.gov/opp/ab6d429b6c1c4aa685edc7db544ffbc7/view
https://www.highergov.com/nsn/4820015115479/"
MF1LU8RPCMB8,332313,Plate Work Manufacturing,,Techprecision Corporation,"RANOR, INC.",Domestic,7.393072,25,2016-12-12,2024-08-14,,,,,"Provides large-scale precision welding, fabrication, and machining of heavy metal components for Virginia- and Columbia-class submarine programs. Public sources do not disclose the exact Columbia part.","https://www.techprecision.com/
https://www.sec.gov/Archives/edgar/data/1328792/000141057825001537/tpcs-20250331x10k.htm"
WESDY4U81NP8,332996,Fabricated Pipe and Pipe Fitting Manufacturing,,"TRIDENT MARITIME SYSTEMS - CAC, LLC","TRIDENT MARITIME SYSTEMS - CAC, LLC",Domestic,7.340304,44,2023-09-27,2024-11-22,,,,,"Manufactures specialized alloy forgings, custom fittings, and pipe for naval and defense applications. As successor to Custom Alloy's High Bridge operation, it continues the fitting/forging business; public sources do not separately identify which post-acquisition Columbia fitting each subaward covers.","https://www.tridentllc.com/location-high-bridge-manufacturing
https://www.jflco.com/news-article/153/trident-maritime-systems-acquires-assets-of-custom-alloy-corporation"
GLRVV6FC6DB3,611430,Professional and Management Development Training,,GP STRATEGIES CORPORATION,GP STRATEGIES CORPORATION,Domestic,7.14203,15,2017-05-31,2024-05-03,,,,,Develops and administers workforce training and learning content for Electric Boat personnel building Virginia- and Columbia-class submarines.,"https://newhaven.academia.edu/JeanineDeFalco/CurriculumVitae
https://www.gpstrategies.com/news/gp-strategies-earns-12-brandon-hall-hcm-excellence-awards/"
DXM3GSLGH2Z5,336611,Ship Building and Repairing,,"FAIRLEAD INTEGRATED, LLC","FAIRLEAD INTEGRATED, LLC",Domestic,6.87441,16,2019-09-09,2024-07-23,,,,,"Public sources confirm that Fairlead supplies shipboard integrated parts for Virginia- and Columbia-class submarines but do not name this assembly. Based on its nuclear-shipbuilding capabilities, the best-supported inference is a precision-fabricated/machined mechanical subassembly, machinery support/skid, or integrated power/control structure installed in a Columbia machinery or electrical module; the exact item remains unconfirmed.","https://www.virginiashiprepair.org/MemberProfile/425/Fairlead-Integrated-LLC
https://virginiabusiness.com/propulsion-system/
https://fairlead.com/
https://www.highergov.com/subcontract/N0002417C2117-1000008335/"
CXK2Y51KDBW1,331513,Steel Foundries (except Investment),,P R L Inc,PRL INDUSTRIES INC,Domestic,6.66216,11,2021-06-28,2025-01-14,,,,,"The best public evidence identifies PRL as a Columbia supplier of critical cast pump and valve components. PRL pours, heat-treats, machines, and nondestructively tests high-integrity bodies and other cast parts used in the boat’s seawater, cooling, hydraulic, and other machinery/auxiliary fluid systems; the exact pump/valve model is not public.","https://lebtown.com/2022/03/07/prl-will-replace-ore-crusher-building-expand-navy-manufacturing-operations/
https://www.prlinc.com/
https://www.prlinc.com/facilities/
https://bigelowllc.com/transaction-experiences/bigelow-advises-prl-inc-on-its-recapitalization-by-compass-partners-capital-llc/"
KMDLJAJQ4UM1,334417,Electronic Connector Manufacturing,,TE Connectivity Ltd.,"BRANTNER AND ASSOCIATES, INC.",Domestic,6.657081,46,2017-02-03,2025-01-21,,,,,,
Y5R2L8HWAUA8,333998,All Other Miscellaneous General Purpose Machinery Manufacturing,,"NAVUS AUTOMATION, INC.","NAVUS AUTOMATION, INC",Domestic,6.643103,29,2016-05-05,2024-08-23,,,,,,
RLYHS582JDW8,334519,Other Measuring and Controlling Device Manufacturing,,Schlumberger N.V.,"CAMERON TECHNOLOGIES US, INC.",Domestic,6.584208,26,2016-11-04,2024-08-30,,,,,,
N5BYYW3MMFP7,326291,Rubber Product Manufacturing for Mechanical Use,,TOTAL SA,"HUTCHINSON AEROSPACE & INDUSTRY, INC.",Domestic,6.46955,9,2022-03-30,2025-01-22,,,,,,
HTR5K76FMH84,331529,Other Nonferrous Metal Foundries (except Die-Casting),,FEDERAL BRONZE CASTING INDS,"FEDERAL BRONZE CASTING INDUSTRIES, INC.",Domestic,6.271802,41,2016-08-17,2025-01-15,,,,,,
V1MQFNQB56Z5,333912,Air and Gas Compressor Manufacturing,,RIX INDUSTRIES,RIX INDUSTRIES,Domestic,6.221894,19,2016-02-05,2023-03-31,,,,,,
GE4GA2B9JYF9,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,,,"MERRILL TECHNOLOGIES GROUP, INC.",Domestic,6.17185,21,2022-04-12,2024-11-21,,,,,,
UHXFGP3DCRK7,,"n/a (SAM record, no NAICS)",,HANSOME ENERGY SYSTEMS INC,HANSOME ENERGY SYSTEMS INC,Domestic,6.121371,7,2017-05-04,2024-08-22,,,,,,
M98JCJ2U7RD8,541330,Engineering Services,,,CARLTON NATIONAL RESOURCES INC,Domestic,5.667091,36,2019-12-10,2024-06-14,,,,,,
CVKGYGVN9229,332710,Machine Shops,,ARTCRAFT FABRICATORS INC,ARTCRAFT FABRICATORS INC,Domestic,5.575706,2,2024-04-25,2024-06-25,,,,,,
JK4WJKLD44G9,331529,Other Nonferrous Metal Foundries (except Die-Casting),,"METALTEK INTERNATIONAL, INC.","METALTEK INTERNATIONAL, INC.",Domestic,5.483011,29,2017-01-23,2025-02-18,,,,,,
