=== SAM Contract Awards (Stage 7: parent-IDV hydration) 2026-06-21 18:45:27
families selected=446 (floor=$0.250M), dropped below floor=1242
REVEALED data only (non-federal key): DoD awards signed < 90 days ago are excluded.
quota=1000/day; biggest-family-first; resumable (existing per-PIID files skipped).
  [288/446] W9127819C0010      AWARD sam=$     0.6M  ours=$     0.6M  ord_end=-
  [289/446] W912P915G0601      IDV   sam=$     0.6M  ours=$     0.6M  ord_end=2024-10-13
  [290/446] W912ES23G0002      IDV   sam=$     0.6M  ours=$     0.6M  ord_end=2027-10-06
  [291/446] W911S016D0012      IDV   sam=$     0.6M  ours=$     0.6M  ord_end=2021-02-25
  [292/446] W911XK16P0001      AWARD sam=$     0.6M  ours=$     0.6M  ord_end=-
  [293/446] W912P424P0003      AWARD sam=$     0.6M  ours=$     0.6M  ord_end=-
  [294/446] W9127N16G0002      IDV   sam=$     0.6M  ours=$     0.6M  ord_end=2019-02-28
  [295/446] W9127N25PA021      AWARD sam=$     0.9M  ours=$     0.6M  ord_end=-
  [296/446] W9127N18P0120      AWARD sam=$     0.6M  ours=$     0.6M  ord_end=-
  [297/446] W911WN15C0013      AWARD sam=$     0.6M  ours=$     0.6M  ord_end=-
  [298/446] W9127N22P0088      AWARD sam=$     0.6M  ours=$     0.6M  ord_end=-
  [299/446] W912BU15P0123      AWARD sam=$     0.6M  ours=$     0.6M  ord_end=-
  [300/446] W912EK25PA017      AWARD sam=$     1.4M  ours=$     0.6M  ord_end=-
  [301/446] W912P524A0002      IDV   sam=$     0.9M  ours=$     0.6M  ord_end=2029-07-30
  [302/446] GS07F0410W         IDV   sam=$     0.0M  ours=$     0.6M  ord_end=2030-05-02
  [303/446] W912P812C0028      AWARD sam=$     0.6M  ours=$     0.6M  ord_end=-
  [304/446] W911XK17C0006      AWARD sam=$     0.6M  ours=$     0.6M  ord_end=-
  [305/446] W912BU19P0004      AWARD sam=$     0.5M  ours=$     0.5M  ord_end=-
  [306/446] W912DW21P0082      AWARD sam=$     0.5M  ours=$     0.5M  ord_end=-
  [307/446] W9123721P0041      AWARD sam=$     0.5M  ours=$     0.5M  ord_end=-
  [308/446] W50S8625CA001      AWARD sam=$     0.6M  ours=$     0.5M  ord_end=-
  [309/446] W9123711D0016      IDV   sam=$     0.0M  ours=$     0.5M  ord_end=2016-06-30
  [310/446] W9123719P0015      AWARD sam=$     0.5M  ours=$     0.5M  ord_end=-
  [311/446] W912BU19P0014      AWARD sam=$     0.5M  ours=$     0.5M  ord_end=-
  [312/446] W912EK25PA009      AWARD sam=$     1.5M  ours=$     0.5M  ord_end=-
  [313/446] W912BU16P0105      AWARD sam=$     0.5M  ours=$     0.5M  ord_end=-
  [314/446] W9123718P0059      AWARD sam=$     0.5M  ours=$     0.5M  ord_end=-
  [315/446] W912EQ17P0090      AWARD sam=$     0.5M  ours=$     0.5M  ord_end=-
  [316/446] W9127817C0006      AWARD sam=$     0.5M  ours=$     0.5M  ord_end=-
  [317/446] W912BU15P0092      AWARD sam=$     0.5M  ours=$     0.5M  ord_end=-
  [318/446] W9127N23P0079      AWARD sam=$     0.5M  ours=$     0.5M  ord_end=-
  [319/446] W9128F20P0090      AWARD sam=$     0.5M  ours=$     0.5M  ord_end=-
  [320/446] W9127S24P0001      AWARD sam=$     0.5M  ours=$     0.5M  ord_end=-
  [321/446] W9127N20P0043      AWARD sam=$     0.5M  ours=$     0.5M  ord_end=-
  [322/446] W9127N18C0079      AWARD sam=$     0.5M  ours=$     0.5M  ord_end=-
  [323/446] W912EP17A0010      IDV   sam=$     0.3M  ours=$     0.5M  ord_end=2022-04-05
  [324/446] W912DS24C0010      AWARD sam=$     0.5M  ours=$     0.5M  ord_end=-
  [325/446] W912DW25P0037      AWARD sam=$     1.0M  ours=$     0.5M  ord_end=-
  [326/446] W912P821C0022      AWARD sam=$     0.5M  ours=$     0.5M  ord_end=-
  [327/446] W912BU11P0038      AWARD sam=$     0.5M  ours=$     0.5M  ord_end=-
  [328/446] W9127N20P0044      AWARD sam=$     0.5M  ours=$     0.5M  ord_end=-
  [329/446] W912EF20C0016      AWARD sam=$     0.5M  ours=$     0.5M  ord_end=-
  [330/446] W9127N21P0022      AWARD sam=$     0.5M  ours=$     0.5M  ord_end=-
  [331/446] W912EP17A0008      IDV   sam=$     0.3M  ours=$     0.5M  ord_end=2022-04-05
  [332/446] W9127N15D0001      IDV   sam=$     0.5M  ours=$     0.5M  ord_end=2020-02-10
  [333/446] W912QR22P0096      AWARD sam=$     0.5M  ours=$     0.5M  ord_end=-
  [334/446] W912ES21P0107      AWARD sam=$     0.5M  ours=$     0.5M  ord_end=-
  [335/446] W912P521P0034      AWARD sam=$     0.5M  ours=$     0.5M  ord_end=-
  [336/446] W9127N24P0042      AWARD sam=$     0.5M  ours=$     0.5M  ord_end=-
  [337/446] W912DR25PA019      AWARD sam=$     0.5M  ours=$     0.5M  ord_end=-
  [338/446] W9132T20P0020      AWARD sam=$     0.5M  ours=$     0.5M  ord_end=-
  [339/446] W912ES21P0066      AWARD sam=$     0.5M  ours=$     0.5M  ord_end=-
  [340/446] W912EE25PA011      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [341/446] W9123719P0072      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [342/446] W912ES14P0156      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [343/446] W912BU15P0121      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [344/446] W912DW18P0004      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [345/446] W912EQ21P0014      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [346/446] W9127N21P0128      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [347/446] W9123615C0020      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [348/446] W912DW19P0052      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [349/446] W9123721P0035      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [350/446] W9123717P0010      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [351/446] W912P823P0043      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [352/446] W912PM24P0046      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [353/446] W912P819C0042      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [354/446] W9127N19P0024      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [355/446] W912ES24P0144      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [356/446] W9127N25PA056      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [357/446] GS07F0011J         IDV   sam=$     0.0M  ours=$     0.4M  ord_end=2018-09-30
  [358/446] W9127N19C0031      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [359/446] W912P719P0003      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [360/446] W912DW21P0030      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [361/446] W911S016P0070      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [362/446] W912BU20P0020      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [363/446] W912QR13C0003      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [364/446] W912QM16P0042      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [365/446] W912EQ24P0049      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [366/446] W50S8625PA002      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [367/446] W912BU14C0016      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [368/446] W912BU25C0034      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [369/446] W9127N25PA025      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [370/446] W9123724P0040      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [371/446] W912EE25PA062      AWARD sam=$     0.5M  ours=$     0.4M  ord_end=-
  [372/446] W912P816C0034      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [373/446] W56HZV21DL036      IDV   sam=$     0.4M  ours=$     0.4M  ord_end=2026-01-25
  [374/446] W912HY19P0010      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [375/446] W9127S20P0008      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [376/446] W912DS23P0014      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [377/446] W912P420C0003      AWARD sam=$     0.4M  ours=$     0.4M  ord_end=-
  [378/446] W912BU18P0001      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [379/446] W912EE21P0078      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [380/446] W9127N11D0010      IDV   sam=$     2.2M  ours=$     0.3M  ord_end=2016-08-31
  [381/446] W56KGZ21P6111      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [382/446] W9126G17C0070      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [383/446] W912P816C0002      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [384/446] W912ES20P0122      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [385/446] W9123725P0002      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [386/446] W912BU19G0001      IDV   sam=$     0.3M  ours=$     0.3M  ord_end=2048-10-10
  [387/446] W9126G17C0095      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [388/446] W912EQ19P0042      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [389/446] W912EK17C0065      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [390/446] W912BU19C0046      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [391/446] W911XK18C0017      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [392/446] W9123719P0068      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [393/446] W9127816C0015      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [394/446] W912EP10D0005      IDV   sam=$     0.7M  ours=$     0.3M  ord_end=2015-01-31
  [395/446] W912EQ16C0005      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [396/446] W912P823A0002      IDV   sam=$     0.4M  ours=$     0.3M  ord_end=2028-03-15
  [397/446] W912PM16P0049      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [398/446] W9127N18C0077      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [399/446] W912BU17P0046      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [400/446] W912P714C0003      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [401/446] W912HZ19C0039      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [402/446] W56HZV19C0179      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [403/446] W912P813P0008      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [404/446] W912EK19C0003      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [405/446] W912P816C0040      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [406/446] W912EF23P0043      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [407/446] W911S016D0004      IDV   sam=$     0.3M  ours=$     0.3M  ord_end=2020-12-20
  [408/446] W912PM22P0067      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [409/446] W9127S25PA007      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [410/446] W56HZV20D0012      IDV   sam=$     0.8M  ours=$     0.3M  ord_end=2025-07-29
  [411/446] W9123717P0100      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [412/446] HHSP233201700009B  IDV   sam=$     0.3M  ours=$     0.3M  ord_end=2022-04-16
  [413/446] W912DR25PA022      AWARD sam=$     0.4M  ours=$     0.3M  ord_end=-
  [414/446] W912P517P0004      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [415/446] GS07F9386S         IDV   sam=$     0.0M  ours=$     0.3M  ord_end=2021-02-26
  [416/446] W912DW24P0016      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [417/446] W912P921G0001      IDV   sam=$     0.3M  ours=$     0.3M  ord_end=2022-04-20
  [418/446] W9127N21P0142      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [419/446] W912BU12P0109      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [420/446] W912PM23P0013      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [421/446] W911WN14P0014      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [422/446] W912P817C0005      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [423/446] W912DW19P0073      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [424/446] W912EQ22P0055      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [425/446] W912P923C0004      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [426/446] W912P924P0013      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [427/446] W912EK24P0033      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [428/446] W911S017P0026      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [429/446] W912DS25PA003      AWARD sam=$     0.6M  ours=$     0.3M  ord_end=-
  [430/446] 47QSWA23D006A      IDV   sam=$     0.0M  ours=$     0.3M  ord_end=2028-05-23
  [431/446] W912P922P0009      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [432/446] 47QSWA22D0051      IDV   sam=$     0.0M  ours=$     0.3M  ord_end=2027-04-27
  [433/446] W912P819C0007      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [434/446] W912P826CA003      AWARD sam=$     0.8M  ours=$     0.3M  ord_end=-
  [435/446] W912QR24P0103      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [436/446] W9127N21P0039      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [437/446] W912ES21P0003      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [438/446] W912P624P0014      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [439/446] W912P714C0009      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [440/446] W912P820C0016      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [441/446] W912DS16A0018      IDV   sam=$     0.3M  ours=$     0.3M  ord_end=2018-07-04
  [442/446] W912QR21P0042      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [443/446] W912EQ20P0041      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [444/446] W9127N24P0116      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [445/446] W9127815C0001      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-
  [446/446] W912DW23P0056      AWARD sam=$     0.3M  ours=$     0.3M  ord_end=-

=== done. 446 families processed; 446 found in CA API; 137 IDV families got an ordering-period end (hydrated).
