program,piid,work_type,n_awards,n_distinct_dates,median_interaward_days,n_waves,median_wave_gap_days,gap_iqr_days,gap_cv,n_gaps,last_award_date,last_wave_anchor,next_expected,max_wave_duration_days,median_wave_duration_days,median_quiet_gap_days,n_quiet_gaps,max_wave_duration_to_gap_ratio,active_months_frac,dollars_recent,dollars_prior,active_vendors_prior,active_vendors_recent,top1_share_prior,top1_share_recent,dollars_last180_m,records_last180,dollars_last365_m,records_last365,days_since_last_award,vendor_adds_last365,recent_top1_uei,recent_top1_name,second_source_entry_fy,incumbent_uei,incumbent_name,incumbent_still_active,vendor_retention_avg,allocation_similarity_avg,top_vendor_stable_frac,capability_coherence,prodcycle_confidence
ddg,N0002413C2305,hvac,12,7,143,5,218,116,0.516,4,2025-02-19,2024-11-24,2025-09-25,141,0,197,4,0.647,0.1842,0.765,0,0,5,0.0,0.5176,0,0,0,0,457,0,ZTPLJJTAD2F4,HOWDEN AMERICAN FAN COMPANY,2022,,,,0.0833,0.1012,0.2,0.2,not-supportable
ddg,N0002413C2305,electrical,7,5,289,4,357,180,0.449,3,2025-05-09,2025-05-09,2026-05-01,44,0,357,3,0.123,0.119,0.354,0,0,4,0.0,0.5314,0,0,0,0,378,0,PNE9R5EJMWK8,"L3 TECHNOLOGIES, INC.",2022,,,,0.0,0.0,0.25,0.25,not-supportable
ddg,N0002413C2305,piping,7,4,96,3,258,148,0.812,2,2022-06-29,2022-06-29,2023-03-14,28,0,244,2,0.109,0.2222,0.236,0.051,1,3,1.0,0.5003,0,0,0,0,1423,0,ZXMJM9MBXBQ4,"HILLER COMPANIES, INC., THE",2022,U45EH8WMNF55,"CIRCOR INTERNATIONAL, INC.",no,0.0,0.0,0.3333,0.3333,not-supportable
ddg,N0002413C2305,structural,6,3,258,2,493,,,1,2024-05-22,2024-04-28,2025-09-27,48,24,469,1,0.097,0.1667,0.572,0,0,2,0.0,0.7755,0,0,0,0,730,0,GCDKJTM3RJX6,"RAPID DEPLOYABLE SYSTEMS, INC",2023,,,,0.0,0.0,0.5,0.5,low
ddg,N0002413C2307,unbucketed,748,536,4,5,282,816,1.466,4,2026-05-22,2026-05-22,2027-02-28,3886,0,154,4,13.78,0.7756,3.263,137.011,144,28,0.2598,0.2236,0.04,1,-0.006,2,0,0,KB45YQR3KSL5,"MISSISSIPPI SECURITY POLICE, INC.",2022,WUDSRNBSYC17,"ERIE FORGE AND STEEL, INC.",no,0.25,0.0,0.25,0.2,not-supportable
ddg,N0002413C2307,structural,305,239,10,7,480,536,0.763,6,2025-11-11,2025-09-23,2027-03-06,2339,289,110,6,4.873,0.6933,16.167,49.269,20,14,0.2932,0.5542,0,0,-0.522,5,192,0,QNF5KM7YJSN7,"SOUTHCOAST WELDING & MANUFACTURING, LLC.",2022,KN4DLHTLNCS8,"J.F. LEHMAN & COMPANY, INC.",yes,0.6031,0.5238,0.3333,0.8571,medium
ddg,N0002413C2307,piping,453,290,6,7,348,98,1.2,6,2025-08-15,2025-08-15,2026-07-29,2525,81,157,6,7.256,0.6531,2.494,96.062,33,12,0.0976,0.4468,0,0,0.24,1,280,1,V1MQFNQB56Z5,RIX INDUSTRIES,2023,GGSLGRB5KXM6,PON HOLDINGS B.V.,no,0.2595,0.1078,0.2857,0.1429,not-supportable
ddg,N0002413C2307,electrical,255,195,10,8,637,478,0.596,7,2025-12-18,2025-10-16,2027-09-16,1333,208,130,7,2.093,0.6133,4.171,65.495,14,6,0.3846,0.4296,0.062,1,0.286,3,155,0,W8PTMRME1496,LEONARDO SPA,2023,XXP4PLFFFGK9,"L3 TECHNOLOGIES, INC.",no,0.6381,0.208,0.375,0.125,not-supportable
ddg,N0002413C2307,machining,140,116,17,9,334,278,0.878,8,2024-02-20,2024-02-20,2025-01-19,1618,68,186,8,4.844,0.5116,0.326,185.229,7,4,0.9004,0.4225,0,0,0,0,822,0,FZPYZ11SFNA6,TIMKEN GEARS & SERVICES INC.,2022,VE65QFAKCLG7,ROLLS-ROYCE HOLDINGS PLC,no,0.5643,0.4091,0.4444,0.0,not-supportable
ddg,N0002413C2307,coatings,30,27,85,13,188,88,1.012,12,2023-03-31,2023-03-31,2023-10-05,132,0,142,12,0.702,0.213,0.422,3.586,4,3,0.4513,0.6439,0,0,0,0,1148,0,DQ35GXAUTW61,INDUSTRIAL CORROSION CONTROL INC,2022,DQ35GXAUTW61,INDUSTRIAL CORROSION CONTROL INC,yes,0.5833,0.5198,0.3077,0.6154,medium
ddg,N0002413C2307,hvac,121,90,19,13,243,202,0.587,12,2023-12-12,2023-10-20,2024-08-11,671,75,164,12,2.761,0.4331,0.954,107.214,8,2,0.7019,0.5296,0,0,0,0,892,0,SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",2022,Z2N8C3NL8FW5,"JOHNSON CONTROLS, INC.",no,0.6069,0.4679,0.3846,0.0769,not-supportable
ddg,N0002413C2307,castings,19,13,107,7,282,111,0.562,6,2019-01-16,2019-01-16,2019-10-25,30,0,276,6,0.106,0.1194,0,4.061,4,0,0.4488,0.0,0,0,0,0,2683,0,,,,GZKZJF8DBJJ2,"LISTER CHAIN AND FORGE, INC.",no,0.6667,0.5292,0.4286,0.4286,not-supportable
ddg,N0002414C4313,unbucketed,40,39,18,7,188,154,0.444,6,2019-12-18,2019-12-18,2020-06-23,486,9,105,6,2.585,0.4565,0,29.904,27,0,0.5289,0.0,0,0,0,0,2347,0,,,,VE65QFAKCLG7,ROLLS-ROYCE HOLDINGS PLC,no,0.2222,0.2189,0.2857,0.1429,not-supportable
ddg,N0002414C4313,machining,20,19,28,3,248,98,0.563,2,2019-07-09,2018-10-04,2020-03-13,400,88,134,2,1.613,0.4444,0,40.476,2,0,0.5143,0.0,0,0,0,0,2509,0,,,,VE65QFAKCLG7,ROLLS-ROYCE HOLDINGS PLC,no,1.0,0.5508,0.6667,,not-supportable
ddg,N0002414C4313,structural,3,3,299,3,299,26,0.123,2,2019-12-16,2019-12-16,2020-10-10,0,0,299,2,0.0,0.1429,0,1.194,2,0,0.9701,0.0,0,0,0,0,2349,0,,,,QNF5KM7YJSN7,"SOUTHCOAST WELDING & MANUFACTURING, LLC.",no,0.5,0.5,0.6667,1.0,medium
ddg,N0002414C4313,electrical,4,4,136,3,312,162,0.738,2,2019-07-23,2019-07-10,2020-05-30,26,0,305,2,0.083,0.1818,0,0.401,2,0,0.6458,0.0,0,0,0,0,2495,0,,,,W8PTMRME1496,LEONARDO SPA,no,0.25,0.3435,0.6667,0.6667,low
ddg,N0002414C4313,hvac,2,2,528,2,528,,,1,2018-10-08,2018-10-08,2020-03-19,0,0,528,1,0.0,0.1053,0,1.929,2,0,0.9869,0.0,0,0,0,0,2783,0,,,,SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",no,0.0,0.0,0.5,0.5,low
ddg,N0002414C4313,piping,3,3,591,3,591,236,0.565,2,2019-11-20,2019-11-20,2021-07-03,0,0,591,2,0.0,0.075,0,0.963,2,0,0.8837,0.0,0,0,0,0,2375,0,,,,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,no,0.0,0.0,0.6667,0.3333,not-supportable
ddg,N0002414C4313,coatings,1,1,0,1,0,,,0,2018-08-14,2018-08-14,,0,0,0,0,,1.0,0,0.241,1,0,1.0,0.0,0,0,0,0,2838,0,,,,E86GJS762JJ5,TOTAL SA,no,,,1.0,1.0,n/a
ddg,N0002418C2305,electrical,6,6,131,5,183,222,1.004,4,2025-04-30,2025-04-30,2025-10-30,36,0,174,4,0.197,0.1395,7.751,0,0,5,0.0,0.4364,0,0,0,0,387,0,Z89SS59265U9,ESPEY MFG AND ELECTRONICS CORP,2022,,,,0.25,0.0027,0.2,0.2,not-supportable
ddg,N0002418C2305,unbucketed,5,5,450,5,450,2072,1.684,4,2025-04-01,2025-04-01,2026-06-25,0,0,450,4,0.0,0.0177,0.482,3.698,1,4,1.0,0.8097,0,0,0,0,416,0,YULJLSW1N2G4,CYGNUS L.L.C.,2022,Y9LLF354DH36,"BIRD-JOHNSON PROPELLER COMPANY, LLC",no,0.0,0.0,0.2,0.2,not-supportable
ddg,N0002418C2305,piping,4,3,178,3,178,48,0.376,2,2022-11-28,2022-11-28,2023-05-25,0,0,178,2,0.0,0.25,3.715,0,0,3,0.0,0.712,0,0,0,0,1271,0,JBMKQ8ZH6FN9,DOVER CORPORATION,2022,,,,0.0,0.0,0.3333,0.3333,not-supportable
ddg,N0002418C2305,structural,2,2,762,2,762,,,1,2024-12-20,2024-12-20,2027-01-21,0,0,762,1,0.0,0.0769,3.451,0,0,2,0.0,0.8277,0,0,0,0,518,0,K84MXRVQ8BW5,"PACIFIC SHIPYARDS INTERNATIONAL, LLC",2023,,,,0.0,0.0,0.5,1.0,low
ddg,N0002418C2305,machining,3,2,727,2,727,,,1,2025-01-09,2025-01-09,2027-01-06,0,0,727,1,0.0,0.08,11.608,0,0,2,0.0,0.9972,0,0,0,0,498,0,H4ZMPGLLZ8D9,ARTCRAFT FABRICATORS INC,2023,,,,0.0,0.0,0.5,0.5,low
ddg,N0002418C2305,hvac,2,2,343,2,343,,,1,2024-11-27,2024-11-27,2025-11-05,0,0,343,1,0.0,0.1667,24.679,0,0,2,0.0,0.9972,0,0,0,0,541,0,SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",2024,,,,0.0,0.0,0.5,0.5,low
ddg,N0002418C2305,coatings,1,1,0,1,0,,,0,2023-07-26,2023-07-26,,0,0,0,0,,1.0,0.364,0,0,1,0.0,1.0,0,0,0,0,1031,0,EGAVSJTA2D81,GOODRICH CORP,2023,,,,,,1.0,1.0,n/a
ddg,N0002418C2307,unbucketed,507,387,4,1,0,,,0,2026-03-06,2023-05-23,,2689,2689,0,0,,0.9444,35.021,39.911,49,109,0.1791,0.103,1.744,20,8.508,94,77,15,JU2ME5ZK8VL3,"MMC METROLOGY LAB, INC",2022,LR2HQKYJLDZ7,ESI ACQUISITION CORP.,yes,,,1.0,1.0,n/a
ddg,N0002418C2307,piping,721,423,4,2,1253,,,1,2026-03-03,2024-12-13,2029-08-07,1878,1282,117,1,1.499,0.9111,80.584,99.565,33,48,0.1331,0.0888,0.96,10,10.076,56,80,1,SSD8KRDXKG46,"THE HILLER COMPANIES, LLC",2022,LNGAZMTYJPL3,THE ENTWISTLE TRUST,no,0.6562,0.1341,0.5,0.5,low
ddg,N0002418C2307,structural,387,277,5,3,892,535,0.848,2,2026-03-06,2023-10-19,2028-08-14,2158,194,110,2,2.419,0.809,120.058,37.283,16,32,0.2513,0.2631,22.382,17,45.086,55,77,0,QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,2022,YELYMYLF82L9,"LAKE SHORE SYSTEMS, INC.",yes,0.4337,0.1727,0.3333,1.0,medium
ddg,N0002418C2307,electrical,355,230,7,3,810,541,0.945,2,2026-03-06,2023-05-11,2028-05-24,2275,120,114,2,2.809,0.8111,55.429,85.136,12,19,0.2661,0.1751,1.757,9,13.444,41,77,0,YYVHWZMPP3F8,DRS NAVAL POWER SYSTEMS INC,2022,W8PTMRME1496,LEONARDO SPA,yes,0.2976,0.0421,0.3333,0.3333,not-supportable
ddg,N0002418C2307,hvac,172,116,10,8,277,258,0.565,7,2026-03-06,2026-03-06,2026-12-08,888,113,102,7,3.206,0.6404,36.561,138.551,6,11,0.7463,0.6409,0.341,2,5.206,5,77,1,SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",2022,XEQ3L57D2J24,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,yes,0.6095,0.4986,0.375,0.5,low
ddg,N0002418C2307,machining,111,88,16,6,540,409,0.545,5,2026-02-02,2025-05-08,2027-07-27,672,126,169,5,1.244,0.5056,78.085,234.167,4,10,0.914,0.8446,0.467,3,4.77,14,109,3,JRZ1WHXAKBM3,GENERAL ELECTRIC COMPANY,2022,VE65QFAKCLG7,ROLLS-ROYCE HOLDINGS PLC,no,0.5821,0.488,0.5,0.3333,not-supportable
ddg,N0002418C2307,castings,52,43,42,10,205,51,0.487,9,2025-11-26,2025-01-27,2026-06-19,533,57,159,9,2.6,0.3488,5.7,48.783,4,8,0.9605,0.442,0.076,1,0.456,5,177,0,GZKZJF8DBJJ2,"LISTER CHAIN AND FORGE, INC.",2022,GKPGD2F1LKL5,"ELLWOOD GROUP, INC.",no,0.5222,0.4442,0.4,0.8,medium
ddg,N0002418C2307,coatings,53,49,18,8,214,370,0.696,7,2025-12-08,2025-10-04,2026-07-10,475,0,153,7,2.22,0.3684,10.072,0.277,2,5,0.7664,0.7164,0.291,3,2.294,14,165,0,DQ35GXAUTW61,INDUSTRIAL CORROSION CONTROL INC,2022,SFBKRA9THBA3,ESCO TECHNOLOGIES INC.,yes,0.4881,0.5665,0.5,0.5,low
ddg,N0002419C2322,unbucketed,36,30,22,2,662,,,1,2023-12-06,2022-12-07,2025-09-28,793,432,195,1,1.198,0.5278,2.988,0.576,3,22,0.6021,0.2072,0,0,0,0,898,0,DH7CZ5SHWTN7,"CRITICAL COMMUNICATIONS, CONTROLS AND INSTRUMENTS, LLC",2022,L14LNGXH8M26,CURTIS WRIGHT BUILDERS LLC,no,0.0455,0.0049,0.5,0.5,low
ddg,N0002419C2322,piping,20,15,19,5,232,89,0.349,4,2023-08-25,2023-07-06,2024-04-13,64,43,186,4,0.276,0.3333,4.073,0.054,1,9,1.0,0.316,0,0,0,0,1001,0,YMKJUADMJN79,TRI-TEC MANUFACTURING LLC,2022,U45EH8WMNF55,"CIRCOR INTERNATIONAL, INC.",yes,0.2083,0.2544,0.4,0.8,low
ddg,N0002419C2322,electrical,16,11,62,5,278,137,0.369,4,2024-03-29,2024-03-29,2025-01-01,108,0,242,4,0.388,0.2308,7.45,0.256,1,7,1.0,0.3608,0,0,0,0,784,0,P2LKC7KAFFR2,"FAIRMOUNT AUTOMATION, INC.",2023,W8PTMRME1496,LEONARDO SPA,yes,0.25,0.25,0.6,0.2,not-supportable
ddg,N0002419C2322,hvac,4,4,77,2,330,,,1,2023-11-28,2023-11-15,2024-10-23,90,45,253,1,0.273,0.25,0.608,0,0,4,0.0,0.4184,0,0,0,0,906,0,W8PTMRME1496,LEONARDO SPA,2023,,,,0.0,0.0,0.5,0.5,low
ddg,N0002419C2322,structural,17,15,13,5,180,95,0.523,4,2023-08-02,2023-08-02,2024-01-29,69,12,174,4,0.383,0.25,1.815,3.368,2,3,0.5441,0.6414,0,0,0,0,1024,0,UK8DL82MHJG5,PROPULSION CONTROLS ENGINEERING,2022,YELYMYLF82L9,"LAKE SHORE SYSTEMS, INC.",yes,0.625,0.5543,0.6,1.0,medium
ddg,N0002419C2322,machining,2,2,453,2,453,,,1,2023-06-05,2023-06-05,2024-08-31,0,0,453,1,0.0,0.125,0.33,0,0,2,0.0,0.7814,0,0,0,0,1082,0,VE65QFAKCLG7,ROLLS-ROYCE HOLDINGS PLC,2022,,,,0.0,0.0,0.5,,not-supportable
ddg,N0002419C2322,coatings,3,3,24,1,0,,,0,2022-11-14,2022-11-01,,48,48,0,0,,0.6667,0.982,0,0,1,0.0,1.0,0,0,0,0,1285,0,S3GFGJ1QGAE6,"M.S.M. INDUSTRIES, INC.",2022,,,,,,1.0,1.0,n/a
ddg,N0002419C4452,unbucketed,30,26,14,6,263,56,0.362,5,2025-05-07,2025-05-07,2026-01-25,246,24,130,5,0.935,0.3488,3.458,0,0,21,0.0,0.1759,0,0,0,0,380,0,C2WJWFHRK5S7,QUALITY PERFORMANCE INC,2022,,,,0.2222,0.0394,0.1667,0.1667,not-supportable
ddg,N0002419C4452,electrical,24,16,66,5,315,281,0.542,4,2024-05-14,2024-02-12,2025-03-25,391,0,172,4,1.241,0.2391,2.692,0.112,1,11,1.0,0.4802,0,0,0,0,738,0,T5CFQAL52L76,KATO ENGINEERING INC.,2022,W8PTMRME1496,LEONARDO SPA,yes,0.25,0.25,0.4,0.2,not-supportable
ddg,N0002419C4452,structural,29,26,27,5,248,74,0.409,4,2024-07-24,2024-06-27,2025-03-29,203,99,143,4,0.819,0.4118,10.43,0,0,9,0.0,0.6098,0,0,0,0,667,0,YELYMYLF82L9,"LAKE SHORE SYSTEMS, INC.",2022,,,,0.5833,0.2467,0.6,1.0,medium
ddg,N0002419C4452,piping,17,17,28,3,265,22,0.117,2,2023-10-25,2023-08-15,2024-07-16,169,121,144,2,0.638,0.5714,4.573,0,0,9,0.0,0.3646,0,0,0,0,940,0,V1MQFNQB56Z5,RIX INDUSTRIES,2022,,,,0.4429,0.2726,0.3333,0.3333,not-supportable
ddg,N0002419C4452,hvac,15,14,43,3,400,12,0.044,2,2024-06-05,2023-12-15,2025-07-10,370,0,302,2,0.925,0.3333,3.074,0,0,4,0.0,0.4787,0,0,0,0,716,0,ZTPLJJTAD2F4,HOWDEN AMERICAN FAN COMPANY,2022,,,,0.0,0.0,0.3333,0.6667,low
ddg,N0002419C4452,machining,3,3,488,2,971,,,1,2024-10-21,2024-10-15,2027-06-19,13,6,964,1,0.013,0.0606,0.364,0,0,2,0.0,0.6694,0,0,0,0,578,0,N3K7U4MKPSE4,"J & R TOOL, INC",2022,,,,0.0,0.0,0.5,0.5,low
ddg,N0002423C2307,piping,196,71,6,1,0,,,0,2026-03-02,2024-09-22,,884,884,0,0,,0.7742,138.752,0,0,32,0.0,0.122,0.398,2,9.849,54,81,10,W138B61KN3Q7,PARKER-HANNIFIN CORPORATION,2023,,,,,,1.0,1.0,n/a
ddg,N0002423C2307,structural,86,25,20,3,213,65,0.432,2,2026-01-13,2025-02-03,2026-08-14,361,131,139,2,1.695,0.6154,57.454,0,0,11,0.0,0.4472,0.632,2,1.674,8,129,5,EZN9VQG18FN1,"LAKE SHORE SYSTEMS, INC.",2024,,,,0.1111,0.2264,0.3333,0.6667,low
ddg,N0002423C2307,unbucketed,27,19,14,4,130,25,0.196,3,2025-11-25,2025-10-09,2026-04-04,118,31,109,3,0.908,0.5294,9.818,0,0,11,0.0,0.3763,0.324,1,5.059,15,178,7,M4ANYAZ8Q6H8,"SETRA SYSTEMS, INC.",2024,,,,0.1667,0.3313,0.5,0.5,low
ddg,N0002423C2307,electrical,87,26,22,4,156,33,0.209,3,2026-01-30,2026-01-30,2026-07-05,386,21,123,3,2.474,0.5556,159.371,0,0,10,0.0,0.2497,2.431,5,3.945,10,112,0,ZW3UMG9YVNA9,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC.",2024,,,,0.5,0.1283,0.25,0.25,not-supportable
ddg,N0002423C2307,machining,20,11,46,3,314,18,0.083,2,2025-09-24,2025-06-18,2026-08-04,190,82,206,2,0.605,0.36,491.458,0,0,6,0.0,0.5427,0,0,272.935,5,240,1,JRZ1WHXAKBM3,GENERAL ELECTRIC COMPANY,2023,,,,0.375,0.6521,0.6667,0.6667,medium
ddg,N0002423C2307,hvac,43,18,21,4,273,99,0.503,3,2025-09-22,2025-06-30,2026-06-22,213,44,119,3,0.78,0.48,177.964,0,0,6,0.0,0.7266,0,0,60.069,9,242,0,SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",2023,,,,0.3333,0.2498,0.75,0.75,low
ddg,N0002423C2307,castings,9,7,74,4,255,92,0.435,3,2025-10-16,2025-08-27,2026-06-28,66,25,230,3,0.259,0.2917,43.789,0,0,4,0.0,0.6498,0,0,14.268,4,218,1,SVXNHLLWX953,ELLWOOD NATIONAL FORGE COMPANY,2024,,,,0.0,0.0,0.5,0.75,low
