program,family,piid,work_type,wave_seq,wave_start,wave_end,wave_anchor,wave_duration_days,prior_wave_interval_days,n_records,wave_dollars_m,wave_dollars_positive_m,n_vendors,top_vendor_uei,top_vendor_name,top1_share,others_share,modal_capability,neg_correction_m,prime_base_offset_days
virginia,Submarines,N0002421C4106,structural,1,2025-02-18,2025-02-18,2025-02-18,0,,1,0.374,0.374,1,MF1LU8RPCMB8,RANOR INC.,1.0,0.0,Plate Work Manufacturing,0.0,1523
virginia,Submarines,N0002421C4106,structural,2,2025-10-21,2025-10-21,2025-10-21,0,245,1,0.3,0.3,1,MF1LU8RPCMB8,RANOR INC.,1.0,0.0,Plate Work Manufacturing,0.0,1768
virginia,Submarines,N0002421C4106,unbucketed,1,2022-03-09,2022-10-27,2022-07-07,232,,5,0.325,0.325,4,YLQMY5SGNE55,3M COMPANY,0.5433,0.4567,Adhesive Manufacturing,0.0,566
virginia,Submarines,N0002421C4106,unbucketed,2,2023-06-28,2023-08-08,2023-07-19,41,377,2,0.256,0.256,2,KHN9PQ6VZ756,MIDSTATE INDUSTRIAL SUPPLY INC,0.5785,0.4215,,0.0,943
virginia,Submarines,N0002421C4106,unbucketed,3,2023-12-06,2023-12-06,2023-12-06,0,140,1,0.179,0.179,1,UJJWGFAEB7S8,JANUS ENGINEERING AMERICAS CORPORATION,1.0,0.0,,0.0,1083
virginia,Submarines,N0002421C4106,unbucketed,4,2024-07-10,2024-07-10,2024-07-10,0,217,1,0.083,0.083,1,E8QBZAUN1UL3,PALMER HOLLAND INC,1.0,0.0,,0.0,1300
virginia,Submarines,N0002421C4106,unbucketed,5,2024-12-05,2024-12-05,2024-12-05,0,148,1,0.047,0.047,1,KHN9PQ6VZ756,MIDSTATE INDUSTRIAL SUPPLY INC,1.0,0.0,,0.0,1448
virginia,Submarines,N0002421C4106,unbucketed,6,2025-03-07,2025-04-22,2025-04-01,46,117,3,0.185,0.185,3,GAJ1F3WQCWY5,THE SHERWIN-WILLIAMS COMPANY,0.4646,0.5354,,0.0,1565
virginia,Submarines,N0002421C4111,unbucketed,1,2024-02-19,2024-02-19,2024-02-19,0,,1,0.052,0.052,1,KUCZSM9XDBS5,"GLOBAL SUPPLY, INC.",1.0,0.0,,0.0,872
virginia,Submarines,N0002421C4111,unbucketed,2,2025-02-07,2025-05-29,2025-04-03,111,409,6,4.646,4.646,5,JCXDK86FK3L5,FEDERAL METAL CO,0.6965,0.3035,"Copper Rolling, Drawing, Extruding, and Alloying",0.0,1281
virginia,Submarines,N0002424C2110,castings,1,2024-05-28,2025-08-21,2025-04-12,450,,70,32.555,32.555,8,N1PJDANWUJ61,SCOT FORGE COMPANY,0.7957,0.2043,Iron and Steel Forging,0.0,
virginia,Submarines,N0002424C2110,coatings,1,2025-05-14,2025-08-20,2025-07-25,98,,25,14.453,14.453,3,G9HKMXL5L973,"OIL STATES INDUSTRIES, INC.",0.9819,0.0181,Rubber Product Manufacturing for Mechanical Use,0.0,
virginia,Submarines,N0002424C2110,electrical,1,2024-01-04,2024-01-04,2024-01-04,0,,1,2.5,2.5,1,J9V9SJL4CW97,CURTISS-WRIGHT FLOW CONTROL CORPORATION,1.0,0.0,,0.0,
virginia,Submarines,N0002424C2110,electrical,2,2024-04-15,2024-08-16,2024-05-16,123,133,6,90.537,90.537,3,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,0.7842,0.2158,Other Aircraft Parts and Auxiliary Equipment Manufacturing,0.0,
virginia,Submarines,N0002424C2110,electrical,3,2024-11-19,2024-11-21,2024-11-20,2,188,2,0.305,0.305,1,RK6GKSXPC8W7,ARNOLD MAGNETICS CORPORATION,1.0,0.0,All Other Miscellaneous Electrical Equipment and Component Manufacturing,0.0,
virginia,Submarines,N0002424C2110,electrical,4,2025-03-25,2025-06-30,2025-06-11,97,203,5,10.383,10.383,5,E9DKKLZNCQS9,TRIDENT MARITIME SYSTEMS UK LIMITED,0.3891,0.6109,Other Electronic Component Manufacturing,0.0,
virginia,Submarines,N0002424C2110,hvac,1,2024-08-20,2024-08-21,2024-08-20,1,,4,14.324,14.324,1,UHXFGP3DCRK7,HANSOME ENERGY SYSTEMS INC,1.0,0.0,,0.0,
virginia,Submarines,N0002424C2110,hvac,2,2025-01-14,2025-01-14,2025-01-14,0,147,1,0.078,0.078,1,LJRBXLTGXN57,"CEPEDA ASSOCIATES, INC.",1.0,0.0,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,0.0,
virginia,Submarines,N0002424C2110,hvac,3,2025-07-25,2025-07-25,2025-07-25,0,192,1,2.098,2.098,1,LJRBXLTGXN57,"CEPEDA ASSOCIATES, INC.",1.0,0.0,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,0.0,
virginia,Submarines,N0002424C2110,machining,1,2024-05-20,2025-08-22,2025-05-27,459,,50,23.484,23.484,10,F76KN7T9YP64,WAUKESHA BEARINGS CORPORATION,0.5753,0.4247,Mechanical Power Transmission Equipment Manufacturing,0.0,
virginia,Submarines,N0002424C2110,piping,1,2024-05-31,2025-08-21,2024-10-25,447,,118,121.357,121.357,18,J9V9SJL4CW97,CURTISS-WRIGHT FLOW CONTROL CORPORATION,0.2417,0.7583,Industrial Valve Manufacturing,0.0,
virginia,Submarines,N0002424C2110,structural,1,2024-05-29,2024-11-22,2024-09-12,177,,5,31.218,31.218,4,YD1GK53355R5,"PRECISION CUSTOM COMPONENTS, LLC",0.6816,0.3184,Plate Work Manufacturing,0.0,
virginia,Submarines,N0002424C2110,structural,2,2025-03-28,2025-08-22,2025-04-23,147,223,13,50.37,50.37,7,YD1GK53355R5,"PRECISION CUSTOM COMPONENTS, LLC",0.6067,0.3933,Plate Work Manufacturing,0.0,
virginia,Submarines,N0002424C2110,unbucketed,1,2024-06-24,2025-08-15,2025-06-23,417,,43,6.15,6.15,24,D6GJGD1KMH25,"ANIXTER, INC",0.2757,0.7243,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",0.0,
columbia,Submarines,N0002413C2128,castings,1,2016-02-18,2016-03-22,2016-03-05,33,,2,0.767,1.058,2,N1PJDANWUJ61,SCOT FORGE COMPANY,1.0,0.0,Iron and Steel Forging,-0.291,
columbia,Submarines,N0002413C2128,castings,2,2016-08-17,2017-02-21,2016-10-27,188,236,10,0.52,0.52,3,N1PJDANWUJ61,SCOT FORGE COMPANY,0.5252,0.4748,Iron and Steel Forging,0.0,
columbia,Submarines,N0002413C2128,castings,3,2017-08-03,2017-09-28,2017-08-16,56,293,7,0.524,0.524,2,N1PJDANWUJ61,SCOT FORGE COMPANY,0.5162,0.4838,Iron and Steel Forging,0.0,
columbia,Submarines,N0002413C2128,castings,4,2018-04-03,2018-04-03,2018-04-03,0,230,1,0.068,0.068,1,HTR5K76FMH84,"FEDERAL BRONZE CASTING INDUSTRIES, INC.",1.0,0.0,Other Nonferrous Metal Foundries (except Die-Casting),0.0,
columbia,Submarines,N0002413C2128,castings,5,2019-11-26,2019-12-03,2019-11-29,7,605,2,0.054,0.054,1,N1PJDANWUJ61,SCOT FORGE COMPANY,1.0,0.0,Iron and Steel Forging,0.0,
columbia,Submarines,N0002413C2128,coatings,1,2016-05-16,2016-09-29,2016-08-27,136,,14,4.627,4.627,4,WXRTZLL25AE5,"SEEMANN COMPOSITES, LLC",0.7534,0.2466,Custom Compounding of Purchased Resins,0.0,
columbia,Submarines,N0002413C2128,coatings,2,2017-03-29,2017-08-03,2017-06-22,127,299,6,1.345,1.345,2,XFMBL7A963X9,"OIL STATES INTERNATIONAL, INC.",0.6283,0.3717,Rubber Product Manufacturing for Mechanical Use,0.0,
columbia,Submarines,N0002413C2128,coatings,3,2019-03-05,2019-03-05,2019-03-05,0,621,1,0.117,0.117,1,VJFKVNQBYVL5,GREENE RUBBER CO INC,1.0,0.0,Rubber Product Manufacturing for Mechanical Use,0.0,
columbia,Submarines,N0002413C2128,electrical,1,2016-04-26,2016-10-04,2016-08-08,161,,6,1.887,1.887,2,N9K8Y7U3RGA9,CATERPILLAR INC.,0.5044,0.4956,Construction Machinery Manufacturing,0.0,
columbia,Submarines,N0002413C2128,electrical,2,2017-02-03,2017-11-07,2017-04-18,277,253,13,3.556,3.693,6,N9K8Y7U3RGA9,CATERPILLAR INC.,0.4017,0.5983,Construction Machinery Manufacturing,-0.137,
columbia,Submarines,N0002413C2128,electrical,3,2018-03-21,2018-03-21,2018-03-21,0,337,1,0.27,0.27,1,PVMFSLG6GFF7,MTS SYSTEMS CORPORATION,1.0,0.0,Other Electronic Component Manufacturing,0.0,
columbia,Submarines,N0002413C2128,electrical,4,2021-01-25,2021-01-25,2021-01-25,0,1041,1,0.007,0.007,1,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,1.0,0.0,Other Aircraft Parts and Auxiliary Equipment Manufacturing,0.0,
columbia,Submarines,N0002413C2128,electrical,5,2021-09-24,2021-09-24,2021-09-24,0,242,1,1.281,1.281,1,LCV2N9FVV739,NORTHROP GRUMMAN CORPORATION,1.0,0.0,,0.0,
columbia,Submarines,N0002413C2128,hvac,1,2016-02-29,2016-08-22,2016-07-08,175,,6,3.928,3.928,4,L8T4R3N7ACL6,COLFAX CORPORATION,0.5401,0.4599,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,0.0,
columbia,Submarines,N0002413C2128,hvac,2,2017-05-04,2017-06-05,2017-06-05,32,332,3,0.565,0.565,2,UHXFGP3DCRK7,HANSOME ENERGY SYSTEMS INC,0.6562,0.3438,Aircraft Manufacturing,0.0,
columbia,Submarines,N0002413C2128,hvac,3,2017-10-11,2017-10-11,2017-10-11,0,128,1,0.102,0.102,1,LJRBXLTGXN57,"CEPEDA ASSOCIATES, INC.",1.0,0.0,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,0.0,
columbia,Submarines,N0002413C2128,hvac,4,2021-07-09,2021-07-09,2021-07-09,0,1367,1,0.2,0.2,1,SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",1.0,0.0,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,0.0,
columbia,Submarines,N0002413C2128,machining,1,2016-01-21,2016-01-21,2016-01-21,0,,1,0.047,0.047,1,NVPEBL51CSF8,"GUILL TOOL & ENGINEERING CO, INC.",1.0,0.0,Machine Shops,0.0,
columbia,Submarines,N0002413C2128,machining,2,2016-09-06,2016-09-06,2016-09-06,0,229,1,0.033,0.033,1,E2P8AAJA2LK5,"MICRO PRECISION, LLC",1.0,0.0,Precision Turned Product Manufacturing,0.0,
columbia,Submarines,N0002413C2128,machining,3,2017-01-24,2017-02-13,2017-02-03,20,150,4,1.244,1.244,2,GCWKULHML2S3,"WARTSILA DEFENSE, INC.",0.956,0.044,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,0.0,
columbia,Submarines,N0002413C2128,machining,4,2017-05-15,2017-06-01,2017-05-23,17,109,2,0.252,0.252,2,FWF8QBPCGLG3,GENERAL TOOL COMPANY,0.7039,0.2961,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,0.0,
columbia,Submarines,N0002413C2128,machining,5,2017-09-19,2017-09-19,2017-09-19,0,119,2,0.061,0.061,1,NVPEBL51CSF8,"GUILL TOOL & ENGINEERING CO, INC.",1.0,0.0,Machine Shops,0.0,
columbia,Submarines,N0002413C2128,machining,6,2018-01-25,2018-04-03,2018-01-25,68,128,4,0.24,0.24,3,K3XPS1HXNBF3,"B & F MACHINE CO., INC.",0.582,0.418,Machine Shops,0.0,
columbia,Submarines,N0002413C2128,machining,7,2021-02-12,2021-02-12,2021-02-12,0,1114,3,0.259,0.259,1,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",1.0,0.0,Machine Shops,0.0,
columbia,Submarines,N0002413C2128,piping,1,2016-01-06,2018-04-30,2017-05-15,845,,169,38.563,39.428,26,FBJ9NCJE2J56,"HUNT VALVE COMPANY, INC.",0.1692,0.8308,Industrial Valve Manufacturing,-0.865,
columbia,Submarines,N0002413C2128,piping,2,2018-08-07,2018-08-07,2018-08-07,0,449,1,0.057,0.057,1,FBJ9NCJE2J56,"HUNT VALVE COMPANY, INC.",1.0,0.0,,0.0,
columbia,Submarines,N0002413C2128,piping,3,2019-04-11,2019-04-11,2019-04-11,0,247,1,0.015,0.015,1,WLEATDDTMCT3,"GRAYCLIFF PARTNERS, LP",1.0,0.0,All Other Miscellaneous Fabricated Metal Product Manufacturing,0.0,
columbia,Submarines,N0002413C2128,piping,4,2019-07-16,2019-07-16,2019-07-16,0,96,1,0.03,0.03,1,NPDPXRZGXXL3,"LYN-LAD GROUP, LTD.",1.0,0.0,All Other Miscellaneous Fabricated Metal Product Manufacturing,0.0,
columbia,Submarines,N0002413C2128,piping,5,2019-10-29,2019-12-02,2019-11-15,34,122,2,0.757,0.757,2,Q35JL9GFCAK3,MAROTTA CONTROLS INC,0.9118,0.0882,Fluid Power Valve and Hose Fitting Manufacturing,0.0,
columbia,Submarines,N0002413C2128,piping,6,2021-01-29,2021-03-29,2021-02-27,59,470,2,0.757,0.774,2,L8T4R3N7ACL6,COLFAX CORPORATION,1.0,0.0,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,-0.017,
columbia,Submarines,N0002413C2128,piping,7,2021-12-20,2021-12-20,2021-12-20,0,296,4,-0.289,0.0,1,,,,,All Other Miscellaneous General Purpose Machinery Manufacturing,-0.289,
columbia,Submarines,N0002413C2128,structural,1,2016-02-09,2017-10-13,2017-03-14,612,,40,19.67,19.695,13,MJJNGNB5E3Q4,EKC INTERNATIONAL FZE,0.5084,0.4916,Plate Work Manufacturing,-0.025,
columbia,Submarines,N0002413C2128,structural,2,2020-04-28,2020-04-28,2020-04-28,0,1141,1,0.154,0.154,1,W67WSNENMZF7,ARCELORMITTAL SA,1.0,0.0,,0.0,
columbia,Submarines,N0002413C2128,unbucketed,1,2016-01-06,2018-03-27,2017-01-27,811,,209,48.016,48.494,103,JBMKQ8ZH6FN9,DOVER CORPORATION,0.2675,0.7325,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",-0.478,
columbia,Submarines,N0002413C2128,unbucketed,2,2018-10-02,2018-10-02,2018-10-02,0,613,1,-2.0,0.0,1,,,,,,-2.0,
columbia,Submarines,N0002413C2128,unbucketed,3,2019-05-09,2019-07-29,2019-06-22,81,263,4,0.535,0.535,3,H12BMH6V6495,"PIMA VALVE, LLC",0.5666,0.4334,,0.0,
columbia,Submarines,N0002413C2128,unbucketed,4,2020-01-14,2020-01-14,2020-01-14,0,206,1,0.187,0.187,1,MHNEK1CGNJS9,INVESTMENT AB LATOUR,1.0,0.0,,0.0,
columbia,Submarines,N0002417C2117,castings,1,2017-09-11,2020-05-13,2018-02-23,975,,185,97.269,97.911,8,N1PJDANWUJ61,SCOT FORGE COMPANY,0.9335,0.0665,Iron and Steel Forging,-0.643,
columbia,Submarines,N0002417C2117,castings,2,2021-02-01,2025-02-18,2023-06-08,1478,1931,246,120.9,197.123,10,N1PJDANWUJ61,SCOT FORGE COMPANY,0.6957,0.3043,Iron and Steel Forging,-76.222,
columbia,Submarines,N0002417C2117,coatings,1,2018-03-01,2019-04-17,2018-08-13,412,,19,22.145,22.145,4,FLDEFFBLR5P3,"GLOBE COMPOSITE SOLUTIONS, LLC",0.911,0.089,Synthetic Rubber Manufacturing,0.0,
columbia,Submarines,N0002417C2117,coatings,2,2019-07-29,2019-11-06,2019-08-23,100,375,5,0.659,0.659,3,VD1NLZGAJ2L4,"DURAMAX MARINE, LLC",0.4041,0.5959,Rubber Product Manufacturing for Mechanical Use,0.0,
columbia,Submarines,N0002417C2117,coatings,3,2020-05-06,2020-05-06,2020-05-06,0,257,2,1.8,1.8,1,WXRTZLL25AE5,"SEEMANN COMPOSITES, LLC",1.0,0.0,Custom Compounding of Purchased Resins,0.0,
columbia,Submarines,N0002417C2117,coatings,4,2020-10-02,2020-10-02,2020-10-02,0,149,1,0.062,0.062,1,WXRTZLL25AE5,"SEEMANN COMPOSITES, LLC",1.0,0.0,Custom Compounding of Purchased Resins,0.0,
columbia,Submarines,N0002417C2117,coatings,5,2021-01-14,2021-01-14,2021-01-14,0,104,1,0.018,0.018,1,G9HKMXL5L973,"OIL STATES INDUSTRIES, INC.",1.0,0.0,Rubber Product Manufacturing for Mechanical Use,0.0,
columbia,Submarines,N0002417C2117,coatings,6,2021-04-20,2023-12-15,2023-03-01,969,776,83,35.731,35.871,10,XFMBL7A963X9,"OIL STATES INTERNATIONAL, INC.",0.3224,0.6776,Rubber Product Manufacturing for Mechanical Use,-0.14,
columbia,Submarines,N0002417C2117,coatings,7,2024-03-18,2025-01-22,2024-08-10,310,528,26,17.333,17.333,6,G9HKMXL5L973,"OIL STATES INDUSTRIES, INC.",0.362,0.638,Rubber Product Manufacturing for Mechanical Use,0.0,
columbia,Submarines,N0002417C2117,electrical,1,2017-02-06,2020-01-28,2018-09-10,1086,,83,41.628,42.219,14,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,0.5044,0.4956,Other Aircraft Parts and Auxiliary Equipment Manufacturing,-0.591,
columbia,Submarines,N0002417C2117,electrical,2,2020-04-30,2020-04-30,2020-04-30,0,598,2,0.321,0.321,1,LL4CVJVLBGN1,QINETIQ GROUP PLC,1.0,0.0,Other Aircraft Parts and Auxiliary Equipment Manufacturing,0.0,
columbia,Submarines,N0002417C2117,electrical,3,2020-09-30,2020-09-30,2020-09-30,0,153,1,0.049,0.049,1,SKKACASET588,DYNALEC CORPORATION,1.0,0.0,Other Communications Equipment Manufacturing,0.0,
columbia,Submarines,N0002417C2117,electrical,4,2021-01-11,2025-01-24,2023-05-23,1474,965,196,1030.97,1178.33,30,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,0.4906,0.5094,Other Aircraft Parts and Auxiliary Equipment Manufacturing,-147.36,
columbia,Submarines,N0002417C2117,hvac,1,2017-11-06,2017-11-06,2017-11-06,0,,1,0.027,0.027,1,DD7KGPMP93C1,HEH HOLDINGS LLC,1.0,0.0,Heating Equipment (except Warm Air Furnaces) Manufacturing,0.0,
columbia,Submarines,N0002417C2117,hvac,2,2018-02-05,2018-12-17,2018-05-21,315,196,11,9.556,9.556,5,XEQ3L57D2J24,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,0.7285,0.2715,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,0.0,
columbia,Submarines,N0002417C2117,hvac,3,2019-05-20,2019-10-15,2019-08-02,148,438,6,7.679,7.679,1,LJRBXLTGXN57,"CEPEDA ASSOCIATES, INC.",1.0,0.0,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,0.0,
columbia,Submarines,N0002417C2117,hvac,4,2021-01-19,2021-09-29,2021-06-07,253,675,24,2.458,7.638,3,SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",1.0,0.0,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,-5.18,
columbia,Submarines,N0002417C2117,hvac,5,2022-01-13,2022-12-22,2022-07-27,343,415,25,25.557,25.557,6,SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",0.7618,0.2382,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,0.0,
columbia,Submarines,N0002417C2117,hvac,6,2023-05-15,2023-12-19,2023-06-29,218,337,13,10.558,10.558,5,SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",0.9202,0.0798,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,0.0,
columbia,Submarines,N0002417C2117,hvac,7,2024-04-26,2024-10-17,2024-08-20,174,418,9,26.894,26.894,4,LJRBXLTGXN57,"CEPEDA ASSOCIATES, INC.",0.6329,0.3671,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,0.0,
columbia,Submarines,N0002417C2117,machining,1,2017-11-03,2019-02-19,2018-09-26,473,,23,1.157,1.157,7,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",0.2615,0.7385,Machine Shops,0.0,
columbia,Submarines,N0002417C2117,machining,2,2019-06-05,2020-04-13,2019-10-28,313,397,19,1.495,1.495,8,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",0.3552,0.6448,Machine Shops,0.0,
columbia,Submarines,N0002417C2117,machining,3,2020-09-16,2020-09-16,2020-09-16,0,324,1,4.733,4.733,1,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",1.0,0.0,Machine Shops,0.0,
columbia,Submarines,N0002417C2117,machining,4,2021-01-19,2025-01-24,2023-09-29,1466,1108,289,76.263,94.95,27,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",0.2766,0.7234,Machine Shops,-18.687,
columbia,Submarines,N0002417C2117,piping,1,2016-05-19,2016-05-19,2016-05-19,0,,2,0.012,0.012,1,L4ZMKLM4MPL3,MOOG INC.,1.0,0.0,Fluid Power Cylinder and Actuator Manufacturing,0.0,
columbia,Submarines,N0002417C2117,piping,2,2016-09-06,2016-09-06,2016-09-06,0,110,1,0.194,0.194,1,FBJ9NCJE2J56,"HUNT VALVE COMPANY, INC.",1.0,0.0,,0.0,
columbia,Submarines,N0002417C2117,piping,3,2017-02-02,2017-06-27,2017-02-27,145,174,18,5.58,5.648,4,Q35JL9GFCAK3,MAROTTA CONTROLS INC,0.5212,0.4788,Fluid Power Valve and Hose Fitting Manufacturing,-0.068,
columbia,Submarines,N0002417C2117,piping,4,2017-10-20,2025-01-24,2022-06-28,2653,1947,1506,629.938,638.754,77,WYDAKCJ5K219,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,0.2275,0.7725,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",-8.816,
columbia,Submarines,N0002417C2117,structural,1,2016-04-28,2016-04-28,2016-04-28,0,,1,0.416,0.416,1,C8TMP34LW2L6,EVEREST KANTO CYLINDER LIMITED,1.0,0.0,,0.0,
columbia,Submarines,N0002417C2117,structural,2,2017-01-16,2017-01-16,2017-01-16,0,263,2,0.031,0.031,1,E8LNMDLEKM35,D.C. FABRICATORS INC.,1.0,0.0,Fabricated Structural Metal Manufacturing,0.0,
columbia,Submarines,N0002417C2117,structural,3,2017-05-30,2020-01-13,2018-10-24,958,646,89,126.884,129.055,16,YD1GK53355R5,"PRECISION CUSTOM COMPONENTS, LLC",0.6359,0.3641,Plate Work Manufacturing,-2.172,
columbia,Submarines,N0002417C2117,structural,4,2020-04-20,2020-04-20,2020-04-20,0,544,2,0.557,0.557,1,YD1GK53355R5,"PRECISION CUSTOM COMPONENTS, LLC",1.0,0.0,Plate Work Manufacturing,0.0,
columbia,Submarines,N0002417C2117,structural,5,2020-10-06,2025-01-23,2023-06-13,1570,1149,503,448.715,475.157,46,KENVPMBVBT39,"RHOADS METAL FABRICATIONS, INC.",0.2771,0.7229,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",-26.442,
columbia,Submarines,N0002417C2117,unbucketed,1,2016-02-25,2016-04-05,2016-03-16,40,,4,0.708,0.708,2,PPLZG8J3N9D4,UNITED TECHNOLOGIES CORPORATION,0.8644,0.1356,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",0.0,
columbia,Submarines,N0002417C2117,unbucketed,2,2016-12-14,2025-01-24,2022-01-24,2963,2140,1271,183.653,244.625,362,SHDVJS6DKEX1,LAG INTERNATIONAL S.A.,0.0649,0.9351,Temporary Help Services,-60.972,
columbia,Submarines,N0002419C2114,electrical,1,2019-01-31,2019-01-31,2019-01-31,0,,1,1.472,1.472,1,W8PTMRME1496,LEONARDO SPA,1.0,0.0,Aircraft Manufacturing,0.0,62
columbia,Submarines,N0002419C2114,electrical,2,2019-06-28,2019-06-28,2019-06-28,0,148,1,0.048,0.048,1,W8PTMRME1496,LEONARDO SPA,1.0,0.0,Aircraft Manufacturing,0.0,210
columbia,Submarines,N0002419C2114,electrical,3,2019-11-29,2019-12-31,2019-12-15,32,170,2,14.793,14.793,1,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,1.0,0.0,Industrial Valve Manufacturing,0.0,380
columbia,Submarines,N0002419C2114,electrical,4,2021-02-26,2021-03-31,2021-03-31,33,472,3,2.172,2.172,2,W8PTMRME1496,LEONARDO SPA,0.9552,0.0448,Aircraft Manufacturing,0.0,852
columbia,Submarines,N0002419C2114,machining,1,2019-01-31,2019-01-31,2019-01-31,0,,1,0.097,0.097,1,YHJESY2TDP23,MAJOR TOOL AND MACHINE INC,1.0,0.0,,0.0,62
columbia,Submarines,N0002419C2114,machining,2,2019-06-28,2019-06-28,2019-06-28,0,148,1,3.392,3.392,1,E84NNWLU6RK3,HAMILL MANUFACTURING COMPANY,1.0,0.0,Machine Shops,0.0,210
columbia,Submarines,N0002419C2114,machining,3,2021-02-26,2021-03-31,2021-03-15,33,626,2,8.757,8.757,1,E84NNWLU6RK3,HAMILL MANUFACTURING COMPANY,1.0,0.0,Machine Shops,0.0,836
columbia,Submarines,N0002419C2114,piping,1,2019-01-31,2019-04-30,2019-03-16,89,,2,33.482,33.482,1,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,1.0,0.0,Industrial Valve Manufacturing,0.0,106
columbia,Submarines,N0002419C2114,piping,2,2019-10-31,2019-10-31,2019-10-31,0,229,1,0.419,0.419,1,WN1PJNXJJ831,"TAYLOR FORGE ENGINEERED SYSTEMS, INC.",1.0,0.0,Fabricated Pipe and Pipe Fitting Manufacturing,0.0,335
columbia,Submarines,N0002419C2114,piping,3,2021-02-26,2021-03-31,2021-03-31,33,517,6,21.034,21.034,4,WN1PJNXJJ831,"TAYLOR FORGE ENGINEERED SYSTEMS, INC.",0.565,0.435,Fabricated Pipe and Pipe Fitting Manufacturing,0.0,852
columbia,Submarines,N0002419C2114,structural,1,2019-01-31,2019-01-31,2019-01-31,0,,1,1.866,1.866,1,YD1GK53355R5,"PRECISION CUSTOM COMPONENTS, LLC",1.0,0.0,Plate Work Manufacturing,0.0,62
columbia,Submarines,N0002419C2114,unbucketed,1,2019-01-31,2019-01-31,2019-01-31,0,,2,11.738,11.738,2,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,0.9894,0.0106,Industrial Valve Manufacturing,0.0,62
columbia,Submarines,N0002419C2114,unbucketed,2,2019-05-31,2019-08-30,2019-07-31,91,181,4,0.878,0.878,3,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,0.7055,0.2945,Industrial Valve Manufacturing,0.0,243
columbia,Submarines,N0002419C2114,unbucketed,3,2021-01-29,2021-04-30,2021-03-15,91,593,10,9.899,9.899,7,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,0.6655,0.3345,Industrial Valve Manufacturing,0.0,836
columbia,Submarines,N0002419C2115,electrical,1,2019-01-31,2019-07-31,2019-04-14,181,,8,39.585,39.585,2,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,0.8287,0.1713,Industrial Valve Manufacturing,0.0,135
columbia,Submarines,N0002419C2115,electrical,2,2019-11-29,2019-11-29,2019-11-29,0,229,2,29.003,29.003,2,W8PTMRME1496,LEONARDO SPA,0.9941,0.0059,Aircraft Manufacturing,0.0,364
columbia,Submarines,N0002419C2115,electrical,3,2021-01-29,2021-03-31,2021-02-26,61,455,5,20.558,20.558,2,W8PTMRME1496,LEONARDO SPA,0.9816,0.0184,Aircraft Manufacturing,0.0,819
