vendor_uei,vendor_name,n_subawards,total_usd,n_distinct_components,top_components
WQAKKCKH9LM8,"SECURITAS CRITICAL INFRASTRUCTURE SERVICES, INC.",2,407587.05,1,FORCE PROTECTION
WVW5FMYALEL6,"PLAINVILLE ELECTRICAL PRODUCTS COMPANY, THE",5,404147.42,1,SHIPS E&T SYSTEM
VJSTD8U7QBD9,SAFARILAND LLC,8,401680.0,1,REPLACE
XTB5UHKL6VE8,"SEA-TECH PRODUCTS, INC.",4,399208.0,2,SEA TECH; WARRANTY
J2DMF1YRKD96,STANDARD CALIBRATIONS INC,7,398446.97,1,GAUGES PRESS
MAKYNVTMNZX1,"TRAC REGULATOR CO., INC.",4,397280.0,1,VALVE REDUCING PRESSURE
LJLZRNS9DYC6,ANIXTER INC.,5,389474.77,1,LOCKS KEYS TAGS
JJRDPJY9GQA8,FLETCHER CONSTRUCTION CO INC,12,389429.76,3,VSR; Relocation Wrapping Machine; VSR SONAR FOAM
J6DMEL935CD1,Xylem Inc. ,10,387894.3,2,RAST HYD EXCHANGER; BACK FIT CHANNEL
R1M8JJH7J5W5,"JOHNSON BRASS & MACHINE FOUNDRY, INC.",8,384402.0,0,
CWM4UN76ZQW8,LOCKHEED MARTIN CORPORATION,3,378151.0,0,
MKGCWL2DHBT4,MARINE TECH WIRE & CABLE INC,1,373667.0,1,CAPEX SOW MARINE TECH
KKRXVDJZQ5V5,KEYSTONE FIRE PROTECTION CO.,7,371851.0,1,VALVE SOLENOID
U8SDJVH8SQ19,CITY ELECTRIC SUPPLY COMPANY,5,365660.36,0,
VE86LWM6ABF6,MASON FOREST PRODUCTS INC,3,358246.2,3,CRADLE; cradle; Cradle
RYYRAAAGPXB5,"STOCKERT, LAURA",5,352453.12,0,
W547TUQXJ8Y4,CARVER PUMP COMPANY,9,349890.58,1,TRANSFER PUMP
S1TGQ9L36486,"TOOL-SMITH COMPANY, INC",7,348179.55,0,
J7JGTBNSM619,MEGATOR CORPORATION,10,337062.19,1,OILY WASTE TRANS PUMP
T2VFE1NGR3G5,"DRS TRAINING & CONTROL SYSTEMS, LLC",3,336423.27,1,A/C SOLID STATE CONT
FD69PPCVM2B8,PASCAGOULA LAUNCH SERVICE INC,7,334975.0,3,Licensed Bar Pilots; Bar Pilots Services; Pascagoula Bar Pilots
JL4THZCMNKR7,JACKSON PLATING CO,6,334433.01,5,ANODIZING CBR FILTER ASSY; HOUSING FILTERS; CBR FILTERS; CBR FILTER PARTS ANODIZED; ANODIZE CBR FILTERS
E5NZAXG4MNB7,MURRAY BENJAMIN ELECTRIC CO LLC,3,333718.0,0,
UES5F4AAZJK5,"DONALDSON COMPANY, INC.",10,333675.63,3,FILTER CARBON AIR; FILTER AIR; Replace mtl borrowed ESO
KXWXRYB3FBW3,FLOWSERVE CORP,5,327634.0,0,
HJFAW5KCG7N7,"MAST TECHNOLOGIES, LLC",4,325739.75,0,
FVFNV3NERP36,"POWERSTAR, INC.",5,323611.0,1,REPAIR
C18KXNHETC95,KITCO FIBER OPTICS INC,2,308466.91,2,VSR; KITCO Fiber Optics MQJ Components
ED16VKVTCHC8,ECI DEFENSE GROUP INC,1,299984.52,0,
R71XN254HA36,AKRON BRASS COMPANY,6,298618.0,1,NOZZLE FIRE HOSE
HQYTCMF5RGE4,SHERBURN ELECTRONICS INC.,7,293705.0,1,RELAY COMM
K574V7KEQUC8,"CIRCOR AEROSPACE, INC.",1,293422.36,1,VALVE BALL
RL6KA2EUSUC8,ABACUS INDUSTRIES INC,5,291033.37,0,
ZVKEBJ4HQHB8,HEILIND MIL-AERO LLC,4,288126.79,2,RECEPTACLE ELECTRICAL; CABLE TERMINATION KITS
V6JXCLR8QR37,RHINESTAHL CORPORATION,4,286220.0,1,OSI
FREEMCLKFXE3,BATH IRON WORKS CORPORATION,3,276163.09,1,P&L PANELS
JLREE96WGKM5,DRS LAUREL TECHNOLOGIES,2,269678.0,0,
ZVCNH5GL1Z83,Core Active Fixed Income,4,268016.0,2,CONNECTOR; CONNECTOR FLEXIBLE
E383LRP25MY6,YOUNG ENGINEERING COMPANY INC.,6,266494.96,1,OSI
GU9WXNREUPZ1,FORENTA L.P.,9,256637.0,1,PRESS LAUNDRY
GN82WS7LRJ77,SPACE MACHINE & ENGINEERING CORP.,4,253666.96,1,WAVEGUIDE
U4MMR7DR2DR7,"JAL ENTERPRISES, INC.",5,240678.05,2,SOURCE; COMMISSARY EQUIPMENT
NK1RB5VKXES9,"DETROIT SWITCH, INC.",8,240592.0,0,
EDJPMQN1HSJ1,"MSA SAFETY SALES, LLC",3,230218.0,1,LPD WARRANTY
MSSQQ551LG41,"IMPRES TECHNOLOGY SOLUTIONS, INC.",3,222609.64,1,OSI
SVHJHMJH65S8,ULTRA ELECTRONICS OCEAN SYSTEMS INC,5,218178.0,0,
D28HQ4AA2ZL8,"EFFORT FOUNDRY, INC.",5,215644.0,0,
JZXZSN3BBL98,SIEMENS INDUSTRY INC.,2,207981.96,1,CATHODIC PROT SYS
XECCFU26TTP9,"Moniteq, Inc.",5,206839.85,0,
DYJZZ9DANLM3,Ralph & Dorothy Moore,5,204240.0,0,
PB11V1KH3KV4,SOUTHWEST RESEARCH INSTITUTE,6,204000.0,0,
CYJ3L6SQANB4,"SPARTON AYDIN, LLC",4,201844.0,1,Camera Video
PGNTKH2XZAN5,"DEFENSE TECHNOLOGIES, INC.",3,199816.28,0,
EJ8LYVPT4KR9,THE WHITMOR CO. INC.,4,199002.0,0,
NB2HLRTJJJQ7,WATTS WATER TECHNOLOGIES INC,7,192035.0,3,STRAINER; STRAINER WYE; STRAINER ABOM
M2XAYNY2P889,"POWELL ELECTRONICS, INC.",2,187530.42,1,RECEPTACLE ELECTRICAL
WH4DRDKB7RR8,SYSTEMS ENGINEERING SUPPORT CO.,1,178375.57,0,
YNJNTZWVC3H6,BAE SYSTEMS LAND & ARMAMENTS L.P.,2,174986.0,0,
GJEXETZX4N96,SHIELD TECHNOLOGIES CORPORATION,4,173310.94,1,OSI
QF3MD1MU1651,"ECHELON SUPPLY AND SERVICE, INC.",4,169043.11,2,REEL HOSE; HOSE ASSY
FECPDA1S8WJ1,D. W. BOYD CORPORATION,3,165771.07,1,COMMISSARY EQUIPMENT
DLRDDPVKLLA1,"HEGEDUS ALUMINUM INDUSTRIES, INC",4,161748.6,1,RFQ
P3ZZEMCBYSK7,"JANSENEERING, INC.",3,157868.25,1,FAIRWATER COMPOSITE
L6EMG925NF78,KADANT UNAFLEX LLC,3,155484.0,1,CONNECTOR FLEXIBLE
FNQARYRJJEL5,"COSPOLICH, INC.",5,154114.02,0,
G871GBTQ94M7,Lona Slade,2,152523.16,0,
HUKGWGAFW4C7,SOUNDOWN CORPORATION,2,152383.4,0,
UK8DL82MHJG5,PROPULSION CONTROLS ENGINEERING,2,150000.0,1,FRAMEWORK
JN16VPC2PXN4,"BAY CITY MARINE, INC.",3,150000.0,1,FRAMEWORK AGREEMENT
XR3UT8BLTKP7,ENERGY MACHINERY INC,5,148515.0,1,TRAP CONDENSATE
N16ET1YJ6QZ3,"ROMAC INDUSTRIES, INC.",4,146557.84,2,VALVE BALANCING; BALANCING VALVES
LCKATM42Y1M1,"ARGON ST, INC.",2,145473.0,0,
M647MA6E64V1,DEWEY ELECTRONICS CORPORATION,3,142918.68,0,
H12BMH6V6495,"PIMA VALVE, INC.",5,139664.0,0,
YHGHMGTME7A5,Howden American Fan Company,1,139624.0,0,
KB8ALFD8K1X8,Higgins Marine Services Inc,4,135300.0,2,Higgins Marine Services; MARINE SERVICES
Q4LMAMECTR44,"CONNECTOR SPECIALISTS, INC.",3,135154.0,2,HSE ASSY ENDS; HOSE ASY
DSVCC3S92J21,BOLAND MARINE & INDUSTRIAL LLC,2,132540.0,1,MACHINERY OUTSOURCING
K783PK4DZEE3,"ADVANTEC MANUFACTURING USA, INC.",2,123935.0,2,SCUTTLES; STRUCTURAL DOORS
ZE1KT2MPBGM3,"HARDING COMPANY, INC",3,120473.26,0,
CQQUMMDARBG3,THE DEWEY ELECTRONICS CORPORATION,4,119870.88,0,
NCG7W2K7P7R6,DB CONTROL,1,118593.0,0,
EQ2TN2GMDFT5,"ADVANCED ACOUSTIC CONCEPTS, LLC",1,118583.0,0,
ZQ11WUWJGAA4,"KIDDE-FENWAL, INC.",3,115667.4,1,VALVE PILOT
F4GNMTCCXGM8,"HUTCHINSON INDUSTRIES, INC",2,111054.92,1,VSR
GGERZB4A1FB3,"WBPARTS, INC.",5,110387.5,1,MOD
UDMKPLHU8N48,US TOOL GRINDING INC,1,110223.92,1,MAKE SHAFT REAMERS
FMKADN1KAXH6,"HOSE-MCCANN TELEPHONE CO., INC.",4,108740.24,0,
H3R3VV5YN8G4,KENWAY CORP,2,107806.0,1,FAIRWATER COMPOSITE
X51YWDJN2ED6,HORIZONS INCORPORATED,3,104976.75,1,Label Plate Dept
QMXJLLJZ5QY4,TORK SYSTEMS INC,2,104314.0,1,STRAINER
K7SAUMHPLDJ9,SIVYER STEEL CASTINGS LLC,1,102050.74,1,LEAD TRAIL CASTINGS
ZTBRMLGP4JF5,"VALLEN DISTRIBUTION, INC.",2,101023.09,2,Inco Spares; NOZZLE FIRE HOSE
YVDFW51N3N61,"WALDO BROTHERS, INC.",3,98346.68,0,
MQSPAE7NQQR8,"VITA MOTIVATOR CO., INC.",2,97998.0,1,EDUCTOR
HEUNPCKQLMN5,KLUMB LUMBER COMPANY,2,97330.44,2,White Oak/Fir Transla; Wood Cradle
JAM1MGE5VDJ7,"PACIFIC WESTERN LUMBER, INC.",1,93482.0,1,GROUND BLOCKING
XMLNYKT139G8,CRESTWOOD TECHNOLOGY GROUP CORP.,2,92759.5,1,WARRANTY
QLNMVC12KWY3,"LEIDOS, INC.",2,92468.0,1,COMPUTER FIREWALL SYS
JGLLLKELFB57,ITT CORPORATION,2,91637.0,1,OSI
RHLAM7GSJGJ4,"HOTTINGER BALDWIN MEASUREMENTS, INC.",1,91437.0,1,PP- IPNC TEST EQUIP/TRNING
KWHXKLAL87T5,"IN-PLACE MACHINING COMPANY, LLC",1,91173.0,1,VSR
E83TNKA9JCY6,"AIR SYSTEM COMPONENTS, INC",3,86918.86,0,
MNZGEAM8WG31,"MAZZELLA LIFTING TECHNOLOGIES, INC.",2,85600.0,0,
KAJ2U4MCB329,"CHELSEA CLOCK, LLC, THE",3,84252.0,0,
KFP8JR5HL191,ARA SERVICES LLC.,2,84244.16,1,VSR SHIP CLNG
M8JLMEHJADQ5,"BOEING COMPANY, THE",2,83752.0,0,
ZSJFXM833NA3,Xerox Corporation,3,82394.0,0,
V72KJGHK3JF2,MGR EQUIPMENT CORP,2,80476.0,1,COMMISSARY EQUIPMENT
ZZG5TB4JCKE1,"KAHN AND COMPANY, INCORPORATED",3,77550.0,1,DEHYDRATOR
QFG7EC12DQK4,"UNITED RENTALS (NORTH AMERICA), INC.",2,73552.0,2,P-UNR; P-IND
WXRTZLL25AE5,"SEEMANN COMPOSITES, LLC",2,73266.76,1,COVER TROUGH
G319AMB56SW5,"901 D, LLC",1,72858.0,1,TELEVISIONS
LCTCMUR9KYB6,"CAJUN PROCESS SOLUTIONS, LLC",2,72517.58,0,
EPK7A98BB4B6,"HEILIND MIL-AERO, LLC",2,72384.64,2,MISC-; SPY- ARRAY INSTALLATION BOLTS
E6ACL8BWKN47,"ENERGY FOCUS, INC.",1,70500.0,0,
KNY4J2WMVJX3,ASC ENGINEERED SOLUTIONS LLC,2,68363.69,1,HANGER ASSY
DY2JXQ22MA14,KSARIA SERVICE CORPORATION,1,68281.7,1,SOW FIBER OPTIC PERFORMANCE TESTING
MNS7TJ9KVTJ1,"HDT EXPEDITIONARY SYSTEMS, INC.",1,67797.0,0,
K7L6DELLDU47,"GULF SALES AND SUPPLY, INCORPORATED",2,66845.0,1,WAREHOUSE SUPPLIES
UUK2QMVKDKN1,"MANSFIELD INDUSTRIAL, INC.",1,65891.0,1,VSR CHH
N6U1EU32U9J1,EST GROUP INC,2,65215.0,2,PLUGS HIGH PRESSURE; CANCELLED EPI
X4YDGJ1UE973,Sunbelt Supply L.P.,2,63748.0,0,
NUMJXMNFTW19,SECHAN ELECTRONICS INC,1,63541.0,0,
GMVJD1H9JQX8,"MICROFLEX, INC.",2,63000.0,0,
C7QXDAE2EUN1,"GENERAL MARINE PRODUCTS, INC.",1,62580.0,0,
K6CEGCM3YCX3,"WESCO GAS & WELDING SUPPLY, INC.",1,62394.74,1,FYS PAS
NTREK31GP8N3,KSARIA CORPORATION,1,57948.0,1,VSR
HUYTR5ZGSSN6,"W. & O. SUPPLY, INC.",1,57775.0,0,
HLW2GH7TF2M4,INDAL TECHNOLOGIES INC.,1,56691.21,0,
RU3QHCAJP492,"HOFFER FLOW CONTROLS, INC.",2,55380.0,0,
HQEUSUQSKVK7,"ADMARTEC, INC.",2,55160.0,0,
LS77JJSDUXH9,HYDRADYNE LLC,1,55084.0,1,ATT BUTTERS DEPT TEST DEPT NON-SHIPBOARD MATERIAL
JUN5EFMB2NZ7,THOMPSON SUPPLY CO INC,2,54208.44,1,VALVE ASSY
NC39YCMEXVJ8,COLUMBUS MCKINNON CORPORATION,2,53252.0,0,
VHCPBNRMLK33,"ASSOCIATED FOOD EQUIPMENT AND SUPPLIES, INC.",2,52528.0,1,COMMISSARY EQUIPMENT
DA2CMNNJWSZ4,Captain Freds Sea Trial Support LLC,1,50578.2,1,Master Service
CVMQHCRDBVT7,"KEVIN GROS CONSULTING & MARINE SERVICES, INC.",2,50000.0,1,CHARTER VESSEL S/T
NE3DARLAMEN6,"PROCESS ENGINEERING COMPANY, INC.",1,49420.0,1,ANODIZING/
EEE8FHKK1YR9,"LAFAYETTE RESTAURANT SUPPLY, INC.",1,47980.0,1,COMMISSARY EQUIPMENT
EJ1DW3A8BFM8,CORE INDUSTRIES INC.,1,47300.0,1,STRAINER
MMTME6UEFEC5,"EIS, INC.",1,46920.0,0,
GV6WMAJUK1R9,SIOUX MANUFACTURING CORPORATION,1,44376.84,0,
CZKYJKB7H9J7,"VEGAS FASTENER MANUFACTURING, LLC",1,43749.6,1,BOLT HEX CAP
J5AJWFZ9H8Q6,"MCNALLY INDUSTRIES, LLC",1,43240.0,0,
N1PJDANWUJ61,SCOT FORGE COMPANY,1,40896.0,1,RFQ
YET2PMM1L7J4,AUTOMATED PRECISION INC.,1,39753.0,1,SR- MATERIAL
DBQGN324ULK3,"W.W. GRAINGER, INC.",1,39595.0,0,
P4NMA2SHLR53,"CORNET TECHNOLOGY, INC.",1,38700.0,0,
ZTAFBECM35Z6,TECNICO CORPORATION,1,38675.2,0,
LXUMZZ3LETN5,"TEAM INDUSTRIAL SERVICES, INC.",1,37564.94,1,VSR
VNP2L293JWL6,"CONTINENTAL MICROWAVE AND TOOL CO., INC.",1,35501.0,0,
F99CKJDLYZR3,"WESCO DISTRIBUTION, INC.",1,34950.0,0,
KJWPVM8EMCN5,"M2 GLOBAL TECHNOLOGY, LTD.",1,34865.0,1,WAVEGUIDE
TC76NMCGN4F4,"DISTRIBUTION INTERNATIONAL SOUTHWEST, INC.",1,32400.0,0,
XKM7WDHK1DA7,"RECLAMATION TECHNOLOGIES, INC.",1,32205.1,1,RPR HALON
QQ7DAUGJ6MC7,CPI RADANT TECHNOLOGIES DIVISION INC.,1,32143.0,0,
DZTKCR7BXVJ5,"LABORDE PRODUCTS, INC.",1,31945.94,0,
KC78MF1CL9B8,KINNAMAN ELECTRIC INC,1,30520.0,0,
KF3NGNBNQ271,"DELPHINUS ENGINEERING, INC.",1,30000.0,1,CONFIGURE FDAS
LPN2BLLPK366,"EGGELHOF, INC.",1,29700.0,1,MICRO KLEAN III SER FILTER
NX47A388J7L3,LOEFFLER CORPORATION,1,29640.0,0,
UR5TFK3LAVL5,FEDERAL RESOURCES SUPPLY COMPANY,1,27875.0,0,
C7RWMXEE6SD3,"Johnson Controls, Inc.",1,26594.0,0,
HHFGANSDJXN8,"Southern Rubber & Specialties, , Inc.",1,26454.0,0,
J6MHT1L54CG4,"DEZURIK, INC.",1,25844.0,0,
J683M8AF97Q5,ELLISON BRONZE INC,1,25025.0,0,
PTVDFVF3JNX6,SILICO SYSTEMS LLC,2,-12000.0,0,
