tier,pre_award,type,posted,deadline,title,agency_path,naics,psc,set_aside,solicitation_number,notice_id,ui_link,matched_queries
VESSEL,yes,Combined Synopsis/Solicitation,2026-05-21,2026-06-05,CIRCULATING FANS,"HOMELAND SECURITY, DEPARTMENT OF.US COAST GUARD.SFLC PROCUREMENT BRANCH 3(00040)",336611,2090,SBA,70Z04026Q50240B00,a18c1d88b88a4947a6e621a467a15013,https://sam.gov/workspace/contract/opp/a18c1d88b88a4947a6e621a467a15013/view,naics_336611
VESSEL,yes,Combined Synopsis/Solicitation,2026-05-21,2026-06-05,FLEXIBLE COUPLING / DRIVE SHAFT KIT,"HOMELAND SECURITY, DEPARTMENT OF.US COAST GUARD.SFLC PROCUREMENT BRANCH 3(00040)",336611,2090,SBA,70Z04026Q50241B00,83305dfc2d4d48499eca3cf6318a0d7f,https://sam.gov/workspace/contract/opp/83305dfc2d4d48499eca3cf6318a0d7f/view,naics_336611
VESSEL,yes,Combined Synopsis/Solicitation,2026-05-23,2026-06-05,"CASTING, SLEEVE",DEPT OF DEFENSE.DEFENSE LOGISTICS AGENCY.DLA MARITIME.DLA MARITIME SHIPYARDS.DLA MARITIME - PEARL HARBOR,336612,2010,SBA,SPMYM4-26-Q-3424,49ec053bd7414ec596380e5826828f9f,https://sam.gov/workspace/contract/opp/49ec053bd7414ec596380e5826828f9f/view,naics_336612
VESSEL,yes,Solicitation,2026-05-25,2026-06-05,USNS CHARLES DREW (T-AKE 10) VRA KR,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP GLOBAL LOGISTICS SUPPORT.NAVSUP FLC YOKOSUKA.NAVSUP FLT LOG CTR  YOKOSUKA,336611,J999,,N6264926RK010,e1376ef2ca944b3db54b9ab1ad6f44a8,https://sam.gov/workspace/contract/opp/e1376ef2ca944b3db54b9ab1ad6f44a8/view,naics_336611
VESSEL,yes,Solicitation,2026-05-26,2026-06-05,WATER TIGHT HATCH,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP GLOBAL LOGISTICS SUPPORT.NAVSUP FLC PUGET SOUND.NAVSUP FLT LOG CTR PUGET SOUND,336611,2090,SBA,N0040626Q0234,f52dd0e9ae944241a5702af1e32ef2ed,https://sam.gov/workspace/contract/opp/f52dd0e9ae944241a5702af1e32ef2ed/view,naics_336611
VESSEL,yes,Solicitation,2026-05-26,2026-06-05,M/V William James Main Caterpillar Engines Overhaul,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION MISSISSIPPI VALLEY.ENDIST VICKSBURG.W07V ENDIST VICKSBURG,336611,2815,SBA,W912EE26QA021,d06bd11677c14f1fa0e205cde266b266,https://sam.gov/workspace/contract/opp/d06bd11677c14f1fa0e205cde266b266/view,naics_336611
VESSEL,yes,Combined Synopsis/Solicitation,2026-05-28,2026-06-05,DCV Gelberman shipyard repairs,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTH ATLANTIC.ENDIST NEW YORK.W2SD ENDIST NEW YORK,336611,J019,SBA,W912DS26RA020,74042c4d0bd941b68ccd2582aea4dd26,https://sam.gov/workspace/contract/opp/74042c4d0bd941b68ccd2582aea4dd26/view,naics_336611
VESSEL,yes,Special Notice,2026-05-28,2026-06-05,"Notice of Intent To Sole Source Award to SeaSatellites, Inc. ",DEPT OF DEFENSE.DEPT OF THE NAVY.SPAWAR.SPAWAR PACIFIC.NIWC PACIFIC,336612,5340,,N6600126Q6169,f506af7892de45ba94c179de2b07df41,https://sam.gov/workspace/contract/opp/f506af7892de45ba94c179de2b07df41/view,naics_336612
VESSEL,yes,Solicitation,2026-05-29,2026-06-05,USNS LARAMIE (T-AO 203) MTA,DEPT OF DEFENSE.DEPT OF THE NAVY.MSC.MSC HQS.MSCHQ NORFOLK,336611,J998,SBA,N3220526R6058,02ab6c04e406437b9fa065582a0d980d,https://sam.gov/workspace/contract/opp/02ab6c04e406437b9fa065582a0d980d/view,naics_336611
VESSEL,yes,Presolicitation,2026-06-01,2026-06-05,Propeller Blade Gage Set,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSEA.NAVSEA WARFARE CENTER.NSWC PHILADELPHIA DIV,336611,5220,NONE,N6449826Q5183,14e28be08f154268b6d27ebff3e09770,https://sam.gov/workspace/contract/opp/14e28be08f154268b6d27ebff3e09770/view,naics_336611
VESSEL,yes,Combined Synopsis/Solicitation,2026-06-02,2026-06-05,USCGC Hamilton Replacement UPS,"HOMELAND SECURITY, DEPARTMENT OF.US COAST GUARD.SFLC PROCUREMENT BRANCH 2(00085)",336611,2090,SBA,70z08526Q0025519,5e824a2ff82047868294e97b187d0f72,https://sam.gov/workspace/contract/opp/5e824a2ff82047868294e97b187d0f72/view,naics_336611
VESSEL,yes,Special Notice,2026-03-06,2026-06-06,Domestic Private Sector CMAV Workload Estimate,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSEA.NAVSEA HQ.NAVSEA HQ,336611,J020,,CNRMC-CMAV-Projections,6cbf988691044d9d8bc26145d65c3603,https://sam.gov/workspace/contract/opp/6cbf988691044d9d8bc26145d65c3603/view,naics_336611
VESSEL,yes,Solicitation,2026-05-11,2026-06-08,"20--ACCUMULATOR,HYDRAUL, IN REPAIR/MODIFICATION OF",DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP WEAPON SYSTEMS SUPPORT.NAVSUP WSS MECHANICSBURG.NAVSUP WEAPON SYSTEMS SUPPORT MECH,336611,2090,,N0010426QYA84,1a8aa5b1884348718fc5640af98338d8,https://sam.gov/workspace/contract/opp/1a8aa5b1884348718fc5640af98338d8/view,naics_336611
VESSEL,yes,Solicitation,2026-05-14,2026-06-08,"USS BLUE RIDGE (LCC-19) TGI 3819P24302-A01, Yokosuka Japan",DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP GLOBAL LOGISTICS SUPPORT.NAVSUP FLC YOKOSUKA.NAVSUP FLT LOG CTR  YOKOSUKA,336611,J999,,N6264926RA037,a695034e76944761955cc359b7064efc,https://sam.gov/workspace/contract/opp/a695034e76944761955cc359b7064efc/view,naics_336611
VESSEL,yes,Sources Sought,2026-05-18,2026-06-08,DRYDOCK: USCGC ROBERT WARD FY27,"HOMELAND SECURITY, DEPARTMENT OF.US COAST GUARD.SFLC PROCUREMENT BRANCH 1(00080)",336611,J999,,70Z08027PBPLRWARD,147518421be04fadab0b3a7b64a5315b,https://sam.gov/workspace/contract/opp/147518421be04fadab0b3a7b64a5315b/view,naics_336611
VESSEL,yes,Combined Synopsis/Solicitation,2026-05-26,2026-06-08,FABRICATION OF ONE STERN TUBE SHAFT ASSEMBLY,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP GLOBAL LOGISTICS SUPPORT.NAVSUP FLC PUGET SOUND.NAVSUP FLT LOG CTR PUGET SOUND,336611,2010,SBA,N0040626Q0177,5da8ec8832a04645b9626f76915d3a3c,https://sam.gov/workspace/contract/opp/5da8ec8832a04645b9626f76915d3a3c/view,naics_336611
VESSEL,yes,Combined Synopsis/Solicitation,2026-05-26,2026-06-08,"59--PLUG ASSEMBLY,OUTBO",DEPT OF DEFENSE.DEFENSE LOGISTICS AGENCY.DLA MARITIME.DLA MARITIME COLUMBUS.DLA LAND AND MARITIME,336611,59,,SPE7M526T204S,05d1f5990e28480dbd2aa65aa60f0681,https://sam.gov/workspace/contract/opp/05d1f5990e28480dbd2aa65aa60f0681/view,naics_336611
VESSEL,yes,Combined Synopsis/Solicitation,2026-05-27,2026-06-08,JRRF Drydocking and Repair of the PF205 Patrol Boat,"TRANSPORTATION, DEPARTMENT OF.MARITIME ADMINISTRATION.6933A2 DOT  MARITIME ADMINISTRATION",336611,J019,SBA,6933A226Q000011,9e10183dca2f4dc88be4e7a26424462b,https://sam.gov/workspace/contract/opp/9e10183dca2f4dc88be4e7a26424462b/view,naics_336611;title_boat
VESSEL,yes,Combined Synopsis/Solicitation,2026-05-28,2026-06-08,"47--EXPANSION JOINT,PIP",DEPT OF DEFENSE.DEFENSE LOGISTICS AGENCY.DLA MARITIME.DLA MARITIME COLUMBUS.DLA LAND AND MARITIME,336611,47,SBA,SPE7M326T6282,01c090fb2a8943de931b461421385663,https://sam.gov/workspace/contract/opp/01c090fb2a8943de931b461421385663/view,naics_336611
VESSEL,yes,Combined Synopsis/Solicitation,2026-06-01,2026-06-08,USCGC Stratton Hydraulic Cylinder Overhaul,"HOMELAND SECURITY, DEPARTMENT OF.US COAST GUARD.SFLC PROCUREMENT BRANCH 2(00085)",336611,J020,SBA,70Z08526Q0025518,03765d4ed09842f2a5510221acaa32ff,https://sam.gov/workspace/contract/opp/03765d4ed09842f2a5510221acaa32ff/view,naics_336611
VESSEL,yes,Combined Synopsis/Solicitation,2026-06-02,2026-06-08,USCGC NORTHLAND DS1 FY26,"HOMELAND SECURITY, DEPARTMENT OF.US COAST GUARD.SFLC PROCUREMENT BRANCH 1(00080)",336611,J998,SBA,70Z08026QMECP0013,9e1573680e7d4cd1a5cd5db2b8705351,https://sam.gov/workspace/contract/opp/9e1573680e7d4cd1a5cd5db2b8705351/view,naics_336611
VESSEL,yes,Solicitation,2026-06-02,2026-06-08,2090 WINDOW MARINE,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP GLOBAL LOGISTICS SUPPORT.NAVSUP FLC PUGET SOUND.NAVSUP FLT LOG CTR PUGET SOUND,336611,2090,NONE,N0040626Q0258,092f190f383f469eb2b88691fe2f9f79,https://sam.gov/workspace/contract/opp/092f190f383f469eb2b88691fe2f9f79/view,naics_336611
VESSEL,yes,Special Notice,2026-06-03,2026-06-08,USCGC WALNUT AIR COMPRESSOR,"HOMELAND SECURITY, DEPARTMENT OF.US COAST GUARD.SFLC PROCUREMENT BRANCH 2(00085)",336611,2090,8AN,70Z08526Q025240,36a4a122d072458692e31bec77a04407,https://sam.gov/workspace/contract/opp/36a4a122d072458692e31bec77a04407/view,naics_336611
VESSEL,yes,Special Notice,2026-06-04,2026-06-08,Notice of Intent,"HOMELAND SECURITY, DEPARTMENT OF.US COAST GUARD.SFLC PROCUREMENT BRANCH 3(00040)",336611,J020,SBP,52000PR260025578,522e30862bf148eda0864aa3e72a30bd,https://sam.gov/workspace/contract/opp/522e30862bf148eda0864aa3e72a30bd/view,naics_336611
VESSEL,yes,Solicitation,2026-06-08,2026-06-08,LA Class Submarine Tank Pumping,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSEA.NAVSEA SHIPYARD.PEARL HARBOR NAVAL SHIPYARD IMF,336611,J020,SBA,N32253-26-Q-0053,000294af600f47a8bcf14ba211fed5b2,https://sam.gov/workspace/contract/opp/000294af600f47a8bcf14ba211fed5b2/view,naics_336611
VESSEL,yes,Solicitation,2026-05-29,2026-06-09,USNS LEROY GRUMMAN (T-AO 195) FY27 ROH/DD,DEPT OF DEFENSE.DEPT OF THE NAVY.MSC.MSC HQS.MSCHQ NORFOLK,336611,J998,SBA,N3220526R0027,02d0825cee8246c9aeb59f2e3a54b71f,https://sam.gov/workspace/contract/opp/02d0825cee8246c9aeb59f2e3a54b71f/view,naics_336611
VESSEL,yes,Combined Synopsis/Solicitation,2026-06-01,2026-06-09,USACE Survey Vessel RANDY S. CUMMINGS Dry Dock Services,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION SOUTH PACIFIC.ENDIST SAN FRANCISCO.W075 ENDIST SAN FRAN,336611,J019,SBA,W912P726QA008,51313dbb5fae4216bb1f00330fd06152,https://sam.gov/workspace/contract/opp/51313dbb5fae4216bb1f00330fd06152/view,naics_336611;title_vessel
VESSEL,yes,Solicitation,2026-06-02,2026-06-09,USS RAFAEL PERALTA (DDG-115) 6JI SIA FARM OUT BUNDLE 2,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP GLOBAL LOGISTICS SUPPORT.NAVSUP FLC YOKOSUKA.NAVSUP FLT LOG CTR  YOKOSUKA,336611,J999,NONE,N6264926RA049,865b6bfc50e9493fa7ea5c7964735e1d,https://sam.gov/workspace/contract/opp/865b6bfc50e9493fa7ea5c7964735e1d/view,naics_336611
VESSEL,yes,Sources Sought,2026-06-02,2026-06-09,SOURCES SOUGHT 18FT PONTOON BOAT,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.FA2543  460 CONS,336612,1990,,SOURCESSOUGHT18FTPONTOONBOAT,1915495bec8845b19ba2d13beebcedfe,https://sam.gov/workspace/contract/opp/1915495bec8845b19ba2d13beebcedfe/view,naics_336612;title_boat
VESSEL,yes,Combined Synopsis/Solicitation,2026-06-04,2026-06-09,USCGC Waesche UPS,"HOMELAND SECURITY, DEPARTMENT OF.US COAST GUARD.SFLC PROCUREMENT BRANCH 2(00085)",336611,2090,SBA,70Z08526Q0025214,9cc22ae70ff049d7a4c89ca2fd68109e,https://sam.gov/workspace/contract/opp/9cc22ae70ff049d7a4c89ca2fd68109e/view,naics_336611
VESSEL,yes,Solicitation,2026-05-11,2026-06-10,2010- Repair of Virginia Class Propulsor Rotor Assembly,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP WEAPON SYSTEMS SUPPORT.NAVSUP WSS MECHANICSBURG.NAVSUP WEAPON SYSTEMS SUPPORT MECH,336612,2010,,N0010426QZ058,147f44b5cca24de99d0c906b21bcbe37,https://sam.gov/workspace/contract/opp/147f44b5cca24de99d0c906b21bcbe37/view,naics_336612
VESSEL,yes,Solicitation,2026-05-21,2026-06-10,"CHAIR,PDSTL WTHSTNR",DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP WEAPON SYSTEMS SUPPORT.NAVSUP WSS MECHANICSBURG.NAVSUP WEAPON SYSTEMS SUPPORT MECH,336611,2090,,N0010425QBC47,2424c99e88ae43a896e5d5c439a30af9,https://sam.gov/workspace/contract/opp/2424c99e88ae43a896e5d5c439a30af9/view,naics_336611
VESSEL,yes,Sources Sought,2026-05-26,2026-06-10,PD-42-0283; CVN-78 Propulsion Shaft Procurement,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSEA.NAVSEA WARFARE CENTER.NSWC PHILADELPHIA DIV,336611,2010,NONE,N64498-25-RFPREQ-PD-42-0283,2afa5c77d20f4b6687c5902f55273700,https://sam.gov/workspace/contract/opp/2afa5c77d20f4b6687c5902f55273700/view,naics_336611
VESSEL,yes,Combined Synopsis/Solicitation,2026-06-03,2026-06-10,"69--TRAINING SET,FIRE F",DEPT OF DEFENSE.DEFENSE LOGISTICS AGENCY.TROOP SUPPORT CONSTRUCTION & EQUIPMENT.DLA TROOP SUPPORT,336611,69,SDVOSBC,SPE8E626Q0468,6b4dd2c5b86d4b11ad7edec3800f453e,https://sam.gov/workspace/contract/opp/6b4dd2c5b86d4b11ad7edec3800f453e/view,naics_336611
VESSEL,yes,Combined Synopsis/Solicitation,2026-06-04,2026-06-10,MERCURY MARINE PARTS,"HOMELAND SECURITY, DEPARTMENT OF.US COAST GUARD.SFLC PROCUREMENT BRANCH 3(00040)",336611,2010,SBA,2126406B3000AC002,4d83aa8c9d944303b71391540794c8cd,https://sam.gov/workspace/contract/opp/4d83aa8c9d944303b71391540794c8cd/view,naics_336611
VESSEL,yes,Combined Synopsis/Solicitation,2026-06-05,2026-06-10,VOLVO PENTA OF THE AMERICAS PARTS ONLY,"HOMELAND SECURITY, DEPARTMENT OF.US COAST GUARD.SFLC PROCUREMENT BRANCH 3(00040)",336611,2815,SBA,2126406B4500ZH019,f335ccfe04f446ed87488d47bf8307a5,https://sam.gov/workspace/contract/opp/f335ccfe04f446ed87488d47bf8307a5/view,naics_336611
VESSEL,yes,Special Notice,2026-06-08,2026-06-10,INNER ASSEMBLY,DEPT OF DEFENSE,336611,6150,NONE,N4523A60977033,9cfc86f8ad8944998330531577f2d1f7,https://sam.gov/workspace/contract/opp/9cfc86f8ad8944998330531577f2d1f7/view,naics_336611
VESSEL,yes,Solicitation,2026-06-08,2026-06-10,6A1 Corrective Maintenance for Puget Sound Naval Shipyard (PSNS) Barge YR-85 and YR-95,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP GLOBAL LOGISTICS SUPPORT.NAVSUP FLC YOKOSUKA.NAVSUP FLT LOG CTR  YOKOSUKA,336611,J999,NONE,N6264926RA041,8ba918c36b644226b76fa6e84450f918,https://sam.gov/workspace/contract/opp/8ba918c36b644226b76fa6e84450f918/view,naics_336611
VESSEL,yes,Combined Synopsis/Solicitation,2026-06-08,2026-06-10,52000RFQ260025681-CGC Reliance Sewage System Repairs,"HOMELAND SECURITY, DEPARTMENT OF.US COAST GUARD.SFLC PROCUREMENT BRANCH 1(00080)",336611,J020,NONE,52000RFQ260025681,0e720f4698374d6b81ce75eb19fcc3f8,https://sam.gov/workspace/contract/opp/0e720f4698374d6b81ce75eb19fcc3f8/view,naics_336611
VESSEL,yes,Presolicitation,2026-05-26,2026-06-11,USS NEW ORLEANS (LPD-18) OVERHEAD PLATE IN 02-80-1-A; REPAIR,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP GLOBAL LOGISTICS SUPPORT.NAVSUP FLC YOKOSUKA.NAVSUP FLT LOG CTR  YOKOSUKA,336611,J999,NONE,N6275826PRNE526,cc0715a0b7b149fda37b9d76364478ef,https://sam.gov/workspace/contract/opp/cc0715a0b7b149fda37b9d76364478ef/view,naics_336611
VESSEL,yes,Presolicitation,2026-05-26,2026-06-11,USS RUSHMORE (LSD-47) JETTISON LOCKER AND RELEASE GEAR; REFURBISH AND REPAIR,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP GLOBAL LOGISTICS SUPPORT.NAVSUP FLC YOKOSUKA.NAVSUP FLT LOG CTR  YOKOSUKA,336611,J999,NONE,N6275826PRRU083,127c1389824940f590f28db489da3da1,https://sam.gov/workspace/contract/opp/127c1389824940f590f28db489da3da1/view,naics_336611
VESSEL,yes,Special Notice,2026-05-27,2026-06-11,Non-recurring Engineering Services,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSEA.NAVSEA WARFARE CENTER.NSWC PHILADELPHIA DIV,336611,K020,,26-SIMACQ-PD-42-0238,033c66f088e8400f91506eaff850afd2,https://sam.gov/workspace/contract/opp/033c66f088e8400f91506eaff850afd2/view,naics_336611
VESSEL,yes,Combined Synopsis/Solicitation,2026-05-31,2026-06-11,"20--LASHING GEAR,DECK",DEPT OF DEFENSE.DEFENSE LOGISTICS AGENCY.DLA MARITIME.DLA MARITIME COLUMBUS.DLA LAND AND MARITIME,336612,20,SBA,SPE7M126T110E,f70b7947c49245d3a66a1f41559effd7,https://sam.gov/workspace/contract/opp/f70b7947c49245d3a66a1f41559effd7/view,naics_336612
VESSEL,yes,Sources Sought,2026-06-10,2026-06-11,Open/Inspect and Possible Repair of R-114 Air Conditioning Plant Compressor/Motor,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSEA.NAVSEA SHIPYARD.PEARL HARBOR NAVAL SHIPYARD IMF,336611,J020,NONE,N32253-26-1210-0102,07a53c9191e44bb98d55bae1bef177ea,https://sam.gov/workspace/contract/opp/07a53c9191e44bb98d55bae1bef177ea/view,naics_336611
VESSEL,yes,Sources Sought,2026-05-15,2026-06-12,USCGC ALDER WLB 216,"HOMELAND SECURITY, DEPARTMENT OF.US COAST GUARD.SFLC PROCUREMENT BRANCH 2(00085)",336611,J999,NONE,USCGC-ALDER-DRYDOCK-REPAIRS,77dde2520d9543549e961ba477bf0327,https://sam.gov/workspace/contract/opp/77dde2520d9543549e961ba477bf0327/view,naics_336611
VESSEL,yes,Solicitation,2026-05-26,2026-06-12,"USS MCCAMPBELL (DDG-85) EMERGENT MAINTENANCE (6EM), YOKOSUKA, Japan",DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP GLOBAL LOGISTICS SUPPORT.NAVSUP FLC YOKOSUKA.NAVSUP FLT LOG CTR  YOKOSUKA,336611,J999,,N6264926RA055,e1d5fcb45c144995a62db4ec47e7baba,https://sam.gov/workspace/contract/opp/e1d5fcb45c144995a62db4ec47e7baba/view,naics_336611
VESSEL,yes,Sources Sought,2026-05-28,2026-06-12,OVERHAUL OF CATERPILLAR MARINE DIESEL ENGINE ONBOARD USCG CUTTERS,"HOMELAND SECURITY, DEPARTMENT OF.US COAST GUARD.SFLC PROCUREMENT BRANCH 2(00085)",336611,J998,,70Z08526CATIDIQ,c4bfb33f5f814d5bb3ce8961a4f288cc,https://sam.gov/workspace/contract/opp/c4bfb33f5f814d5bb3ce8961a4f288cc/view,naics_336611
VESSEL,yes,Sources Sought,2026-05-28,2026-06-12,Dock-Side (DS): CGC ACTIVE AA FY27,"HOMELAND SECURITY, DEPARTMENT OF.US COAST GUARD.SFLC PROCUREMENT BRANCH 1(00080)",336611,J999,,70Z08026SMECCGCACTIVEAA,5bf935fbdb1d4ce9aa22895ee8f79c11,https://sam.gov/workspace/contract/opp/5bf935fbdb1d4ce9aa22895ee8f79c11/view,naics_336611
VESSEL,yes,Presolicitation,2026-05-28,2026-06-12,"2010 Repair of QTY 1 EA, SSBN 726 Class Propeller",DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP WEAPON SYSTEMS SUPPORT.NAVSUP WSS MECHANICSBURG.NAVSUP WEAPON SYSTEMS SUPPORT MECH,336612,2010,,N0010426RZ058,639eeb17cbad4fc6ae64c19e6711c7b6,https://sam.gov/workspace/contract/opp/639eeb17cbad4fc6ae64c19e6711c7b6/view,naics_336612
VESSEL,yes,Combined Synopsis/Solicitation,2026-05-29,2026-06-12,"BALL, VALVE , PORTED","HOMELAND SECURITY, DEPARTMENT OF.US COAST GUARD.SFLC PROCUREMENT BRANCH 3(00040)",336611,4820,SBA,70Z04026Q50490B00,ff88285d2e3c4ef682c2889b0721cc58,https://sam.gov/workspace/contract/opp/ff88285d2e3c4ef682c2889b0721cc58/view,naics_336611
VESSEL,yes,Combined Synopsis/Solicitation,2026-05-29,2026-06-12,CONTROL DISTRIBUTION,"HOMELAND SECURITY, DEPARTMENT OF.US COAST GUARD.SFLC PROCUREMENT BRANCH 3(00040)",336611,5895,SBA,70Z04026Q50488B00,b9a9e53e69c9428a869d288ff55e6499,https://sam.gov/workspace/contract/opp/b9a9e53e69c9428a869d288ff55e6499/view,naics_336611
VESSEL,yes,Solicitation,2026-06-03,2026-06-12,USS PIONEER (MCM-9) TLI TRANSMITTER AND RECEIVER FOR MRG SUMP TANK; REPLACE,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP GLOBAL LOGISTICS SUPPORT.NAVSUP FLC YOKOSUKA.NAVSUP FLT LOG CTR  YOKOSUKA,336611,J999,,N6264926Q0355,f11a98a09dc8463db7763d0a6a130e5a,https://sam.gov/workspace/contract/opp/f11a98a09dc8463db7763d0a6a130e5a/view,naics_336611
VESSEL,yes,Sources Sought,2026-06-04,2026-06-12,"USS HERSHEL ""WOODY"" WILLIAMS (T-ESB 4) FY27 MTA",DEPT OF DEFENSE.DEPT OF THE NAVY.MSC.MSC HQS.MSCHQ NORFOLK,336611,J998,,N3220526R6099,92e73757fa614d9f8b5cfe5f721843bd,https://sam.gov/workspace/contract/opp/92e73757fa614d9f8b5cfe5f721843bd/view,naics_336611
VESSEL,yes,Sources Sought,2026-06-05,2026-06-12,Hanger Elevator Parts,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSEA.REGIONAL MAINTENANCE CENTER.MID ATLANTIC REG MAINT CTR,336611,2040,,N5005426Q0141,eb504efcee1e4747ae8332c359ffa568,https://sam.gov/workspace/contract/opp/eb504efcee1e4747ae8332c359ffa568/view,naics_336611
VESSEL,yes,Combined Synopsis/Solicitation,2026-06-08,2026-06-12,"REPAIR - ROLLS-ROYCE COOLER, FLUID UNDUSTRIAL","HOMELAND SECURITY, DEPARTMENT OF.US COAST GUARD.SFLC PROCUREMENT BRANCH 3(00040)",336611,4420,NONE,2126406B27DSDZ003,d8b734acd0834aa39d9e891568cffca7,https://sam.gov/workspace/contract/opp/d8b734acd0834aa39d9e891568cffca7/view,naics_336611
VESSEL,yes,Solicitation,2026-06-08,2026-06-12,Small Marine Craft Maintenance and Repair,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION SOUTH ATLANTIC.ENDIST JACKSONVILLE.W074 ENDIST JACKSNVLLE,336611,J020,SBA,W912EP26QA010,7304b1db86214e4588daf51a028eb73a,https://sam.gov/workspace/contract/opp/7304b1db86214e4588daf51a028eb73a/view,naics_336611
VESSEL,yes,Solicitation,2026-06-11,2026-06-12,"20--STAVE SET,BEARING",DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP WEAPON SYSTEMS SUPPORT.NAVSUP WSS MECHANICSBURG.NAVSUP WEAPON SYSTEMS SUPPORT MECH,336612,2010,,N0010425QYC45,81be9df8452d4541ba56643760a68c23,https://sam.gov/workspace/contract/opp/81be9df8452d4541ba56643760a68c23/view,naics_336612
VESSEL,yes,Combined Synopsis/Solicitation,2026-06-12,2026-06-12,"48--VALVE,BUTTERFLY",DEPT OF DEFENSE.DEFENSE LOGISTICS AGENCY.DLA MARITIME.DLA MARITIME COLUMBUS.DLA LAND AND MARITIME,336611,48,,SPE7MC26Q0361,62e4cf5a11494a7fab972ed114d44c58,https://sam.gov/workspace/contract/opp/62e4cf5a11494a7fab972ed114d44c58/view,naics_336611
VESSEL,yes,Sources Sought,2026-06-09,2026-06-13,"NSN: 6685014434200, TRANSMITTER,TEMPERA, WSDC: 12F KC-46A TANKER",DEPT OF DEFENSE.DEFENSE LOGISTICS AGENCY.DLA AVIATION.DLA AV RICHMOND.DLA AVIATION,336611,6685,,SPE4A526R0244,e82c5a5d66394745bf349a4b4c8355d7,https://sam.gov/workspace/contract/opp/e82c5a5d66394745bf349a4b4c8355d7/view,naics_336611
VESSEL,yes,Presolicitation,2026-06-03,2026-06-14,MCM-9 BONDING STRAP FOR AN/ASC-69 (V) ANTENNA PEDESTAL; REPLACE,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP GLOBAL LOGISTICS SUPPORT.NAVSUP FLC YOKOSUKA.NAVSUP FLT LOG CTR  YOKOSUKA,336611,J999,NONE,N6264926Q1107,00559d1bfacd4149bc3ad05357d5e51a,https://sam.gov/workspace/contract/opp/00559d1bfacd4149bc3ad05357d5e51a/view,naics_336611
VESSEL,yes,Solicitation,2026-05-08,2026-06-15,ASSY; FIN DRIVE AFT,DEPT OF DEFENSE.DEFENSE LOGISTICS AGENCY.DLA MARITIME.DLA MARITIME MECHANICSBURG.SPRMM1 DLA MECHANICSBURG,336611,2090,,SPRMM126QGC70,053cdaba93b7454d899a980e71b549ea,https://sam.gov/workspace/contract/opp/053cdaba93b7454d899a980e71b549ea/view,naics_336611
VESSEL,yes,Solicitation,2026-05-15,2026-06-15,"LARC-936, 6R1 26-CMAV 13PKG",DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP GLOBAL LOGISTICS SUPPORT.NAVSUP FLC YOKOSUKA.NAVSUP FLT LOG CTR  YOKOSUKA,336611,J999,,20260004125,7a09d14e81a740038e331c74c765336c,https://sam.gov/workspace/contract/opp/7a09d14e81a740038e331c74c765336c/view,naics_336611
