program,work_type,lane_gate,rank,vendor_name,vendor_uei,status,dollars_fy22_25_$M,n_awards_fy22_25,median_interaward_days,first_award_fy,last_award_date,also_active_other_program,piids,why_competable
submarines,machining,COMPETABLE,8,CURTISS-WRIGHT ELECTRO-MECHANICAL CORP,VXHFDAKS2LZ6,entrant,8.326,6,330,2022,2025-01-09,False,N0002417C2100;N0002417C2117,fragmented lane (HHI 0.11); 22 credible entrants took 40% of FY22-25 lane dollars; median re-buy 52d
submarines,machining,COMPETABLE,9,C & C METALS ENGINEERING INC,WAJ6RKYZTYL3,entrant,6.914,117,17.0,2019,2025-08-06,False,N0002416C2111;N0002417C2100;N0002417C2117;N0002424C2110,fragmented lane (HHI 0.11); 22 credible entrants took 40% of FY22-25 lane dollars; median re-buy 52d
submarines,machining,COMPETABLE,10,"MICRO PRECISION, LLC",E2P8AAJA2LK5,incumbent,6.036,72,21,2016,2025-06-25,False,N0002412C2115;N0002413C2128;N0002416C2111;N0002417C2100;N0002417C2117;N0002424C2110,fragmented lane (HHI 0.11); 22 credible entrants took 40% of FY22-25 lane dollars; median re-buy 52d
submarines,piping,COMPETABLE,1,CURTISS-WRIGHT CORPORATION,PF8PJNVEPTJ1,exited,216.778,182,8.5,2016,2023-10-12,True,N0002412C2115;N0002413C2128;N0002416C2111;N0002417C2100;N0002417C2117;N0002419C2114;N0002419C2115,fragmented lane (HHI 0.07); 45 credible entrants took 14% of FY22-25 lane dollars; median re-buy 33d
submarines,piping,COMPETABLE,2,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,WYDAKCJ5K219,reported-entrant (likely incumbent),197.992,88,16,2022,2025-02-25,False,N0002417C2100;N0002417C2117;N0002424C2110,fragmented lane (HHI 0.07); 45 credible entrants took 14% of FY22-25 lane dollars; median re-buy 33d
submarines,piping,COMPETABLE,3,GRAHAM CORP,F2LEAK3EK9R3,reported-entrant (likely incumbent),89.12,28,31.0,2021,2024-10-08,False,N0002417C2117;N0002419C2114;N0002419C2115,fragmented lane (HHI 0.07); 45 credible entrants took 14% of FY22-25 lane dollars; median re-buy 33d
submarines,piping,COMPETABLE,4,CURTISS-WRIGHT FLOW CONTROL CORPORATION,J9V9SJL4CW97,reported-entrant (likely incumbent),74.704,95,14.5,2022,2025-07-21,True,N0002417C2100;N0002417C2117;N0002424C2110,fragmented lane (HHI 0.07); 45 credible entrants took 14% of FY22-25 lane dollars; median re-buy 33d
submarines,piping,COMPETABLE,5,"CIRCOR INTERNATIONAL, INC.",U45EH8WMNF55,exited,66.225,96,12.5,2016,2022-03-14,True,N0002412C2115;N0002417C2100;N0002417C2117,fragmented lane (HHI 0.07); 45 credible entrants took 14% of FY22-25 lane dollars; median re-buy 33d
submarines,piping,COMPETABLE,6,PORTLAND VALVE LLC,JEP5GQGFPUL9,reported-entrant (likely incumbent),48.129,60,12,2022,2025-07-29,True,N0002417C2100;N0002417C2117;N0002424C2110,fragmented lane (HHI 0.07); 45 credible entrants took 14% of FY22-25 lane dollars; median re-buy 33d
submarines,piping,COMPETABLE,7,MAROTTA CONTROLS INC,Q35JL9GFCAK3,incumbent,43.564,58,29,2016,2024-10-04,True,N0002413C2128;N0002417C2100;N0002417C2117,fragmented lane (HHI 0.07); 45 credible entrants took 14% of FY22-25 lane dollars; median re-buy 33d
submarines,piping,COMPETABLE,8,"KME AMERICA MARINE TUBE & FITTING, LLC",DK14KTLXA9M5,incumbent,42.073,260,9,2016,2025-07-23,False,N0002412C2115;N0002413C2128;N0002417C2100;N0002417C2117;N0002424C2110,fragmented lane (HHI 0.07); 45 credible entrants took 14% of FY22-25 lane dollars; median re-buy 33d
submarines,piping,COMPETABLE,9,CIRCOR NAVAL SOLUTIONS LLC,GU5YDKH7GPF1,reported-entrant (likely incumbent),37.747,48,29.0,2021,2025-05-05,True,N0002417C2100;N0002417C2117;N0002424C2110,fragmented lane (HHI 0.07); 45 credible entrants took 14% of FY22-25 lane dollars; median re-buy 33d
submarines,piping,COMPETABLE,10,"HUNT VALVE COMPANY, INC.",HG5LNJAG4LU8,reported-entrant (likely incumbent),36.534,61,13.5,2021,2025-01-15,False,N0002417C2100;N0002417C2117;N0002424C2110,fragmented lane (HHI 0.07); 45 credible entrants took 14% of FY22-25 lane dollars; median re-buy 33d
submarines,structural,COMPETABLE,1,"PRECISION CUSTOM COMPONENTS, LLC",YD1GK53355R5,incumbent,179.676,60,28.0,2016,2025-07-07,False,N0002412C2115;N0002413C2128;N0002416C2111;N0002417C2100;N0002417C2117;N0002419C2114;N0002419C2115;N0002424C2110,fragmented lane (HHI 0.09); 27 credible entrants took 15% of FY22-25 lane dollars; median re-buy 36d
submarines,structural,COMPETABLE,2,"RHOADS METAL FABRICATIONS, INC.",KENVPMBVBT39,reported-entrant (likely incumbent),141.905,73,11,2022,2024-12-18,False,N0002417C2100;N0002417C2117,fragmented lane (HHI 0.09); 27 credible entrants took 15% of FY22-25 lane dollars; median re-buy 36d
submarines,structural,COMPETABLE,3,D.C. FABRICATORS INC.,E8LNMDLEKM35,incumbent,136.396,32,36.0,2017,2025-04-24,False,N0002413C2128;N0002417C2100;N0002417C2117;N0002419C2115;N0002424C2110,fragmented lane (HHI 0.09); 27 credible entrants took 15% of FY22-25 lane dollars; median re-buy 36d
submarines,structural,COMPETABLE,4,"AUSTAL USA, LLC",UCWYBGRA11H1,reported-entrant (likely incumbent),87.555,24,27.0,2022,2024-08-09,False,N0002417C2100;N0002417C2117,fragmented lane (HHI 0.09); 27 credible entrants took 15% of FY22-25 lane dollars; median re-buy 36d
submarines,structural,COMPETABLE,5,"W INTERNATIONAL, LLC",XQW8RJNNAXX8,incumbent,83.725,76,14.5,2016,2024-10-09,False,N0002412C2115;N0002413C2128;N0002416C2111;N0002417C2100;N0002417C2117,fragmented lane (HHI 0.09); 27 credible entrants took 15% of FY22-25 lane dollars; median re-buy 36d
submarines,structural,COMPETABLE,6,"W INTERNATIONAL SC, LLC",Y6X3BDLEPNJ6,reported-entrant (likely incumbent),74.5,33,22,2019,2022-02-09,False,N0002417C2100;N0002417C2117,fragmented lane (HHI 0.09); 27 credible entrants took 15% of FY22-25 lane dollars; median re-buy 36d
submarines,structural,COMPETABLE,7,PEGASUS STEEL LLC,TZVRTYNM3MN3,incumbent,51.227,89,26.5,2016,2025-08-15,False,N0002412C2115;N0002413C2128;N0002417C2100;N0002417C2117;N0002424C2110,fragmented lane (HHI 0.09); 27 credible entrants took 15% of FY22-25 lane dollars; median re-buy 36d
submarines,structural,COMPETABLE,8,"CP INDUSTRIES HOLDINGS, INC",RM4TFABVLPX4,reported-entrant (likely incumbent),33.956,14,130.0,2021,2024-11-04,True,N0002417C2100;N0002417C2117,fragmented lane (HHI 0.09); 27 credible entrants took 15% of FY22-25 lane dollars; median re-buy 36d
submarines,structural,COMPETABLE,9,"AMERICAN TANK & FABRICATING CO, THE",PUG1H9MFJD63,incumbent,27.776,56,33,2016,2024-11-18,False,N0002412C2115;N0002413C2128;N0002417C2100;N0002417C2117,fragmented lane (HHI 0.09); 27 credible entrants took 15% of FY22-25 lane dollars; median re-buy 36d
submarines,structural,COMPETABLE,10,AMERICAN STEEL AND ALUMINUM LLC,KTSAL8YX2QQ5,entrant,24.195,43,15,2022,2024-11-12,False,N0002417C2100;N0002417C2117,fragmented lane (HHI 0.09); 27 credible entrants took 15% of FY22-25 lane dollars; median re-buy 36d
