Subawardee UEI,Subawardee NAICS-6 (Primary),Subawardee NAICS-6 Description,Parent UEI,Parent Vendor Name,Subawardee Vendor Name,Predominant Place of Performance (by records),Subaward $M,Published Subaward Records,First Subaward,Last Subaward,Capability Domain Archetype (D),Capability Domain Archetype Basis,Primary Output Archetype (P),Primary Output Archetype Basis,Role / Description,Source URLs
XDF1FRDG8KK4,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,,QINETIQ GROUP PLC,"FOSTER-MILLER, INC.",Domestic,15.768675,20,2017-07-07,2025-06-19,,,,,"The exact Virginia-class item could not be confirmed publicly. Foster-Miller/QinetiQ provides undersea systems engineering, robotics, advanced materials, and other defense technologies, but reviewed sources did not tie a specific deliverable to this subaward.","https://govtribe.com/vendors/foster-miller-inc-dot-qinetiq-north-america-30233
https://www.highergov.com/awardee/qinetiq-north-america-10113067/"
TZLXM3NCC7D1,335910,Battery Manufacturing,,EXIDE TECHNOLOGIES,EXIDE TECHNOLOGIES,Domestic,12.673252,3,2017-05-08,2017-05-08,,,,,"Supplied advanced low-maintenance valve-regulated lead-acid main storage battery systems for Virginia-class submarines. Public descriptions state that these batteries provide emergency/backup power and reactor-restart capability, including cells and associated packaging/trays.","https://www.arkansasedc.com/news-events/newsroom/detail/2016/06/23/company-gets-grant-to-boost-production-of-submarine-batteries
https://www.power-eng.com/nuclear/exides-network-power-business-group-to-supply-storage-batteries-for-us-navy/
https://www.prnewswire.com/news-releases/exide-technologies-earns-defense-production-act-dpa-title-iii-program-award-300291179.html"
W3KUJLTCRLV1,332919,Other Metal Valve and Pipe Fitting Manufacturing,,AMMCON CORP.,AMMCON CORP.,Domestic,12.365146,176,2016-02-01,2022-10-27,,,,,Manufactures critical fittings and assembled components for Virginia- and Columbia-class submarines. It also performs final machining and assembly of additively manufactured submarine parts.,"https://www.businesswire.com/news/home/20240313937466/en/Fairbanks-Morse-Defense-Continues-Expanding-Turnkey-Solutions-with-AMMCON-Acquisition
https://hii.com/news/hii-additive-manufacturing-virginia-class-submarine-newport-news-shipbuilding-2023"
JKPCAKFW8X93,331513,Steel Foundries (except Investment),,"HITACHI, LTD.",AMERICAST TECHNOLOGIES INC,Domestic,11.270904,11,2018-03-20,2020-05-20,,,,,"Manufactured large, complex steel castings for the Virginia-class supply chain. Public company sources confirm Americast's large engineered steel-casting business, but no reliable public source identified the exact casting covered by this subaward.","https://castleharlan.com/portfolio/item/43-americast-technologies-inc
https://www.osha.gov/ords/odi/establishment_search.search?begindart=&begindawfii=&begintcr=&city=&enddart=&enddawfii=&endtcr=&endyear=&establishment=&naics=&p_desc=DESC&p_direction=Next&p_finish=151340&p_show=20&p_sort=tcr&p_start=&sic=&startyear=&state=&zip="
FMC8BKMNMKF2,339999,All Other Miscellaneous Manufacturing,,"FLUID CONDITIONING PRODUCTS, INC.","FLUID CONDITIONING PRODUCTS, INC.",Domestic,10.784328,51,2016-04-25,2025-01-24,,,,,"Supplies precision, cleanable all-metal wire-mesh filters and strainers for naval-nuclear submarine fluid systems. Public reporting connects the company's precision filters to Virginia-class construction, but does not identify the exact filter covered by this subaward.","https://www.fcp-filters.com/industries/
https://www.fcp-filters.com/about/
https://njcommissioning.org/august-24-newsletter/"
JA2KCX21NL48,336611,Ship Building and Repairing,,Wärtsilä Oyj Abp,"WARTSILA DEFENSE, INC.",Domestic,10.49517,13,2016-02-24,2024-05-24,,,,,Supplies Virginia-class shaft/bulkhead seal equipment and technical oversight for installation and maintenance. Wärtsilä's U.S. defense business specializes in marine shaft sealing and submarine propeller repair.,"https://www.highergov.com/contract-opportunity/va-class-shaft-seal-technical-oversight-n4215823qs030-k-ce9a3/
https://www.wartsila.com/usa/about/history"
MF1LU8RPCMB8,332313,Plate Work Manufacturing,,Techprecision Corporation,"RANOR, INC.",Domestic,10.351385,79,2016-08-18,2024-11-22,,,,,"Provides large-scale precision fabrication, welding, and machining for BAE's Virginia-class propulsor assemblies. A disclosed subcontract identifies Ranor as supplying material to the propulsor contract, but does not name the exact part.","https://www.techprecision.com/
https://www.highergov.com/contract/N0002421C4106/"
TY25RCEB5FF3,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,,"COLLINS & JEWELL COMPANY, INC.","COLLINS & JEWELL COMPANY, INC.",Domestic,10.259533,58,2016-09-15,2025-01-14,,,,,Fabricates massive structural-steel tooling and assemblies used by Electric Boat workers to build Virginia-class submarines. Public reporting does not identify the individual structures covered by this subaward.,"https://portal.ct.gov/OMA/In-the-News/2017-News/Sub-Suppliers-Sharing-In-EB-Boom
https://www.highergov.com/awardee/collins-jewell-company-inc-10458080/"
WPP2ABN6UCF5,334290,Other Communications Equipment Manufacturing,,"L3 TECHNOLOGIES, INC.","L3 TECHNOLOGIES, INC.",Domestic,10.22754,43,2016-02-23,2023-02-22,,,,,"L3Harris Henschel’s Norfolk operation supplies submarine machinery-control and monitoring equipment, including consoles, control panels, alarms, and related ship-control electronics. The exact Virginia-class cabinet or console in this subaward is not publicly itemized.","https://app.g2xchange.com/companies/WPP2ABN6UCF5
https://www.highergov.com/awardee/l3-technologies-inc-10107051/
https://www.l3harris.com/all-capabilities/ship-control-systems"
JK4WJKLD44G9,331529,Other Nonferrous Metal Foundries (except Die-Casting),,"METALTEK INTERNATIONAL, INC.","METALTEK INTERNATIONAL, INC.",Domestic,10.210539,25,2016-02-01,2024-11-04,,,,,"Produces cast metal components for submarine propulsion, fluid-control, weapons, and structural-support systems. Public examples include shaft sleeves, valve components, propeller hubs, and HY-80 steel castings; the exact Virginia-class casting is not public.","https://www.metaltek.com/market-solutions/defense/
https://www.metaltek.com/hy-80-steel/"
N5KMLMXEPFM5,333310,Commercial and Service Industry Machinery Manufacturing,,PARKER-HANNIFIN CORPORATION,PARKER-HANNIFIN CORPORATION,Domestic,9.644123,5,2018-01-23,2023-11-08,,,,,"Supplies Virginia-class salinity sensors, including Parker part number 106107-00 identified in public procurement notices. The sensors support monitoring of water/salinity conditions aboard the submarine.","https://discover.govdash.com/solicitations/019d015d-4ac4-7476-81bb-9d9d9aacbe1d--yjn-virginia-class-submarine-salinity-sensor
https://govtribe.com/opportunity/federal-contract-opportunity/yjn-virginia-class-submarine-salinity-sensor-spe4a726r0423"
HUDHMPV9B6M9,339999,All Other Miscellaneous Manufacturing,,NORTHROP GRUMMAN CORPORATION,NORTHROP GRUMMAN SYSTEMS CORPORATION,Domestic,9.15455,5,2017-08-08,2018-10-25,,,,,"This UEI maps to Northrop Grumman’s Sykesville, Maryland operation, which manufactures specialized electronic, electromechanical, and control assemblies. I found no public source identifying the exact Virginia-class construction component attributable to this entity, so a platform-specific part should not be inferred.","https://www.highergov.com/awardee/northrop-grumman-systems-corporation-10110249/
https://www.sledai.com/tools/public-spend/vendor/northrop-grumman-systems-corporation-hudhmpv9b6m9/"
KZGEJ29ND6K3,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,,RAG-Stiftung,EVONIK CORPORATION,Domestic,8.835533,40,2017-02-17,2025-01-06,,,,,"The specific Virginia-class chemical or material could not be confirmed publicly. Evonik manufactures specialty additives, hardeners, silanes, and monomers for marine and protective coatings, but no reviewed source tied a particular product to this subaward.",https://www.evonik.com/en/applications/application_674336.html
RYRLL49HWN65,332322,Sheet Metal Work Manufacturing,,BAKER SHEET METAL CORPORATION,BAKER SHEET METAL CORPORATION,Domestic,8.765682,35,2016-02-03,2024-05-22,,,,,"Provides U.S. Navy interior doors and closures fabricated in steel, aluminum, and stainless steel, plus related marine sheet-metal and repair work. Public sources did not identify the exact Virginia-class door or service covered by this subaward.","https://www.bakersheetmetal.com/marine-us-navy-doors
https://govtribe.com/award/federal-vehicle/hme-modernization-program"
FYUJEKH32UF5,332710,Machine Shops,,,"L.M. GILL WELDING & MANUFACTURING, L.L.C.",Domestic,8.697598,107,2016-02-03,2025-08-14,,,,,"Manufactures welded and machined Navy hardware such as specialty fittings, flanges, union nuts, tees, caps, tailpieces, valves, and other machine components. The exact Virginia-class item was not publicly disclosed.","https://www.lmgillwelding.com/photo-gallery.html
https://www.highergov.com/awardee/l-m-gill-welding-manufacturing-l-l-c-10020547/"
X6N2CNV552X7,336611,Ship Building and Repairing,,"OCEANEERING INTERNATIONAL, INC.","OCEANEERING INTERNATIONAL, INC.",Domestic,8.685686,32,2017-12-01,2025-04-16,,,,,"Provides SUBSAFE-authorized submarine modernization and repair plus precision fabrication, including installation, troubleshooting, maintenance, and repair of hull, mechanical and electrical, weapons, and main/auxiliary equipment. Public contracts also cover engineering and technical support for Virginia-class construction and maintenance.","https://www.oceaneering.com/marine-services/submarine-modernization-and-repair/
https://www.war.gov/News/Contracts/Contract/Article/1721253/contracts-for-dec-26-2018/"
NTREK31GP8N3,334417,Electronic Connector Manufacturing,,KSARIA CORPORATION,KSARIA CORPORATION,Domestic,8.525141,34,2016-04-21,2024-10-15,,,,,"Supplies fiber-optic and electrical cable assemblies, harnesses, and interconnect engineering, fabrication, installation, and logistics for military platforms. The exact Virginia-class cable assembly covered by this subaward was not publicly identified.","https://ksaria.com/
https://www.navair.navy.mil/osbp/node/4756"
NRCCMBKQ6FD7,541512,Computer Systems Design Services,,"LEIDOS HOLDINGS, INC.",LEIDOS INNOVATIONS CORPORATION,Domestic,8.503228,24,2016-11-22,2018-09-07,,,,,"The exact Virginia-class deliverable could not be confirmed publicly. Leidos provides undersea-warfare systems engineering, integration, and test support; public parts data has linked Leidos cable assemblies to Virginia-class weapon-system applications, but the entity/configuration match is not definitive.","https://www.upi.com/Defense-News/2017/08/04/Leidos-Innovations-receives-contract-for-US-Navys-undersea-warfare-system/9041501860024/
https://www.nationalstocknumbersupply.com/rfq/leidos-engineering-and-sciences-llc/6150015827717/bw3-1a08913-505/"
NVPEBL51CSF8,332710,Machine Shops,,,"GUILL TOOL & ENGINEERING CO, INC.",Domestic,8.356192,128,2016-02-24,2025-08-15,,,,,"Produces precision-machined SUBSAFE/Level I, nuclear-plant, and non-level fittings, valves, flanges, components, and assemblies for U.S. submarines. The exact Virginia-class fitting or part number in this subaward was not publicly disclosed.","https://guilldefense.com/about/company-profile/
https://www.highergov.com/contract/N0002417C2100/"
U4MMR7DR2DR7,336611,Ship Building and Repairing,,,"JAL ENTERPRISES, INC.",Domestic,8.226292,21,2016-04-11,2024-08-14,,,,,Public NSN data identifies a JAL electric shipboard range as an end item for Virginia Block III submarines. JAL also supplies shipboard electrical/power equipment; the exact subaward configuration was not publicly disclosed.,"https://app.salespatriot.com/nsn/7310012905148
https://fsg-59-relays-semiconductor-devices.parttarget.com/coils-transformers-IQ4H050QTC30_KL731JLTE2N2C.html"
N5BYYW3MMFP7,326291,Rubber Product Manufacturing for Mechanical Use,,TOTAL SA,"HUTCHINSON AEROSPACE & INDUSTRY, INC.",Domestic,8.198506,5,2022-02-16,2024-06-28,,,,,The exact Virginia-class item could not be confirmed publicly. Hutchinson manufactures naval-grade elastomeric shock/vibration isolation mounts and acoustic-damping materials used to protect equipment and reduce structure-borne noise.,"https://aerospacedefense.hutchinson.com/en/solutions/anti-shock-and-vibration-mounts
https://aerospacedefense.hutchinson.com/en/solutions/acoustics-vibrations"
GE4GA2B9JYF9,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,,,"MERRILL TECHNOLOGIES GROUP, LLC",Domestic,7.925159,32,2022-05-09,2025-08-21,,,,,"Fabricates, machines, and integrates large, complex metal parts and structures for submarine programs. Public sources do not identify the exact Virginia-class component covered by this subaward.","https://arlingtoncap.com/news/arlington-capital-partners-announces-the-formation-of-keel-a-new-leader-in-defense-manufacturing-and-its-acquisitions-of-merrill-technologies-group-and-metal-trades-llc/
https://keelusa.com/keel-a-purpose-built-company/"
GR2CKSBB4MB5,332112,Nonferrous Forging,,,LENAPE FORGED PRODUCTS CORP,Domestic,7.906426,43,2017-01-09,2025-08-21,,,,,Supplies forged metal components for defense and submarine applications. The exact Virginia-class forging covered by this subaward was not publicly identified.,"https://www.linkedin.com/company/lenape-forged-products-corporation
https://www.highergov.com/subcontract/N0002424C2110-1000118102/"
GXPHJRVG9MR7,335311,"Power, Distribution, and Specialty Transformer Manufacturing",,LEONARDO SPA,DRS NAVAL POWER SYSTEMS INC,Domestic,7.90217,82,2017-03-09,2025-04-10,,,,,"Supplies shipboard electrical-distribution hardware, specifically marine load centers and switchboards installed on Virginia-class submarines, together with associated design and engineering support.","https://www.leonardodrs.com/what-we-do/products-and-services/marine-switchboards-and-loadcenters/
https://www.highergov.com/subcontract/N0002420C2120-1000037501/"
MC77SUMRLXY5,332911,Industrial Valve Manufacturing,,"MILWAUKEE VALVE COMPANY, INC.","MILWAUKEE VALVE COMPANY, INC.",Domestic,7.869204,26,2016-03-09,2019-11-25,,,,,Supplies marine valves installed on Virginia-class submarines. Public sources confirm the program relationship but do not identify the exact valve types covered by this subaward.,"https://www.milwaukeevalve.com/
https://www.supplyht.com/articles/97884-milwaukee-valve-showcases-its-operations-to-client-newport-news-shipbuilding"
R9EYKGK8NKA5,332710,Machine Shops,,,"NUFLO, INC.",Domestic,7.728078,14,2016-05-27,2017-03-20,,,,,"Manufactured pipe fittings, including elbow joints, for Virginia-class steam-piping systems. Public records identify NuFlo fittings as installed in the class, although they do not map this subaward to individual part numbers.","https://www.navytimes.com/news/your-navy/2016/03/27/secret-weld-how-shoddy-parts-disabled-a-2-7-billion-submarine/
https://law.justia.com/cases/federal/appellate-courts/ca11/21-13673/21-13673-2023-08-17.html"
J8PKNJEX2MS2,483113,Coastal and Great Lakes Freight Transportation,,,"LOCKWOOD BROTHERS, INC.",Domestic,7.601982,12,2017-06-12,2024-07-30,,,,,"Provides heavy-lift marine transport, barge service, crane and rigging, specialized hauling, and nuclear-certified machinery/equipment transport for Virginia-class construction. Public records tie its work to SSN 802 and SSN 803.",https://www.highergov.com/awardee/lockwood-brothers-inc-10403232/
G319AMB56SW5,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,,Graycliff Partners LP,"901 D, LLC",Domestic,7.121048,47,2016-09-20,2023-06-30,,,,,Supplies shock-qualified rugged electronics enclosures and consoles used to house mission-critical naval electronics. The exact Virginia-class enclosure configuration was not publicly identified.,"https://defense-solutions.curtisswright.com/products/901d-rugged-enclosures-consoles
https://defense-solutions.curtisswright.com/resources/brochures/naval-applications-901d-brochure"
ZFQBUPK552C3,332312,Fabricated Structural Metal Manufacturing,,,THE H R HILLERY COMPANY,Domestic,7.049951,45,2016-04-22,2024-11-13,,,,,"The exact Virginia-class item could not be confirmed publicly. The company is a fabricated-structural-metal manufacturer and appears as a subcontractor on Virginia-class construction, but available sources do not identify the specific fabrication.","https://www.highergov.com/awardee/the-h-r-hillery-company-10083600/
https://govtribe.com/award/federal-contract-award/definitive-contract-n0002417c2117"
FWF8QBPCGLG3,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,,GENERAL TOOL COMPANY,GENERAL TOOL COMPANY,Domestic,6.661793,25,2016-11-16,2025-08-07,,,,,"Builds mission-critical welded, fabricated, and machined components supporting Virginia-class Blocks III-V construction and modernization. The exact component covered by this subaward was not publicly identified.","https://gentool.com/industry/defense/
https://gentool.com/capability/fabrication-services/
https://www.businesswire.com/news/home/20260204254017/en/Ventus-Industrial-Partners-Announces-the-Formation-of-Aeron-Defense-a-New-Force-in-the-Defense-Sector-and-the-Acquisitions-of-General-Tool-Company-and-Magna-Machine-in-Partnership-with-GenNx360-Capital-Partners-and-Admiralty-Partners"
E2P8AAJA2LK5,332721,Precision Turned Product Manufacturing,,,"MICRO PRECISION, LLC",Domestic,6.602088,107,2016-04-13,2025-06-25,,,,,"Produces precision-machined Level I/SUBSAFE critical components for Virginia- and Columbia-class submarines, including sole-source parts. The exact component covered by this subaward was not publicly disclosed.","https://microprecisiongroup.com/
https://compasspartners.com/compass-partners-announces-new-board-for-micro-precision-llc/
https://portal.ct.gov/OMA/In-the-News/2013-News/EB-Submarineparts-Makers-Take-Their-Case-For-Funding-To-Capitol-Hill"
JFHLZNJLWAN5,332710,Machine Shops,,"Dynamic Precision Group, Inc.","PARADIGM PRECISION HOLDINGS, LLC",Domestic,6.374722,43,2017-05-26,2024-11-13,,,,,"The exact Virginia-class deliverable could not be confirmed publicly. Paradigm manufactures complex precision-machined and fabricated components for aerospace, power-generation, and marine markets, but reviewed sources did not tie a specific product to this subaward.","https://paradigmprecision.com/about/
https://ir.carlyle.com/news-releases/news-release-details/carlyle-group-portfolio-company-paradigm-precision-completes"
Q35JL9GFCAK3,332912,Fluid Power Valve and Hose Fitting Manufacturing,,"MAROTTA CONTROLS, INC.","MAROTTA CONTROLS, INC.",Domestic,6.368202,12,2017-08-25,2022-03-18,,,,,"Supplies more than 150 components on USS New Jersey (SSN 796), including complex valve manifolds and other motion- and flow-control components. These products manage fluid and actuation functions across submarine systems.","https://marotta.com/marotta-controls-celebrates-u-s-navy-commissioning-of-23rd-virginia-class-submarine-the-uss-new-jersey/
https://marotta.com/products/flow-controls/shipboard-controls/"
F1UZPBD1VBH9,541519,Other Computer Related Services,,"LYME COMPUTER SYSTEMS, INC.","LYME COMPUTER SYSTEMS, INC.",Domestic,6.323671,69,2016-07-01,2025-08-05,,,,,"Supplies industrial-grade Siemens/Ruggedcom networking hardware and components for Virginia-class hull, mechanical, and electrical networks. The exact network configuration covered by this subaward was not publicly disclosed.","https://www.war.gov/News/Contracts/Contract/Article/1211091/contracts-for-jun-12-2017/
https://www.highergov.com/subcontract/N0002424C2110-1000115768/"
WESDY4U81NP8,332996,Fabricated Pipe and Pipe Fitting Manufacturing,,"TRIDENT MARITIME SYSTEMS - CAC, LLC","TRIDENT MARITIME SYSTEMS - CAC, LLC",Domestic,6.262341,31,2023-09-27,2025-08-21,,,,,"Supplies Level I specialty-alloy forgings, fittings, and pipe through the acquired Custom Alloy business, including Virginia-class main-seawater-system fittings.","https://www.jflco.com/news-article/153/trident-maritime-systems-acquires-assets-of-custom-alloy-corporation
https://www.prnewswire.com/news-releases/trident-maritime-systems-acquires-assets-of-custom-alloy-corporation-301855869.html
https://customalloycorp.com/about-custom-alloy/"
VKBFB8MAZ357,332313,Plate Work Manufacturing,,AMERICAN INDUSTRIAL ACQUISITION CORPORATION,TITANIUM FABRICATION CORPORATION,Domestic,6.244589,12,2016-05-03,2024-11-22,,,,,"The exact Virginia-class item could not be confirmed publicly. TiFab is a long-time U.S. Navy shipbuilding supplier that fabricates titanium, zirconium, and nickel-alloy pressure vessels, piping spools, heat exchangers, pump housings, and valve bodies.","https://www.tifab.com/industries-served/military-and-defense/
https://www.tifab.com/fabricated-products/
https://www.tifab.com/"
FR7WWCCNBQZ6,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,,,D K MACHINE INC,Domestic,6.116974,17,2018-06-05,2020-05-01,,,,,,
MKXMUFJJYLY5,335312,Motor and Generator Manufacturing,,Ward Leonard Holdings LLC,WARD LEONARD CT LLC,Domestic,6.114199,33,2017-03-03,2024-06-24,,,,,,
REXPSJ7NAHU8,332919,Other Metal Valve and Pipe Fitting Manufacturing,,DERBYSHIRE MACHINE & TOOL CO,DERBYSHIRE MACHINE & TOOL CO,Domestic,5.87366,47,2016-11-09,2025-08-20,,,,,,
CE3HF8PLAFD3,332911,Industrial Valve Manufacturing,,,"MILWAUKEE VALVE COMPANY, LLC",Domestic,5.673128,17,2022-10-18,2024-09-27,,,,,,
MWAKL633WET8,333611,Turbine and Turbine Generator Set Units Manufacturing,,CURTISS-WRIGHT CORPORATION,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,Domestic,5.659932,1,2018-03-22,2018-03-22,,,,,"This UEI is Curtiss-Wright’s Wellsville, New York Steam & Air Solutions operation. It manufactures naval steam turbines, turbine-generator components, and high-pressure air compressors; public sources do not identify which Virginia-class unit was supplied under this subaward.","https://www.highergov.com/awardee/curtiss-wright-electro-mechanical-corporation-10108964/
https://electro-mechanicalsystems.curtisswright.com/"
JSAXGRLNEJ63,336611,Ship Building and Repairing,,"COLONNA'S SHIP YARD, INCORPORATED","COLONNA'S SHIP YARD, INCORPORATED",Domestic,5.544746,4,2023-03-13,2024-05-31,,,,,,
CW48SQ7KJX68,336611,Ship Building and Repairing,,"CRAFT MACHINE WORKS, INC.","CRAFT MACHINE WORKS, INC.",Domestic,5.461343,22,2019-07-30,2025-07-29,,,,,,
HQYTCMF5RGE4,423690,Other Electronic Parts and Equipment Merchant Wholesalers,,SHERBURN ELECTRONICS INC.,SHERBURN ELECTRONICS INC.,Domestic,5.379207,68,2016-05-18,2025-08-21,,,,,,
RDG4F8MZVDU1,335311,"Power, Distribution, and Specialty Transformer Manufacturing",,"L3HARRIS TECHNOLOGIES, INC.","POWER PARAGON, INC.",Domestic,5.343367,3,2021-09-24,2023-03-29,,,,,"Power Paragon in Gardena, California designs naval static power-conversion and electrical-distribution equipment. Public sources establish that capability, but I found no public evidence identifying the particular Virginia-class converter, inverter, transformer, or distribution unit represented by this subaward.","https://www.usaspending.gov/recipient/d28d3d33-f7f9-e2e5-5752-6915236cc57a-C/latest
https://www.l3harris.com/all-capabilities/maritime-power-and-energy-solutions"
C1B6X8AADFB1,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,,,"COMSACO, INC.",Domestic,5.322979,16,2018-05-29,2025-01-24,,,,,,
VXHFDAKS2LZ6,333611,Turbine and Turbine Generator Set Units Manufacturing,,,CURTISS-WRIGHT ELECTRO-MECHANICAL CORP,Domestic,5.285012,2,2023-04-11,2025-01-09,,,,,,
WAJ6RKYZTYL3,332710,Machine Shops,,C & C METALS ENGINEERING INC,C & C METALS ENGINEERING INC,Domestic,5.246417,96,2019-03-05,2025-08-06,,,,,,
HYNSUU4GPWA9,541611,Administrative Management and General Management Consulting Services,,,GLOBAL EXECUTIVE SOLUTIONS LLC,Domestic,5.032118,10,2021-01-27,2024-10-08,,,,,,
ZXNYWJ1KLDL9,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,,Transdigm Group Incorporated,"SYMETRICS INDUSTRIES, LLC",Domestic,5.011966,5,2018-03-16,2024-04-15,,,,,,
CN4DJZSKM3Y3,332996,Fabricated Pipe and Pipe Fitting Manufacturing,,"PENNSYLVANIA MACHINE WORKS, INC.","PENNSYLVANIA MACHINE WORKS, INC.",Domestic,4.988062,134,2016-02-04,2025-07-28,,,,,,
JRUCKDSNXKD5,333998,All Other Miscellaneous General Purpose Machinery Manufacturing,,The Entwistle Trust,"ENTWISTLE COMPANY, THE",Domestic,4.976432,13,2016-02-16,2023-10-23,,,,,,
QVMBB4UCMEH4,334419,Other Electronic Component Manufacturing,,"ELECTRO MECHANICAL SPECIALISTS, LLC","ELECTRO MECHANICAL SPECIALISTS, LLC",Domestic,4.83551,24,2016-05-03,2024-08-16,,,,,,
RBJHSL4MK9M8,,n/a (no SAM record),,CHEMTURA CORPORATION,LANXESS SOLUTIONS US INC.,Domestic,4.769117,10,2017-01-20,2020-12-04,,,,,,
ETWEE7EYY9G5,332710,Machine Shops,,,COGITIC CORPORATION,Domestic,4.647582,22,2016-10-25,2024-08-23,,,,,,
MVJ8B69F5CL6,332410,Power Boiler and Heat Exchanger Manufacturing,,"RIGGINS COMPANY, L.C.","RIGGINS COMPANY, L.C.",Domestic,4.541311,13,2019-02-26,2025-08-22,,,,,,
FH39KDCYBK21,,n/a (no SAM record),,,"Htp Meds, LLC",Domestic,4.390764,6,2018-08-17,2021-12-15,,,,,,
MSYWUDGYPKF5,332420,Metal Tank (Heavy Gauge) Manufacturing,,EVEREST KANTO CYLINDER LIMITED,"CP INDUSTRIES HOLDINGS, INC",Domestic,4.281381,3,2018-04-20,2023-03-10,,,,,,
MXTJBDD1L4T4,333995,Fluid Power Cylinder and Actuator Manufacturing,,"TAYLOR DEVICES, INC.","TAYLOR DEVICES, INC.",Domestic,4.278674,7,2016-08-30,2024-11-14,,,,,,
QB7EKDNK2E83,332710,Machine Shops,,,SHELBY SUPPLY CO LLC,Domestic,4.276431,45,2016-02-16,2024-11-08,,,,,,
LYV8XEV314F6,332323,Ornamental and Architectural Metal Work Manufacturing,,UNIVERSAL MANUFACTURING CORP.,UNIVERSAL MANUFACTURING CORP.,Domestic,4.260256,5,2019-06-17,2024-06-17,,,,,,
Y9KMLM1AFU63,334419,Other Electronic Component Manufacturing,,AMETEK INC.,ROTRON INCORPORATED,Domestic,4.253848,16,2017-02-22,2025-05-07,,,,,,
LJRBXLTGXN57,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,,,"CEPEDA ASSOCIATES, INC.",Domestic,4.246882,18,2017-05-31,2025-07-25,,,,,,
YWX1QLBKSQD7,325520,Adhesive Manufacturing,,"PPG INDUSTRIES, INC.","PRC - DESOTO INTERNATIONAL, INC.",Domestic,4.127855,41,2016-02-22,2025-01-17,,,,,,
XH9ADBLZRMF1,551112,Offices of Other Holding Companies,,,MELLINGER ENGINEERING GROUP LLC,Domestic,4.117764,10,2018-06-01,2019-12-13,,,,,,
WNDYZX3ALFB1,334111,Electronic Computer Manufacturing,,"Source Code Midco, LLC","COMARK, LLC",Domestic,4.003556,20,2017-09-19,2024-07-31,,,,,,
JLZUKW73FAM9,,n/a (no SAM record),,"Dynamic Precision Group, Inc.","Paradigm Precision Holdings, LLC",Domestic,3.897884,24,2016-07-18,2019-11-13,,,,,,
U23DM4ULNLS3,336611,Ship Building and Repairing,,,BAE SYSTEMS JACKSONVILLE SHIP REPAIR LLC,Domestic,3.857403,2,2024-09-10,2024-09-27,,,,,,
D1L2HV3GLLY3,423510,Metal Service Centers and Other Metal Merchant Wholesalers,,TIOGA PIPE INC,TIOGA PIPE INC,Domestic,3.855851,6,2024-06-04,2025-05-30,,,,,,
K6LKL4BYZGZ6,541519,Other Computer Related Services,,,TRILOGIC SYSTEMS CORPORATION,Domestic,3.803976,26,2017-08-08,2025-06-13,,,,,,
QV38GMJUBJQ3,336611,Ship Building and Repairing,,"L3HARRIS TECHNOLOGIES, INC",L3HARRIS MARITIME SERVICES INC,Domestic,3.801123,4,2023-09-18,2024-11-22,,,,,"L3Harris Maritime Services in Norfolk provides shipyard production and installation labor—welding, pipefitting, shipfitting, blasting/painting, and equipment installation. The exact Virginia-class new-construction work package is not publicly disclosed.",https://www.highergov.com/awardee/l3harris-maritime-services-inc-10111066/
WJ1XMJMTSYL9,334519,Other Measuring and Controlling Device Manufacturing,,,"PAROSCIENTIFIC, INC.",Domestic,3.644494,22,2016-09-22,2024-08-16,,,,,,
M553NMG2GTR6,335931,Current-Carrying Wiring Device Manufacturing,,NORTECH SYSTEMS INCORPORATED,NORTECH SYSTEMS INC,Domestic,3.624042,3,2018-01-31,2022-11-18,,,,,,
E3YNKWRANZ18,332410,Power Boiler and Heat Exchanger Manufacturing,,"AQUA-CHEM, INC.","AQUA-CHEM, INC.",Domestic,3.609113,6,2017-08-16,2024-11-22,,,,,,
LPY6KXBKHMK8,336611,Ship Building and Repairing,,"RHOADS INDUSTRIES, INC.","RHOADS INDUSTRIES, INC.",Domestic,3.589735,6,2021-05-05,2022-01-18,,,,,,
NXGLEN3CK1N6,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,,"DATACON, INC.","DATACON, INC.",Domestic,3.539692,15,2017-01-04,2023-01-16,,,,,,
D7HNEN3DAN36,332111,Iron and Steel Forging,,PARK CORPORATION,LEHIGH HEAVY FORGE CORP,Domestic,3.507479,10,2017-09-11,2025-01-02,,,,,,
HY9JJE3F4R25,331513,Steel Foundries (except Investment),,Warburg Pincus LLC,"WOLLASTON ALLOYS, INC.",Domestic,3.462465,1,2018-06-05,2018-06-05,,,,,,
YVBHN7GKLQ44,335929,Other Communication and Energy Wire Manufacturing,,"GLENAIR, INC.","GLENAIR, INC.",Domestic,3.440359,32,2016-12-02,2025-08-11,,,,,,
