parent,psc,desc,net,breadth,n_years,span,latest_end,idv
Hii Mission,D399,IT AND TELECOM- OTHER IT AND T,36389848.36,1,1,0,2024,0
Advanced Alliant Solutions Team Limited Partnership,D318,IT AND TELECOM- INTEGRATED HAR,36357167.96,1,1,0,2025,0
Laurel Partnership,2090,MISCELLANEOUS SHIP AND MARINE ,36344604.92,31,10,9,2026,0
Sumitomo Heavy Industries,J999,NON-NUCLEAR SHIP REPAIR (WEST),36328607.21,2,2,6,2024,0
3E International,AC61,R&D- DEFENSE SYSTEM: ELECTRONI,36307390.45,2,2,3,2013,0
Moebius Solutions,AC13,NATIONAL DEFENSE R&D SERVICES;,36293512.59,2,2,3,2026,0
General Dynamics,5820,RADIO AND TELEVISION COMMUNICA,36235161.0,6,3,2,2023,0
Leidos,7G21,IT AND TELECOM - NETWORK: DIGI,36221472.3,4,2,2,2027,0
Rockwell Collins,1680,MISCELLANEOUS AIRCRAFT ACCESSO,36081521.0,4,3,8,2026,0
Syqwest,5845,UNDERWATER SOUND EQUIPMENT,35941721.21999999,46,13,12,2030,0
Tekla Research,R425,SUPPORT- PROFESSIONAL: ENGINEE,35939064.19,5,5,4,2025,0
American Rheinmetall Munition,1330,GRENADES,35815831.050000004,26,11,11,2027,0
Sierra Nevada,5826,"RADIO NAVIGATION EQUIPMENT, AI",35711542.43,35,13,13,2028,0
Metgreen Solutions,7030,INFORMATION TECHNOLOGY SOFTWAR,35656225.5,3,2,1,2023,0
Sierra Nevada,5895,MISCELLANEOUS COMMUNICATION EQ,35577046.56,7,5,4,2022,0
University Of California San Diego,AC31,NATIONAL DEFENSE R&D SERVICES;,35370156.46,1,1,0,2024,0
M C Dean,N063,INSTALLATION OF EQUIPMENT- ALA,35335565.69,4,2,1,2021,0
Mnemonics,AJ13,GENERAL SCIENCE & TECHNOLOGY R,35307474.12,2,2,1,2027,0
Honeywell International,1680,MISCELLANEOUS AIRCRAFT ACCESSO,35266235.83,2,2,8,2027,0
Bollinger,Y1ED,CONSTRUCTION OF SHIP CONSTRUCT,35259369.0,1,1,0,2026,0
Caci Iss,7030,INFORMATION TECHNOLOGY SOFTWAR,35123271.7,3,2,1,2015,0
Brodogradiliste Viktor Lenac D D,J998,NON-NUCLEAR SHIP REPAIR (EAST),35009175.38,1,1,0,2026,0
Bird Johnson Propeller,2010,SHIP AND BOAT PROPULSION COMPO,34862540.61,4,3,5,2031,0
Coherent Aerospace Defense,AC13,NATIONAL DEFENSE R&D SERVICES;,34852104.0,2,2,2,2027,0
American Rheinmetall Munition,1310,"AMMUNITION, OVER 30MM UP TO 75",34800868.87,4,3,3,2017,0
Mriglobal,AD62,R&D- DEFENSE OTHER: CONSTRUCTI,34759997.0,1,1,0,2024,0
BAE Systems,5811,OTHER CRYPTOLOGIC EQUIPMENT AN,34655625.0,2,2,1,2021,0
Colonna S Ship Yard,J998,NON-NUCLEAR SHIP REPAIR (EAST),34528451.44,2,2,7,2026,0
Mills Marine Ship Repair,1905,COMBAT SHIPS AND LANDING VESSE,34527925.6,4,3,5,2026,0
Na Alii Consulting Sales,D307,IT AND TELECOM- IT STRATEGY AN,34465910.33,3,3,3,2020,0
Gunderson Marine,1935,"BARGES AND LIGHTERS, SPECIAL P",34419464.0,1,1,0,2025,0
Sippican Gsm Submarine Antenna Joint Venture L L C,5895,MISCELLANEOUS COMMUNICATION EQ,34280619.48,1,1,0,2025,0
Lockheed Martin,1680,MISCELLANEOUS AIRCRAFT ACCESSO,34220100.0,1,1,0,2015,0
Georgia Tech Applied Research,AC13,NATIONAL DEFENSE R&D SERVICES;,34106330.77,1,1,0,2028,0
Microsoft,D308,IT AND TELECOM- PROGRAMMING,33857632.89,4,2,1,2024,0
Caci Enterprise Solutions,D319,IT AND TELECOM- ANNUAL SOFTWAR,33827172.4,1,1,0,2024,0
Drs Naval Power,1905,COMBAT SHIPS AND LANDING VESSE,33808495.88,1,1,0,2029,0
Sentient Digital,D302,IT AND TELECOM- SYSTEMS DEVELO,33657529.03,27,3,2,2024,0
Vse,2090,MISCELLANEOUS SHIP AND MARINE ,33510798.520000003,7,3,2,2022,0
Canadian Commercial,1680,MISCELLANEOUS AIRCRAFT ACCESSO,33449620.4,2,2,6,2024,0
Rohde Schwarz,5820,RADIO AND TELEVISION COMMUNICA,33400808.400000002,8,5,6,2027,0
BAE Systems,5826,"RADIO NAVIGATION EQUIPMENT, AI",33357334.0,3,2,4,2029,0
Carahsoft,DA10,IT AND TELECOM - BUSINESS APPL,33293257.34,7,5,4,2026,0
Marshall Communications,7030,INFORMATION TECHNOLOGY SOFTWAR,33255727.470000003,6,5,4,2021,0
Intellibridge,D316,IT AND TELECOM- TELECOMMUNICAT,33102928.380000003,2,2,2,2022,0
East Coast Repair Fabrication,M2CA,SHIP HUSBANDING SERVICES—MANAG,33079575.68,1,1,0,2026,0
University Of Washington,AC31,NATIONAL DEFENSE R&D SERVICES;,33052993.0,1,1,0,2018,0
RTX,AZ15,R&D- OTHER RESEARCH AND DEVELO,32977260.0,1,1,0,2021,0
Serco,5895,MISCELLANEOUS COMMUNICATION EQ,32870396.139999997,10,4,3,2024,0
Shi International,7030,INFORMATION TECHNOLOGY SOFTWAR,32783793.54,9,8,11,2021,1
Mercury,5865,"ELECTRONIC COUNTERMEASURES, CO",32738281.77,11,6,9,2026,0
Platform,1550,UNMANNED AIRCRAFT,32696161.0,2,1,0,2026,0
Pacmar,AC12,NATIONAL DEFENSE R&D SERVICES;,32626668.73,1,1,0,2027,0
Caci,D302,IT AND TELECOM- SYSTEMS DEVELO,32606389.31,1,1,0,2012,0
Woods Hole Oceanographic Institution,AC31,NATIONAL DEFENSE R&D SERVICES;,32602242.0,1,1,0,2022,0
Northrop Grumman,5985,"ANTENNAS, WAVEGUIDES, AND RELA",32581512.189999998,7,6,9,2031,0
Data Link Solutions,5810,COMMUNICATIONS SECURITY EQUIPM,32445599.0,15,8,11,2026,0
Mayo Clinic,AD92,R&D- DEFENSE OTHER: OTHER (APP,32411807.91,3,2,2,2026,0
Caci Cms Information,D307,IT AND TELECOM- IT STRATEGY AN,32375468.79,2,2,3,2020,0
Vt Milcom,7G21,IT AND TELECOM - NETWORK: DIGI,32374455.6,5,2,1,2026,0
22Nd Century,D399,IT AND TELECOM- OTHER IT AND T,32344487.72,4,3,4,2019,0
Rolls Royce Marine North America,2835,GAS TURBINES AND JET ENGINES; ,32339753.0,1,1,0,2021,0
Sabre,DA01,IT AND TELECOM - BUSINESS APPL,32261760.520000003,2,2,2,2026,0
Cabras Marine,J999,NON-NUCLEAR SHIP REPAIR (WEST),32200626.72,1,1,0,2026,0
BAE Systems,1240,OPTICAL SIGHTING AND RANGING E,32011109.0,1,1,0,2017,0
Toyon Research,L010,TECHNICAL REPRESENTATIVE- WEAP,31931021.84,1,1,0,2028,0
Lockheed Martin,1990,MISCELLANEOUS VESSELS,31829794.0,8,1,0,2026,0
Integration And Management,D302,IT AND TELECOM- SYSTEMS DEVELO,31791573.769999996,12,3,3,2014,0
Cma,7030,INFORMATION TECHNOLOGY SOFTWAR,31512609.11,8,4,4,2024,0
Saab,AC13,NATIONAL DEFENSE R&D SERVICES;,31483983.0,3,2,1,2026,0
Lockheed Martin,AD92,R&D- DEFENSE OTHER: OTHER (APP,31469227.54,2,2,1,2024,0
Grammatech,AC13,NATIONAL DEFENSE R&D SERVICES;,31380283.8,1,1,0,2026,0
Science Applications International,AD92,R&D- DEFENSE OTHER: OTHER (APP,31189645.55,1,1,0,2026,0
Milpower,5996,AMPLIFIERS,31074550.0,9,5,4,2024,0
Kbr Wyle Services,AJ13,GENERAL SCIENCE & TECHNOLOGY R,31009755.33,1,1,0,2026,0
J F Taylor,AC65,R&D- DEFENSE SYSTEM: ELECTRONI,30992844.97,1,1,0,2026,0
Charles River Analytics,AC12,NATIONAL DEFENSE R&D SERVICES;,30693827.51,3,2,2,2026,0
Hii Unmanned,2090,MISCELLANEOUS SHIP AND MARINE ,30650258.74,14,10,10,2026,0
Smartronix,DC01,IT AND TELECOM - DATA CENTER S,30562099.68,6,4,3,2025,0
Forethought,1905,COMBAT SHIPS AND LANDING VESSE,30542156.0,1,1,0,2020,0
RTX,2090,MISCELLANEOUS SHIP AND MARINE ,30480189.0,4,3,4,2024,0
Science Applications International,AD26,R&D- DEFENSE OTHER: SERVICES (,30330539.44,1,1,0,2019,0
Strategic Data,D399,IT AND TELECOM- OTHER IT AND T,30325867.880000003,2,2,7,2023,0
Mnemonics,AJ43,R&D- GENERAL SCIENCE/TECHNOLOG,30182163.74,1,1,0,2022,0
R Cubed Engineering,5841,"RADAR EQUIPMENT, AIRBORNE",30159741.270000003,2,2,1,2026,0
Tecnico,1905,COMBAT SHIPS AND LANDING VESSE,30046959.25,2,2,7,2025,0
Sterling Shipyard,1930,"BARGES AND LIGHTERS, CARGO",30000503.1,1,1,0,2025,0
Cgi Federal,D318,IT AND TELECOM- INTEGRATED HAR,29986039.14,1,1,0,2022,0
RTX,1355,"TORPEDOS AND COMPONENTS, INERT",29977779.0,1,1,0,2027,0
Cellco Partnership,D399,IT AND TELECOM- OTHER IT AND T,29958456.27,15,7,12,2025,0
L3Harris,7021,INFORMATION TECHNOLOGY CENTRAL,29938079.0,1,1,0,2026,0
Utah State University Space Dynamics Laboratory,AC23,NATIONAL DEFENSE R&D SERVICES;,29911732.01,1,1,0,2022,0
Georgia Tech Applied Research,AC12,NATIONAL DEFENSE R&D SERVICES;,29806457.4,1,1,0,2025,0
Management Services,5865,"ELECTRONIC COUNTERMEASURES, CO",29704242.37,23,5,18,2027,0
Lockheed Martin,5895,MISCELLANEOUS COMMUNICATION EQ,29518656.720000003,7,7,11,2026,0
Hii Unmanned,1386,UNDERWATER USE EXPLOSIVE ORDNA,29482703.0,3,2,1,2021,0
Mercury Defense,5865,"ELECTRONIC COUNTERMEASURES, CO",29442145.729999997,26,9,8,2023,0
Octo Consulting,D314,IT AND TELECOM- SYSTEM ACQUISI,29382471.42,1,1,0,2025,0
Precise,D318,IT AND TELECOM- INTEGRATED HAR,29369315.08,1,1,0,2022,0
Kbr Wyle Services,AC13,NATIONAL DEFENSE R&D SERVICES;,29254164.879999995,5,3,2,2026,0
Science Applications International,DF01,IT AND TELECOM - IT MANAGEMENT,29107248.52,3,2,2,2027,0
Teledyne Flir Defense,5855,"NIGHT VISION EQUIPMENT, EMITTE",28950299.130000003,6,5,9,2026,0
Simmonds Precision Products,AD92,R&D- DEFENSE OTHER: OTHER (APP,28837617.55,1,1,0,2024,0
Vector Planning Services,D399,IT AND TELECOM- OTHER IT AND T,28778152.430000003,4,3,2,2021,0
BAE Systems,1395,MISCELLANEOUS AMMUNITION,28599797.87,1,1,0,2022,0
Avaya Federal Solutions,5895,MISCELLANEOUS COMMUNICATION EQ,28558119.44,1,1,0,2023,0
RTX,J059,MAINT/REPAIR/REBUILD OF EQUIPM,28533790.58,1,1,0,2026,0
Cdw Government,7030,INFORMATION TECHNOLOGY SOFTWAR,28340957.25,14,4,17,2024,1
Peraton,7G21,IT AND TELECOM - NETWORK: DIGI,28317163.22,4,2,1,2025,0
Strategic Communications,5820,RADIO AND TELEVISION COMMUNICA,28313738.6,29,4,3,2018,0
Y Tech Services,1990,MISCELLANEOUS VESSELS,28289504.09,1,1,0,2017,0
Northrop Grumman,D399,IT AND TELECOM- OTHER IT AND T,28277539.69,24,10,16,2021,0
Rockwell Collins,AJ12,GENERAL SCIENCE AND TECHNOLOGY,28244690.0,1,1,0,2024,0
Boeing,AD24,R&D- DEFENSE OTHER: SERVICES (,28152424.57,2,1,0,2011,0
Corvid,1410,GUIDED MISSILES,28085070.03,9,6,5,2025,0
Sealandaire,AC13,NATIONAL DEFENSE R&D SERVICES;,27998244.6,2,2,3,2030,0
Igov,5895,MISCELLANEOUS COMMUNICATION EQ,27984074.27,16,4,3,2020,0
Msi Defense Solutions,1420,GUIDED MISSILE COMPONENTS,27879853.01,1,1,0,2025,0
Viasat,D318,IT AND TELECOM- INTEGRATED HAR,27856504.6,2,1,0,2022,0
RTX,6605,NAVIGATIONAL INSTRUMENTS,27773767.250000004,5,4,12,2027,0
Metron,AC33,NATIONAL DEFENSE R&D SERVICES;,27735678.97,1,1,0,2027,0
Lockheed Martin,2090,MISCELLANEOUS SHIP AND MARINE ,27655906.24,18,6,5,2024,0
RTX,1270,AIRCRAFT GUNNERY FIRE CONTROL ,27594138.0,1,1,0,2016,0
Bayonne Drydock Repair,J998,NON-NUCLEAR SHIP REPAIR (EAST),27543484.17,1,1,0,2025,0
Colonna S Ship Yard,Y1ED,CONSTRUCTION OF SHIP CONSTRUCT,27484402.0,1,1,0,2025,0
Lockheed Martin,1260,FIRE CONTROL DESIGNATING AND I,27460458.25,1,1,0,2024,0
Modutech Marine,1940,SMALL CRAFT,27349525.590000004,11,6,5,2023,0
Oceaneering International,1905,COMBAT SHIPS AND LANDING VESSE,27304603.830000002,15,7,6,2026,0
Advanced Alliant Solutions Team Limited Partnership,D316,IT AND TELECOM- TELECOMMUNICAT,27155770.11,1,1,0,2022,0
Global Enterprise Solutions,J058,MAINT/REPAIR/REBUILD OF EQUIPM,27068509.89,6,2,1,2016,0
RTX,1290,MISCELLANEOUS FIRE CONTROL EQU,27047651.0,1,1,0,2023,0
Laurel Partnership,K012,MODIFICATION OF EQUIPMENT- FIR,26966319.06,1,1,0,2022,0
3M,7030,INFORMATION TECHNOLOGY SOFTWAR,26886297.02,1,1,0,2016,0
Tomahawk Robotics,1385,SURFACE USE EXPLOSIVE ORDNANCE,26863095.6,1,1,0,2025,0
Cpi Radant Division,5985,"ANTENNAS, WAVEGUIDES, AND RELA",26800737.31,2,2,8,2022,0
George G Sharp,J019,MAINT/REPAIR/REBUILD OF EQUIPM,26778404.45,1,1,0,2013,0
Physical Optics,AC12,NATIONAL DEFENSE R&D SERVICES;,26772770.35,2,2,1,2023,0
Tetra Tech Emc,D302,IT AND TELECOM- SYSTEMS DEVELO,26728387.01,1,1,0,2016,0
Rome Research,J058,MAINT/REPAIR/REBUILD OF EQUIPM,26665376.65,1,1,0,2019,0
Corvid,R425,SUPPORT- PROFESSIONAL: ENGINEE,26469809.18,1,1,0,2027,0
Teledyne Brown Engineering,1940,SMALL CRAFT,26264855.16999999,26,6,7,2026,0
Armtec Countermeasures,1370,PYROTECHNICS,26190754.8,3,3,4,2021,0
Prism Maritime,N020,INSTALLATION OF EQUIPMENT- SHI,26170396.34,1,1,0,2027,0
Malasha,DA01,IT AND TELECOM - BUSINESS APPL,26141892.0,1,1,0,2029,0
Northrop Grumman,AD92,R&D- DEFENSE OTHER: OTHER (APP,26017441.73,1,1,0,2024,0
Frontgrade,5985,"ANTENNAS, WAVEGUIDES, AND RELA",26004609.0,2,2,1,2028,0
Meggitt Defense,5865,"ELECTRONIC COUNTERMEASURES, CO",25927922.099999998,7,4,5,2027,0
Seacorp,5985,"ANTENNAS, WAVEGUIDES, AND RELA",25829135.44,1,1,0,2027,0
Vrc,D399,IT AND TELECOM- OTHER IT AND T,25827929.270000003,2,2,3,2018,0
Bascom Hunter,AC12,NATIONAL DEFENSE R&D SERVICES;,25800818.0,1,1,0,2026,0
Dcs,AC33,NATIONAL DEFENSE R&D SERVICES;,25555758.42,3,2,4,2029,0
Astronics Test,5895,MISCELLANEOUS COMMUNICATION EQ,25398603.49,2,2,3,2015,0
Oasis,1905,COMBAT SHIPS AND LANDING VESSE,25285708.8,1,1,0,2026,0
Frequency Electronics,AC13,NATIONAL DEFENSE R&D SERVICES;,25264081.0,2,2,1,2026,0
Isoft Solutions,5895,MISCELLANEOUS COMMUNICATION EQ,25234556.090000004,21,5,4,2020,0
Serco,5810,COMMUNICATIONS SECURITY EQUIPM,25148154.63999999,23,5,6,2026,0
Scientific Research,5820,RADIO AND TELEVISION COMMUNICA,25104378.57,26,5,5,2020,0
Coherent Technical Services,AC33,NATIONAL DEFENSE R&D SERVICES;,24982626.53,1,1,0,2026,0
Boeing,2010,SHIP AND BOAT PROPULSION COMPO,24847284.0,1,1,0,2030,0
Hamilton Sundstrand,2090,MISCELLANEOUS SHIP AND MARINE ,24817857.0,6,3,3,2025,0
Stratascor,R408,SUPPORT- PROFESSIONAL: PROGRAM,24781483.759999998,9,4,3,2027,0
R M Solutions,AC32,NATIONAL DEFENSE R&D SERVICES;,24765408.77,1,1,0,2025,0
Advanced Acoustic Concepts,7B22,IT AND TELECOM - COMPUTE: SERV,24731328.2,1,1,0,2029,0
R Cubed Engineering,AC13,NATIONAL DEFENSE R&D SERVICES;,24620978.21,3,2,2,2026,0
Dcs,AJ12,GENERAL SCIENCE AND TECHNOLOGY,24437513.0,2,2,2,2026,0
New Cingular Wireless Services,D399,IT AND TELECOM- OTHER IT AND T,24419202.200000003,17,8,9,2018,0
Cubic Defense Applications,AD93,R&D- DEFENSE OTHER: OTHER (ADV,24375227.89,1,1,0,2021,0
Unlimited,DA01,IT AND TELECOM - BUSINESS APPL,24349624.8,3,3,2,2027,0
Northrop Grumman,7G20,IT AND TELECOM - NETWORK: ANAL,24335192.0,1,1,0,2025,0
Marine Polymers,2090,MISCELLANEOUS SHIP AND MARINE ,24291266.0,6,4,4,2027,0
University Of Maine System,AC12,NATIONAL DEFENSE R&D SERVICES;,24257410.0,3,3,2,2028,0
Elbit,5826,"RADIO NAVIGATION EQUIPMENT, AI",24247465.02,42,12,13,2026,0
Planning And Analysis,AC13,NATIONAL DEFENSE R&D SERVICES;,24205426.35,1,1,0,2026,0
Ge Aviation,2010,SHIP AND BOAT PROPULSION COMPO,24160656.450000003,6,4,6,2029,0
Northrop Grumman,1420,GUIDED MISSILE COMPONENTS,24009707.16,6,4,4,2028,0
Rite Solutions,K012,MODIFICATION OF EQUIPMENT- FIR,23755982.85,1,1,0,2025,0
Oceanetics,2090,MISCELLANEOUS SHIP AND MARINE ,23627811.939999998,2,2,5,2024,0
Red River Resources,R408,SUPPORT- PROFESSIONAL: PROGRAM,23618859.16,1,1,0,2026,0
Ironclad Services,D399,IT AND TELECOM- OTHER IT AND T,23602917.21,2,2,3,2022,0
Sechan Electronics,1265,FIRE CONTROL TRANSMITTING AND ,23425694.0,2,2,3,2017,0
Apollo Information,7A21,IT AND TELECOM - BUSINESS APPL,23386126.48,16,5,4,2027,0
Honeywell International,6615,AUTOMATIC PILOT MECHANISMS AND,23324576.0,2,2,1,2026,0
Nightwing Intelligence Solutions,AC13,NATIONAL DEFENSE R&D SERVICES;,23312993.0,1,1,0,2027,0
Microsoft,D399,IT AND TELECOM- OTHER IT AND T,23253532.559999995,14,4,3,2017,0
Hii Mission,6910,TRAINING AIDS,23220772.91,6,3,3,2022,0
Fuse Integration,AC33,NATIONAL DEFENSE R&D SERVICES;,23192861.52,3,2,1,2025,0
Sierra Nevada,AC33,NATIONAL DEFENSE R&D SERVICES;,23094817.619999997,2,2,1,2026,0
The Charles Stark Draper Laboratory,AD92,R&D- DEFENSE OTHER: OTHER (APP,23080869.939999998,3,2,2,2024,0
American,L099,TECHNICAL REPRESENTATIVE- MISC,23075022.0,1,1,0,2026,0
L3,J020,MAINT/REPAIR/REBUILD OF EQUIPM,23044993.05,1,1,0,2029,0
Oceanit Laboratories,AC12,NATIONAL DEFENSE R&D SERVICES;,23033126.0,2,2,1,2028,0
Cambridge International,R425,SUPPORT- PROFESSIONAL: ENGINEE,23025611.2,1,1,0,2025,0
Mitsubishi Heavy Industries,J998,NON-NUCLEAR SHIP REPAIR (EAST),23008614.43,1,1,0,2021,0
Mercury Defense,5826,"RADIO NAVIGATION EQUIPMENT, AI",22997768.0,2,2,1,2018,0
Kinetic Protection,1005,"GUNS, THROUGH 30MM",22977537.0,1,1,0,2025,0
Sierra Nevada,5840,"RADAR EQUIPMENT, EXCEPT AIRBOR",22946915.46,2,1,0,2023,0
Kratos Sre,AC25,NATIONAL DEFENSE R&D SVCS; ATO,22928740.58,1,1,0,2026,0
Rockwell Collins,5820,RADIO AND TELEVISION COMMUNICA,22823921.99,10,5,9,2027,0
Georgia Tech Applied Research,AJ41,R&D- GENERAL SCIENCE/TECHNOLOG,22715718.32,2,1,0,2023,0
Viasat,DA01,IT AND TELECOM - BUSINESS APPL,22597220.0,5,2,1,2027,0
Ideamatics,D307,IT AND TELECOM- IT STRATEGY AN,22587684.96,1,1,0,2024,0
Booz Allen,D324,IT AND TELECOM- BUSINESS CONTI,22578695.6,1,1,0,2018,0
Leidos,5895,MISCELLANEOUS COMMUNICATION EQ,22523951.970000003,6,3,2,2023,0
Lockheed Martin,AR13,SPACE R&D SERVICES; SPACE FLIG,22484383.0,1,1,0,2026,0
Immixtechnology,7030,INFORMATION TECHNOLOGY SOFTWAR,22448560.07,29,10,12,2025,1
Telephonics,5895,MISCELLANEOUS COMMUNICATION EQ,22397801.43,2,2,8,2028,0
Rockwell Automation,7A20,IT AND TELECOM - APPLICATION D,22382694.52,30,3,2,2025,0
Huntington Ingalls,1904,SUBMARINES,22257300.78,1,1,0,2011,0
Booz Allen,R410,SUPPORT- PROFESSIONAL: PROGRAM,22226007.04,1,1,0,2026,0
Thales,5825,"RADIO NAVIGATION EQUIPMENT, EX",22222565.0,1,1,0,2027,0
Ultra Electronics Ocean,1045,"LAUNCHERS, TORPEDO AND DEPTH C",22136426.34,1,1,0,2020,0
Hii San Diego Shipyard,J999,NON-NUCLEAR SHIP REPAIR (WEST),22084978.65,1,1,0,2017,0
Computer Associates,DA01,IT AND TELECOM - BUSINESS APPL,22057356.84,5,5,4,2026,0
Sterling Computers,7030,INFORMATION TECHNOLOGY SOFTWAR,22047746.62,18,7,6,2024,0
Ironclad Services,R703,SUPPORT- MANAGEMENT: ACCOUNTIN,22036229.65,1,1,0,2026,0
Mantech Advanced International,DF01,IT AND TELECOM - IT MANAGEMENT,22015646.5,1,1,0,2026,0
Northrop Grumman,H958,OTHER QC/TEST/INSPECT- COMMUNI,21984042.38,1,1,0,2026,0
Arete Associates,AC12,NATIONAL DEFENSE R&D SERVICES;,21907325.0,2,2,2,2027,0
Peopletec,5820,RADIO AND TELEVISION COMMUNICA,21877245.96,3,3,3,2026,0
Nexagen Networks,R425,SUPPORT- PROFESSIONAL: ENGINEE,21876753.6,2,1,0,2025,0
Information Delivery,D308,IT AND TELECOM- PROGRAMMING,21857978.220000003,2,2,1,2014,0
The Mathworks,7A21,IT AND TELECOM - BUSINESS APPL,21782110.0,11,4,3,2026,0
Erapsco,AD23,R&D- DEFENSE OTHER: SERVICES (,21754743.53,1,1,0,2016,0
Dcs,AC15,NATIONAL DEFENSE R&D SVCS; DEP,21685402.05,3,3,3,2024,0
Rome Research,J036,MAINT/REPAIR/REBUILD OF EQUIPM,21673139.39,1,1,0,2016,0
Hgw And Associates,DA01,IT AND TELECOM - BUSINESS APPL,21548394.54,3,3,4,2026,0
The Charles Stark Draper Laboratory,6605,NAVIGATIONAL INSTRUMENTS,21528640.54,1,1,0,2026,0
Peraton,AD24,R&D- DEFENSE OTHER: SERVICES (,21512362.13,1,1,0,2025,0
Leidos,K058,MODIFICATION OF EQUIPMENT- COM,21511390.21,2,2,5,2027,0
Bascom Hunter,AD64,R&D- DEFENSE OTHER: CONSTRUCTI,21502011.19,1,1,0,2027,0
Amentum,AJ12,GENERAL SCIENCE AND TECHNOLOGY,21426370.810000002,2,2,2,2026,0
Leidos,7030,INFORMATION TECHNOLOGY SOFTWAR,21406070.17,5,4,6,2022,0
Boeing,1210,FIRE CONTROL DIRECTORS,21389249.34,1,1,0,2015,0
Rda,AC63,R&D- DEFENSE SYSTEM: ELECTRONI,21345135.44,1,1,0,2025,0
RTX,AC65,R&D- DEFENSE SYSTEM: ELECTRONI,21289980.0,1,1,0,2018,0
Rockwell Collins,7030,INFORMATION TECHNOLOGY SOFTWAR,21289615.88,1,1,0,2023,0
Kratos Unmanned Aerial,R706,SUPPORT- MANAGEMENT: LOGISTICS,21285737.17,2,2,5,2026,0
Textron,J020,MAINT/REPAIR/REBUILD OF EQUIPM,21253318.28,2,2,1,2026,0
Sterling Computers,5895,MISCELLANEOUS COMMUNICATION EQ,21220737.259999998,16,4,3,2021,0
Lockheed Martin,6605,NAVIGATIONAL INSTRUMENTS,21207738.33,10,8,13,2028,0
Advanced Acoustic Concepts,1355,"TORPEDOS AND COMPONENTS, INERT",21202472.49,1,1,0,2027,0
Aquilent,7030,INFORMATION TECHNOLOGY SOFTWAR,21161400.0,1,1,0,2014,0
Textron,AC13,NATIONAL DEFENSE R&D SERVICES;,21158666.0,1,1,0,2026,0
Drs Advanced Isr,5895,MISCELLANEOUS COMMUNICATION EQ,21118944.119999997,14,8,10,2026,0
BAE Systems,7030,INFORMATION TECHNOLOGY SOFTWAR,21082001.45,8,6,10,2023,0
Centurum Information,J059,MAINT/REPAIR/REBUILD OF EQUIPM,21013961.11,6,4,5,2026,0
RTX,1510,"AIRCRAFT, FIXED WING",20973676.0,1,1,0,2023,0
Intersystems,7030,INFORMATION TECHNOLOGY SOFTWAR,20969265.0,1,1,0,2015,0
The Curators Of The University Of Missouri,AD92,R&D- DEFENSE OTHER: OTHER (APP,20910804.0,1,1,0,2023,0
Caci Federal,5810,COMMUNICATIONS SECURITY EQUIPM,20739200.2,2,2,5,2027,0
Advanced International,AE33,R&D- ECONOMIC GROWTH: MANUFACT,20663756.86,2,2,1,2026,0
Boston Ship Repair,1925,SPECIAL SERVICE VESSELS,20660834.4,1,1,0,2017,0
Amentum,AC13,NATIONAL DEFENSE R&D SERVICES;,20649294.0,1,1,0,2027,0
Data Link Solutions,AC64,R&D- DEFENSE SYSTEM: ELECTRONI,20536294.0,2,2,5,2021,0
Boeing,5820,RADIO AND TELEVISION COMMUNICA,20512053.96,15,8,11,2027,0
General Dynamics,AC13,NATIONAL DEFENSE R&D SERVICES;,20479558.0,1,1,0,2027,0
Igov,5865,"ELECTRONIC COUNTERMEASURES, CO",20458501.95,16,3,2,2017,0
Undersea Sensor,AD93,R&D- DEFENSE OTHER: OTHER (ADV,20411500.0,1,1,0,2024,0
Caes,1680,MISCELLANEOUS AIRCRAFT ACCESSO,20285653.67,2,2,1,2025,0
Viasat,5826,"RADIO NAVIGATION EQUIPMENT, AI",20244486.34,18,5,4,2025,0
Florida State University,1905,COMBAT SHIPS AND LANDING VESSE,20206641.0,1,1,0,2026,0
Ost,D302,IT AND TELECOM- SYSTEMS DEVELO,20090664.49,1,1,0,2022,0
Mercom,5865,"ELECTRONIC COUNTERMEASURES, CO",20070824.22,19,3,2,2017,0
Leidos,D302,IT AND TELECOM- SYSTEMS DEVELO,20027468.6,3,3,15,2023,0
Unithai Shipyard Engineering Limited Branch,J999,NON-NUCLEAR SHIP REPAIR (WEST),19999408.0,1,1,0,2026,0
Six3 Advanced,N058,INSTALLATION OF EQUIPMENT- COM,19908245.87,1,1,0,2020,0
Hrl Laboratories,AD92,R&D- DEFENSE OTHER: OTHER (APP,19867942.0,2,1,0,2026,0
Seemann Composites,AC35,NATIONAL DEFENSE R&D SVCS; DEF,19867694.44,1,1,0,2027,0
Temeku,5895,MISCELLANEOUS COMMUNICATION EQ,19798193.99,1,1,0,2018,0
United Terex,1355,"TORPEDOS AND COMPONENTS, INERT",19703362.0,2,1,0,2026,0
L3,5820,RADIO AND TELEVISION COMMUNICA,19691323.37,8,5,8,2026,0
Rolls Royce Solutions America,2815,DIESEL ENGINES AND COMPONENTS,19688905.61,1,1,0,2026,0
Kapsuun,D307,IT AND TELECOM- IT STRATEGY AN,19661754.56,7,4,4,2021,0
Federal Acquisition Services Alliant Joint Venture,D301,IT AND TELECOM- FACILITY OPERA,19659373.77,1,1,0,2024,0
Hadal,AC12,NATIONAL DEFENSE R&D SERVICES;,19651683.0,2,2,1,2026,0
Rafael Advanced Defense,5855,"NIGHT VISION EQUIPMENT, EMITTE",19641922.33,2,2,1,2027,0
