uei,naics6,naics_desc,is_primary
WAJ6RKYZTYL3,332991,Ball and Roller Bearing Manufacturing,
WAJ6RKYZTYL3,332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing",
WAJ6RKYZTYL3,332996,Fabricated Pipe and Pipe Fitting Manufacturing,
WAJ6RKYZTYL3,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,
WAJ6RKYZTYL3,333120,Construction Machinery Manufacturing,
WAJ6RKYZTYL3,333131,Mining Machinery and Equipment Manufacturing,
WAJ6RKYZTYL3,333132,Oil and Gas Field Machinery and Equipment Manufacturing,
WAJ6RKYZTYL3,333241,Food Product Machinery Manufacturing,
WAJ6RKYZTYL3,333242,Semiconductor Machinery Manufacturing,
WAJ6RKYZTYL3,333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing",
WAJ6RKYZTYL3,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,
WAJ6RKYZTYL3,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,
WAJ6RKYZTYL3,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,
WAJ6RKYZTYL3,333511,Industrial Mold Manufacturing,
WAJ6RKYZTYL3,333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",
WAJ6RKYZTYL3,333515,Cutting Tool and Machine Tool Accessory Manufacturing,
WAJ6RKYZTYL3,333517,Machine Tool Manufacturing,
WAJ6RKYZTYL3,333519,Rolling Mill and Other Metalworking Machinery Manufacturing,
WAJ6RKYZTYL3,333611,Turbine and Turbine Generator Set Units Manufacturing,
WAJ6RKYZTYL3,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",
WAJ6RKYZTYL3,333613,Mechanical Power Transmission Equipment Manufacturing,
WAJ6RKYZTYL3,333618,Other Engine Equipment Manufacturing,
WAJ6RKYZTYL3,333912,Air and Gas Compressor Manufacturing,
WAJ6RKYZTYL3,333922,Conveyor and Conveying Equipment Manufacturing,
WAJ6RKYZTYL3,333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",
WAJ6RKYZTYL3,333992,Welding and Soldering Equipment Manufacturing,
WAJ6RKYZTYL3,333993,Packaging Machinery Manufacturing,
WAJ6RKYZTYL3,333994,Industrial Process Furnace and Oven Manufacturing,
WAJ6RKYZTYL3,333995,Fluid Power Cylinder and Actuator Manufacturing,
WAJ6RKYZTYL3,333996,Fluid Power Pump and Motor Manufacturing,
WAJ6RKYZTYL3,334290,Other Communications Equipment Manufacturing,
WAJ6RKYZTYL3,334413,Semiconductor and Related Device Manufacturing,
WAJ6RKYZTYL3,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,
WAJ6RKYZTYL3,336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,
WAJ6RKYZTYL3,336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,
WAJ6RKYZTYL3,336340,Motor Vehicle Brake System Manufacturing,
WAJ6RKYZTYL3,336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,
WAJ6RKYZTYL3,336390,Other Motor Vehicle Parts Manufacturing,
WAJ6RKYZTYL3,336411,Aircraft Manufacturing,
WAJ6RKYZTYL3,336412,Aircraft Engine and Engine Parts Manufacturing,
WAJ6RKYZTYL3,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,
WAJ6RKYZTYL3,336414,Guided Missile and Space Vehicle Manufacturing,
WAJ6RKYZTYL3,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,
WAJ6RKYZTYL3,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,
WAJ6RKYZTYL3,336510,Railroad Rolling Stock Manufacturing,
WAJ6RKYZTYL3,336611,Ship Building and Repairing,
WAJ6RKYZTYL3,336612,Boat Building,
WAJ6RKYZTYL3,336991,"Motorcycle, Bicycle, and Parts Manufacturing",
WAJ6RKYZTYL3,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",
WAJ6RKYZTYL3,336999,All Other Transportation Equipment Manufacturing,
WAJ6RKYZTYL3,339991,"Gasket, Packing, and Sealing Device Manufacturing",
WAJ6RKYZTYL3,339993,"Fastener, Button, Needle, and Pin Manufacturing",
WAJ6RKYZTYL3,339999,All Other Miscellaneous Manufacturing,
NRFJMVNYQ6C3,541310,Architectural Services,
NRFJMVNYQ6C3,541330,Engineering Services,Y
NRFJMVNYQ6C3,541611,Administrative Management and General Management Consulting Services,
CXK2Y51KDBW1,331513,Steel Foundries (except Investment),Y
CXK2Y51KDBW1,332710,Machine Shops,
CXK2Y51KDBW1,339999,All Other Miscellaneous Manufacturing,
C6C8KS7Y1K76,237130,Power and Communication Line and Related Structures Construction,
C6C8KS7Y1K76,334419,Other Electronic Component Manufacturing,
C6C8KS7Y1K76,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",
C6C8KS7Y1K76,334519,Other Measuring and Controlling Device Manufacturing,
C6C8KS7Y1K76,336611,Ship Building and Repairing,
C6C8KS7Y1K76,541330,Engineering Services,
C6C8KS7Y1K76,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",Y
C6C8KS7Y1K76,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,
Y5R2L8HWAUA8,333992,Welding and Soldering Equipment Manufacturing,
Y5R2L8HWAUA8,333998,All Other Miscellaneous General Purpose Machinery Manufacturing,Y
Y5R2L8HWAUA8,336611,Ship Building and Repairing,
Y5R2L8HWAUA8,541330,Engineering Services,
HTR5K76FMH84,331529,Other Nonferrous Metal Foundries (except Die-Casting),Y
T2VFE1NGR3G5,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,
T2VFE1NGR3G5,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Y
T2VFE1NGR3G5,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,
T2VFE1NGR3G5,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",
T2VFE1NGR3G5,335313,Switchgear and Switchboard Apparatus Manufacturing,
T2VFE1NGR3G5,335314,Relay and Industrial Control Manufacturing,
T2VFE1NGR3G5,335929,Other Communication and Energy Wire Manufacturing,
T2VFE1NGR3G5,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,
T2VFE1NGR3G5,336611,Ship Building and Repairing,
T2VFE1NGR3G5,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",
T2VFE1NGR3G5,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",
T2VFE1NGR3G5,611512,Flight Training,
HA3UFSU8FN75,333310,Commercial and Service Industry Machinery Manufacturing,
HA3UFSU8FN75,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",Y
JU5GNH1H5FV6,334111,Electronic Computer Manufacturing,Y
JU5GNH1H5FV6,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,
XNFVD42NAB73,236210,Industrial Building Construction,
XNFVD42NAB73,236220,Commercial and Institutional Building Construction,Y
XNFVD42NAB73,237990,Other Heavy and Civil Engineering Construction,
XNFVD42NAB73,238110,Poured Concrete Foundation and Structure Contractors,
XNFVD42NAB73,238120,Structural Steel and Precast Concrete Contractors,
XNFVD42NAB73,238190,"Other Foundation, Structure, and Building Exterior Contractors",
XNFVD42NAB73,238210,Electrical Contractors and Other Wiring Installation Contractors,
XNFVD42NAB73,238220,"Plumbing, Heating, and Air-Conditioning Contractors",
XNFVD42NAB73,238290,Other Building Equipment Contractors,
XNFVD42NAB73,238910,Site Preparation Contractors,
XNFVD42NAB73,238990,All Other Specialty Trade Contractors,
HMBSX7Z72UK4,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,
HMBSX7Z72UK4,326291,Rubber Product Manufacturing for Mechanical Use,Y
HMBSX7Z72UK4,326299,All Other Rubber Product Manufacturing,
HMBSX7Z72UK4,336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,
HMBSX7Z72UK4,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,
HMBSX7Z72UK4,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,
HMBSX7Z72UK4,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,
HMBSX7Z72UK4,336611,Ship Building and Repairing,
HMBSX7Z72UK4,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",
HMBSX7Z72UK4,339991,"Gasket, Packing, and Sealing Device Manufacturing",
S1LJCH88WHT5,213112,Support Activities for Oil and Gas Operations,
S1LJCH88WHT5,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,Y
S1LJCH88WHT5,513210,Software Publishers,
CVKGYGVN9229,332710,Machine Shops,Y
M98JCJ2U7RD8,541330,Engineering Services,Y
M98JCJ2U7RD8,541380,Testing Laboratories and Services,
M98JCJ2U7RD8,541511,Custom Computer Programming Services,
M98JCJ2U7RD8,541512,Computer Systems Design Services,
M98JCJ2U7RD8,541519,Other Computer Related Services,
M98JCJ2U7RD8,541611,Administrative Management and General Management Consulting Services,
M98JCJ2U7RD8,541612,Human Resources Consulting Services,
M98JCJ2U7RD8,541614,"Process, Physical Distribution, and Logistics Consulting Services",
M98JCJ2U7RD8,541618,Other Management Consulting Services,
M98JCJ2U7RD8,541690,Other Scientific and Technical Consulting Services,
M98JCJ2U7RD8,541713,Research and Development in Nanotechnology,
M98JCJ2U7RD8,541714,Research and Development in Biotechnology (except Nanobiotechnology),
M98JCJ2U7RD8,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",
M98JCJ2U7RD8,621511,Medical Laboratories,
RJGEKQDTZKT8,332410,Power Boiler and Heat Exchanger Manufacturing,
RJGEKQDTZKT8,332420,Metal Tank (Heavy Gauge) Manufacturing,
RJGEKQDTZKT8,333310,Commercial and Service Industry Machinery Manufacturing,
RJGEKQDTZKT8,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,Y
RJGEKQDTZKT8,335220,Major Household Appliance Manufacturing,
MVJ8B69F5CL6,236210,Industrial Building Construction,
MVJ8B69F5CL6,237310,"Highway, Street, and Bridge Construction",
MVJ8B69F5CL6,237990,Other Heavy and Civil Engineering Construction,
MVJ8B69F5CL6,238120,Structural Steel and Precast Concrete Contractors,
MVJ8B69F5CL6,238220,"Plumbing, Heating, and Air-Conditioning Contractors",
MVJ8B69F5CL6,238990,All Other Specialty Trade Contractors,
MVJ8B69F5CL6,332312,Fabricated Structural Metal Manufacturing,
MVJ8B69F5CL6,332313,Plate Work Manufacturing,
MVJ8B69F5CL6,332410,Power Boiler and Heat Exchanger Manufacturing,Y
MVJ8B69F5CL6,332420,Metal Tank (Heavy Gauge) Manufacturing,
MVJ8B69F5CL6,332996,Fabricated Pipe and Pipe Fitting Manufacturing,
MVJ8B69F5CL6,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,
MVJ8B69F5CL6,336611,Ship Building and Repairing,
MVJ8B69F5CL6,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,
MWAKL633WET8,332911,Industrial Valve Manufacturing,
MWAKL633WET8,333611,Turbine and Turbine Generator Set Units Manufacturing,Y
MWAKL633WET8,333912,Air and Gas Compressor Manufacturing,
PWK4GDMMEAQ8,334417,Electronic Connector Manufacturing,Y
U864F3HRME53,236220,Commercial and Institutional Building Construction,
U864F3HRME53,238210,Electrical Contractors and Other Wiring Installation Contractors,
U864F3HRME53,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",
U864F3HRME53,335312,Motor and Generator Manufacturing,
U864F3HRME53,335313,Switchgear and Switchboard Apparatus Manufacturing,
U864F3HRME53,335314,Relay and Industrial Control Manufacturing,
U864F3HRME53,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,
U864F3HRME53,336611,Ship Building and Repairing,
U864F3HRME53,541330,Engineering Services,Y
YVBHN7GKLQ44,334417,Electronic Connector Manufacturing,
YVBHN7GKLQ44,334419,Other Electronic Component Manufacturing,
YVBHN7GKLQ44,335929,Other Communication and Energy Wire Manufacturing,Y
YVBHN7GKLQ44,335931,Current-Carrying Wiring Device Manufacturing,
YVBHN7GKLQ44,335932,Noncurrent-Carrying Wiring Device Manufacturing,
YVBHN7GKLQ44,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,
HYNSUU4GPWA9,541611,Administrative Management and General Management Consulting Services,Y
HYNSUU4GPWA9,541614,"Process, Physical Distribution, and Logistics Consulting Services",
HYNSUU4GPWA9,541690,Other Scientific and Technical Consulting Services,
HYNSUU4GPWA9,541990,"All Other Professional, Scientific, and Technical Services",
HYNSUU4GPWA9,611430,Professional and Management Development Training,
MXTJBDD1L4T4,332613,Spring Manufacturing,
MXTJBDD1L4T4,332710,Machine Shops,
MXTJBDD1L4T4,332911,Industrial Valve Manufacturing,
MXTJBDD1L4T4,333995,Fluid Power Cylinder and Actuator Manufacturing,Y
MXTJBDD1L4T4,333998,All Other Miscellaneous General Purpose Machinery Manufacturing,
MXTJBDD1L4T4,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",
MXTJBDD1L4T4,336390,Other Motor Vehicle Parts Manufacturing,
MXTJBDD1L4T4,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,
MXTJBDD1L4T4,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,
MXTJBDD1L4T4,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,
RDG4F8MZVDU1,335311,"Power, Distribution, and Specialty Transformer Manufacturing",Y
VJHFDLA3NLG8,331513,Steel Foundries (except Investment),Y
VJHFDLA3NLG8,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,
QB7EKDNK2E83,332710,Machine Shops,Y
QB7EKDNK2E83,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,
XH9ADBLZRMF1,332911,Industrial Valve Manufacturing,
XH9ADBLZRMF1,332919,Other Metal Valve and Pipe Fitting Manufacturing,
XH9ADBLZRMF1,551112,Offices of Other Holding Companies,Y
GFCUEMH2CGN1,423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",Y
GN2LGJWUVKJ7,236210,Industrial Building Construction,Y
GN2LGJWUVKJ7,236220,Commercial and Institutional Building Construction,
GN2LGJWUVKJ7,237120,Oil and Gas Pipeline and Related Structures Construction,
GN2LGJWUVKJ7,238110,Poured Concrete Foundation and Structure Contractors,
GN2LGJWUVKJ7,238130,Framing Contractors,
GN2LGJWUVKJ7,238140,Masonry Contractors,
GN2LGJWUVKJ7,238170,Siding Contractors,
GN2LGJWUVKJ7,238190,"Other Foundation, Structure, and Building Exterior Contractors",
GN2LGJWUVKJ7,238290,Other Building Equipment Contractors,
GN2LGJWUVKJ7,238310,Drywall and Insulation Contractors,
GN2LGJWUVKJ7,238320,Painting and Wall Covering Contractors,
GN2LGJWUVKJ7,238330,Flooring Contractors,
GN2LGJWUVKJ7,238340,Tile and Terrazzo Contractors,
GN2LGJWUVKJ7,238350,Finish Carpentry Contractors,
GN2LGJWUVKJ7,238390,Other Building Finishing Contractors,
GN2LGJWUVKJ7,238910,Site Preparation Contractors,
GN2LGJWUVKJ7,541340,Drafting Services,
GN2LGJWUVKJ7,541620,Environmental Consulting Services,
GN2LGJWUVKJ7,562910,Remediation Services,
K151N8EJE998,333515,Cutting Tool and Machine Tool Accessory Manufacturing,
K151N8EJE998,333517,Machine Tool Manufacturing,Y
ZXNYWJ1KLDL9,334290,Other Communications Equipment Manufacturing,
ZXNYWJ1KLDL9,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,
ZXNYWJ1KLDL9,334419,Other Electronic Component Manufacturing,
ZXNYWJ1KLDL9,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",
ZXNYWJ1KLDL9,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,
ZXNYWJ1KLDL9,335311,"Power, Distribution, and Specialty Transformer Manufacturing",
ZXNYWJ1KLDL9,335313,Switchgear and Switchboard Apparatus Manufacturing,
ZXNYWJ1KLDL9,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,
ZXNYWJ1KLDL9,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,Y
ZXNYWJ1KLDL9,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,
QVMBB4UCMEH4,332431,Metal Can Manufacturing,
QVMBB4UCMEH4,332439,Other Metal Container Manufacturing,
QVMBB4UCMEH4,332996,Fabricated Pipe and Pipe Fitting Manufacturing,
QVMBB4UCMEH4,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,
QVMBB4UCMEH4,334419,Other Electronic Component Manufacturing,Y
QVMBB4UCMEH4,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",
QVMBB4UCMEH4,335312,Motor and Generator Manufacturing,
QVMBB4UCMEH4,335932,Noncurrent-Carrying Wiring Device Manufacturing,
CABCB9XBJHK5,541214,Payroll Services,
CABCB9XBJHK5,541330,Engineering Services,
CABCB9XBJHK5,541612,Human Resources Consulting Services,
CABCB9XBJHK5,561311,Employment Placement Agencies,
CABCB9XBJHK5,561312,Executive Search Services,
CABCB9XBJHK5,561320,Temporary Help Services,Y
E86EYMJR23D1,332911,Industrial Valve Manufacturing,Y
E86EYMJR23D1,332919,Other Metal Valve and Pipe Fitting Manufacturing,
JC42EBJ5NFJ1,336412,Aircraft Engine and Engine Parts Manufacturing,Y
JC42EBJ5NFJ1,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,
HY9JJE3F4R25,331513,Steel Foundries (except Investment),Y
LYV8XEV314F6,238990,All Other Specialty Trade Contractors,
LYV8XEV314F6,332323,Ornamental and Architectural Metal Work Manufacturing,Y
LYV8XEV314F6,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,
LYV8XEV314F6,423390,Other Construction Material Merchant Wholesalers,
LYV8XEV314F6,423840,Industrial Supplies Merchant Wholesalers,
LYV8XEV314F6,532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,
NMHFLDYJJ4C5,334111,Electronic Computer Manufacturing,
NMHFLDYJJ4C5,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,
NMHFLDYJJ4C5,334290,Other Communications Equipment Manufacturing,
NMHFLDYJJ4C5,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,
NMHFLDYJJ4C5,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",Y
NMHFLDYJJ4C5,334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",
NMHFLDYJJ4C5,334519,Other Measuring and Controlling Device Manufacturing,
NMHFLDYJJ4C5,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,
NMHFLDYJJ4C5,336414,Guided Missile and Space Vehicle Manufacturing,
NMHFLDYJJ4C5,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,
NMHFLDYJJ4C5,517410,Satellite Telecommunications,
NMHFLDYJJ4C5,541211,Offices of Certified Public Accountants,
NMHFLDYJJ4C5,541213,Tax Preparation Services,
NMHFLDYJJ4C5,541214,Payroll Services,
NMHFLDYJJ4C5,541219,Other Accounting Services,
NMHFLDYJJ4C5,541330,Engineering Services,
NMHFLDYJJ4C5,541360,Geophysical Surveying and Mapping Services,
NMHFLDYJJ4C5,541370,Surveying and Mapping (except Geophysical) Services,
NMHFLDYJJ4C5,541380,Testing Laboratories and Services,
NMHFLDYJJ4C5,541511,Custom Computer Programming Services,
NMHFLDYJJ4C5,541512,Computer Systems Design Services,
NMHFLDYJJ4C5,541513,Computer Facilities Management Services,
NMHFLDYJJ4C5,541519,Other Computer Related Services,
NMHFLDYJJ4C5,541611,Administrative Management and General Management Consulting Services,
NMHFLDYJJ4C5,541612,Human Resources Consulting Services,
NMHFLDYJJ4C5,541613,Marketing Consulting Services,
NMHFLDYJJ4C5,541614,"Process, Physical Distribution, and Logistics Consulting Services",
NMHFLDYJJ4C5,541618,Other Management Consulting Services,
NMHFLDYJJ4C5,541620,Environmental Consulting Services,
NMHFLDYJJ4C5,541690,Other Scientific and Technical Consulting Services,
NMHFLDYJJ4C5,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",
NMHFLDYJJ4C5,541720,Research and Development in the Social Sciences and Humanities,
NMHFLDYJJ4C5,541810,Advertising Agencies,
NMHFLDYJJ4C5,541820,Public Relations Agencies,
NMHFLDYJJ4C5,541830,Media Buying Agencies,
NMHFLDYJJ4C5,541840,Media Representatives,
NMHFLDYJJ4C5,541850,Indoor and Outdoor Display Advertising,
NMHFLDYJJ4C5,541860,Direct Mail Advertising,
NMHFLDYJJ4C5,541870,Advertising Material Distribution Services,
NMHFLDYJJ4C5,541890,Other Services Related to Advertising,
NMHFLDYJJ4C5,541910,Marketing Research and Public Opinion Polling,
NMHFLDYJJ4C5,541990,"All Other Professional, Scientific, and Technical Services",
NMHFLDYJJ4C5,561110,Office Administrative Services,
NMHFLDYJJ4C5,561210,Facilities Support Services,
NMHFLDYJJ4C5,561499,All Other Business Support Services,
NMHFLDYJJ4C5,561990,All Other Support Services,
NMHFLDYJJ4C5,611420,Computer Training,
NMHFLDYJJ4C5,611430,Professional and Management Development Training,
NMHFLDYJJ4C5,611512,Flight Training,
NMHFLDYJJ4C5,921190,Other General Government Support,
NMHFLDYJJ4C5,927110,Space Research and Technology,
NMHFLDYJJ4C5,928110,National Security,
K6LKL4BYZGZ6,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,
K6LKL4BYZGZ6,423690,Other Electronic Parts and Equipment Merchant Wholesalers,
K6LKL4BYZGZ6,541330,Engineering Services,
K6LKL4BYZGZ6,541512,Computer Systems Design Services,
K6LKL4BYZGZ6,541519,Other Computer Related Services,Y
QV38GMJUBJQ3,238110,Poured Concrete Foundation and Structure Contractors,
QV38GMJUBJQ3,238120,Structural Steel and Precast Concrete Contractors,
QV38GMJUBJQ3,238130,Framing Contractors,
QV38GMJUBJQ3,238190,"Other Foundation, Structure, and Building Exterior Contractors",
QV38GMJUBJQ3,238210,Electrical Contractors and Other Wiring Installation Contractors,
QV38GMJUBJQ3,238220,"Plumbing, Heating, and Air-Conditioning Contractors",
QV38GMJUBJQ3,238290,Other Building Equipment Contractors,
QV38GMJUBJQ3,238310,Drywall and Insulation Contractors,
QV38GMJUBJQ3,238320,Painting and Wall Covering Contractors,
QV38GMJUBJQ3,238330,Flooring Contractors,
QV38GMJUBJQ3,238350,Finish Carpentry Contractors,
QV38GMJUBJQ3,238390,Other Building Finishing Contractors,
QV38GMJUBJQ3,238990,All Other Specialty Trade Contractors,
QV38GMJUBJQ3,326291,Rubber Product Manufacturing for Mechanical Use,
QV38GMJUBJQ3,332618,Other Fabricated Wire Product Manufacturing,
QV38GMJUBJQ3,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,
QV38GMJUBJQ3,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,
QV38GMJUBJQ3,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,
QV38GMJUBJQ3,334290,Other Communications Equipment Manufacturing,
QV38GMJUBJQ3,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,
QV38GMJUBJQ3,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",
QV38GMJUBJQ3,334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",
QV38GMJUBJQ3,335921,Fiber Optic Cable Manufacturing,
QV38GMJUBJQ3,335931,Current-Carrying Wiring Device Manufacturing,
QV38GMJUBJQ3,335932,Noncurrent-Carrying Wiring Device Manufacturing,
QV38GMJUBJQ3,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,
QV38GMJUBJQ3,336611,Ship Building and Repairing,Y
QV38GMJUBJQ3,336612,Boat Building,
QV38GMJUBJQ3,488390,Other Support Activities for Water Transportation,
QV38GMJUBJQ3,541330,Engineering Services,
QV38GMJUBJQ3,541340,Drafting Services,
QV38GMJUBJQ3,541380,Testing Laboratories and Services,
QV38GMJUBJQ3,541511,Custom Computer Programming Services,
QV38GMJUBJQ3,541512,Computer Systems Design Services,
QV38GMJUBJQ3,541611,Administrative Management and General Management Consulting Services,
QV38GMJUBJQ3,541990,"All Other Professional, Scientific, and Technical Services",
QV38GMJUBJQ3,561210,Facilities Support Services,
QV38GMJUBJQ3,561621,Security Systems Services (except Locksmiths),
QV38GMJUBJQ3,561710,Exterminating and Pest Control Services,
QV38GMJUBJQ3,561730,Landscaping Services,
QV38GMJUBJQ3,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,
ZJYJB7MBFE56,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",Y
ZJYJB7MBFE56,333996,Fluid Power Pump and Motor Manufacturing,
YWX1QLBKSQD7,325520,Adhesive Manufacturing,Y
F3XKPA82MHQ5,333995,Fluid Power Cylinder and Actuator Manufacturing,
F3XKPA82MHQ5,334111,Electronic Computer Manufacturing,
F3XKPA82MHQ5,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,
F3XKPA82MHQ5,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",
F3XKPA82MHQ5,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",Y
F3XKPA82MHQ5,334519,Other Measuring and Controlling Device Manufacturing,
F3XKPA82MHQ5,335314,Relay and Industrial Control Manufacturing,
F3XKPA82MHQ5,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,
F3XKPA82MHQ5,336611,Ship Building and Repairing,
JL9NMM3YALQ5,541330,Engineering Services,
JL9NMM3YALQ5,541611,Administrative Management and General Management Consulting Services,
JL9NMM3YALQ5,541612,Human Resources Consulting Services,
JL9NMM3YALQ5,541690,Other Scientific and Technical Consulting Services,
JL9NMM3YALQ5,541990,"All Other Professional, Scientific, and Technical Services",
JL9NMM3YALQ5,561110,Office Administrative Services,
JL9NMM3YALQ5,561311,Employment Placement Agencies,
JL9NMM3YALQ5,561320,Temporary Help Services,Y
JL9NMM3YALQ5,621399,Offices of All Other Miscellaneous Health Practitioners,
Y9KMLM1AFU63,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,
Y9KMLM1AFU63,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,
Y9KMLM1AFU63,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,
Y9KMLM1AFU63,334419,Other Electronic Component Manufacturing,Y
MTNSMCNJCNE1,561910,Packaging and Labeling Services,Y
WJ1XMJMTSYL9,334519,Other Measuring and Controlling Device Manufacturing,Y
H8CSTCGGDD87,335910,Battery Manufacturing,Y
RG8HFHKSV215,236210,Industrial Building Construction,Y
RG8HFHKSV215,236220,Commercial and Institutional Building Construction,
RG8HFHKSV215,238120,Structural Steel and Precast Concrete Contractors,
JCXDK86FK3L5,331420,"Copper Rolling, Drawing, Extruding, and Alloying",Y
LFNVWPJYQKH4,541330,Engineering Services,Y
QF82VVEDYFC3,336412,Aircraft Engine and Engine Parts Manufacturing,
QF82VVEDYFC3,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,Y
QF82VVEDYFC3,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,
